Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL,CVF URL,Arxiv URL
1,3D Scene Understanding by Voxel-CRF,,Byung-Soo Kim;Pushmeet Kohli;Silvio Savarese;,University of Michigan;Microsoft;Stanford University;,United States;United Kingdom;,Poster,http://openaccess.thecvf.com/content_iccv_2013/html/Kim_3D_Scene_Understanding_2013_ICCV_paper.html,http://openaccess.thecvf.com/content_iccv_2013/papers/Kim_3D_Scene_Understanding_2013_ICCV_paper.pdf,,
2,3D Sub-query Expansion for Improving Sketch-Based Multi-view Image Retrieval,,Yen-Liang Lin;Cheng-Yu Huang;Hao-Jeng Wang;Winston Hsu;,National Taiwan University;,China;,Poster,http://openaccess.thecvf.com/content_iccv_2013/html/Lin_3D_Sub-query_Expansion_2013_ICCV_paper.html,http://openaccess.thecvf.com/content_iccv_2013/papers/Lin_3D_Sub-query_Expansion_2013_ICCV_paper.pdf,,
3,3DNN: Viewpoint Invariant 3D Geometry Matching for Scene Understanding,,Scott Satkin;Martial Hebert;,Google;Carnegie Mellon University;,United States;,Poster,http://openaccess.thecvf.com/content_iccv_2013/html/Satkin_3DNN_Viewpoint_Invariant_2013_ICCV_paper.html,http://openaccess.thecvf.com/content_iccv_2013/papers/Satkin_3DNN_Viewpoint_Invariant_2013_ICCV_paper.pdf,,
4,A Color Constancy Model with Double-Opponency Mechanisms,,Shaobing Gao;Kaifu Yang;Chaoyi Li;Yongjie Li;,University of Electronic Science and Technology of China;Shanghai Institutes for Biological Sciences;,China;,Poster,http://openaccess.thecvf.com/content_iccv_2013/html/Gao_A_Color_Constancy_2013_ICCV_paper.html,http://openaccess.thecvf.com/content_iccv_2013/papers/Gao_A_Color_Constancy_2013_ICCV_paper.pdf,,
5,A Convex Optimization Framework for Active Learning,,Ehsan Elhamifar;Guillermo Sapiro;Allen Yang;S. Shankar Sasrty;,,,Poster,http://openaccess.thecvf.com/content_iccv_2013/html/Elhamifar_A_Convex_Optimization_2013_ICCV_paper.html,http://openaccess.thecvf.com/content_iccv_2013/papers/Elhamifar_A_Convex_Optimization_2013_ICCV_paper.pdf,,
6,A Deep Sum-Product Architecture for Robust Facial Attributes Analysis,,Ping Luo;Xiaogang Wang;Xiaoou Tang;,Chinese University of Hong Kong;Chinese Academy of Sciences;,China;,Poster,http://openaccess.thecvf.com/content_iccv_2013/html/Luo_A_Deep_Sum-Product_2013_ICCV_paper.html,http://openaccess.thecvf.com/content_iccv_2013/papers/Luo_A_Deep_Sum-Product_2013_ICCV_paper.pdf,,
7,A Deformable Mixture Parsing Model with Parselets,,Jian Dong;Qiang Chen;Wei Xia;Zhongyang Huang;Shuicheng Yan;,National University of Singapore;Panasonic Singapore Laboratories;,Singapore;,Poster,http://openaccess.thecvf.com/content_iccv_2013/html/Dong_A_Deformable_Mixture_2013_ICCV_paper.html,http://openaccess.thecvf.com/content_iccv_2013/papers/Dong_A_Deformable_Mixture_2013_ICCV_paper.pdf,,
8,A Flexible Scene Representation for 3D Reconstruction Using an RGB-D Camera,,Diego Thomas;Akihiro Sugimoto;,National Institute of Informatics;,Japan;,Poster,http://openaccess.thecvf.com/content_iccv_2013/html/Thomas_A_Flexible_Scene_2013_ICCV_paper.html,http://openaccess.thecvf.com/content_iccv_2013/papers/Thomas_A_Flexible_Scene_2013_ICCV_paper.pdf,,
9,A Framework for Shape Analysis via Hilbert Space Embedding,,Sadeep Jayasumana;Mathieu Salzmann;Hongdong Li;Mehrtash Harandi;,Australian National University;NICTA;,Australia;,Poster,http://openaccess.thecvf.com/content_iccv_2013/html/Jayasumana_A_Framework_for_2013_ICCV_paper.html,http://openaccess.thecvf.com/content_iccv_2013/papers/Jayasumana_A_Framework_for_2013_ICCV_paper.pdf,,
10,A Fully Hierarchical Approach for Finding Correspondences in Non-rigid Shapes,,Ivan Sipiran;Benjamin Bustos;,University of Konstanz;University of Chile;,Germany;Chile;,Poster,http://openaccess.thecvf.com/content_iccv_2013/html/Sipiran_A_Fully_Hierarchical_2013_ICCV_paper.html,http://openaccess.thecvf.com/content_iccv_2013/papers/Sipiran_A_Fully_Hierarchical_2013_ICCV_paper.pdf,,
11,A General Dense Image Matching Framework Combining Direct and Feature-Based Costs,,Jim Braux-Zin;Romain Dupont;Adrien Bartoli;,CEA;Université d’Auvergne;,France;,Poster,http://openaccess.thecvf.com/content_iccv_2013/html/Braux-Zin_A_General_Dense_2013_ICCV_paper.html,http://openaccess.thecvf.com/content_iccv_2013/papers/Braux-Zin_A_General_Dense_2013_ICCV_paper.pdf,,
