Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL,CVF URL,Arxiv URL
58,,"computational photography, face and gesture, and vision for x",Stefanos Eleftheriadis;Ognjen Rudovic;Maja Pantic;,Imperial College London;University of Twente;,United Kingdom;Netherlands;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Eleftheriadis_Multi-Conditional_Latent_Variable_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Eleftheriadis_Multi-Conditional_Latent_Variable_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Eleftheriadis_Multi-Conditional_Latent_Variable_ICCV_2015_paper.html,
59,,"computational photography, face and gesture, and vision for x",Xiang Li;Wei-Shi Zheng;Xiaojuan Wang;Tao Xiang;Shaogang Gong;,Sun Yat-sen University;Queen Mary University of London;,China;United Kingdom;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Li_Multi-Scale_Learning_for_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Li_Multi-Scale_Learning_for_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Li_Multi-Scale_Learning_for_ICCV_2015_paper.html,
60,,"computational photography, face and gesture, and vision for x",Chi Su;Fan Yang;Shiliang Zhang;Qi Tian;Larry S. Davis;Wen Gao;,,,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Su_Multi-Task_Learning_With_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Su_Multi-Task_Learning_With_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Su_Multi-Task_Learning_With_ICCV_2015_paper.html,
61,,"computational photography, face and gesture, and vision for x",Ting-Chun Wang;Alexei A. Efros;Ravi Ramamoorthi;,"University of California, Berkeley;University of California, San Diego;",United States;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Wang_Occlusion-Aware_Depth_Estimation_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Wang_Occlusion-Aware_Depth_Estimation_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Wang_Occlusion-Aware_Depth_Estimation_ICCV_2015_paper.html,
62,,"computational photography, face and gesture, and vision for x",Pratul P. Srinivasan;Michael W. Tao;Ren Ng;Ravi Ramamoorthi;,"University of California, Berkeley;University of California, San Diego;",United States;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Srinivasan_Oriented_Light-Field_Windows_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Srinivasan_Oriented_Light-Field_Windows_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Srinivasan_Oriented_Light-Field_Windows_ICCV_2015_paper.html,
63,,"computational photography, face and gesture, and vision for x",Arnaud Dapogny;Kevin Bailly;Severine Dubuisson;,Sorbonne Universités;,France;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Dapogny_Pairwise_Conditional_Random_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Dapogny_Pairwise_Conditional_Random_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Dapogny_Pairwise_Conditional_Random_ICCV_2015_paper.html,
64,,"computational photography, face and gesture, and vision for x",Seong Joon Oh;Rodrigo Benenson;Mario Fritz;Bernt Schiele;,Max Planck Institute for Informatics;,Germany;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Oh_Person_Recognition_in_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Oh_Person_Recognition_in_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Oh_Person_Recognition_in_ICCV_2015_paper.html,
65,,"computational photography, face and gesture, and vision for x",Xiangbo Shu;Jinhui Tang;Hanjiang Lai;Luoqi Liu;Shuicheng Yan;,Nanjing University of Science and Technology;National University of Singapore;,China;Singapore;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Shu_Personalized_Age_Progression_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Shu_Personalized_Age_Progression_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Shu_Personalized_Age_Progression_ICCV_2015_paper.html,
66,,"computational photography, face and gesture, and vision for x",Zak Murez;Tali Treibitz;Ravi Ramamoorthi;David Kriegman;,,,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Murez_Photometric_Stereo_in_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Murez_Photometric_Stereo_in_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Murez_Photometric_Stereo_in_ICCV_2015_paper.html,
67,,"computational photography, face and gesture, and vision for x",Jian Wang;Yasuyuki Matsushita;Boxin Shi;Aswin C. Sankaranarayanan;,,,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Wang_Photometric_Stereo_With_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Wang_Photometric_Stereo_With_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Wang_Photometric_Stereo_With_ICCV_2015_paper.html,
