Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
1,“Convex Until Proven Guilty”: Dimension-Free Acceleration of Gradient Descent on Non-Convex Functions,,Yair Carmon;John C. Duchi;Oliver Hinder;Aaron Sidford;,Stanford University;,Poster,,http://proceedings.mlr.press/v70/carmon17a/carmon17a.pdf
2,A Birth-Death Process for Feature Allocation,,Konstantina Palla;David Knowles;Zoubin Ghahramani;,University of Oxford;Stanford University;University of Cambridge;Uber AI Labs;,Poster,,http://proceedings.mlr.press/v70/palla17a/palla17a.pdf
3,A Closer Look at Memorization in Deep Networks,,Devansh Arpit;Stanisław Jastrzębski;Nicolas Ballas;David Krueger;Emmanuel Bengio;Maxinder S. Kanwal;Tegan Maharaj;Asja Fischer;Aaron Courville;Yoshua Bengio;Simon Lacoste-Julien;,,Poster,,http://proceedings.mlr.press/v70/arpit17a/arpit17a.pdf
4,A Distributional Perspective on Reinforcement Learning,,Marc G. Bellemare;Will Dabney;Rémi Munos;,DeepMind;,Poster,,http://proceedings.mlr.press/v70/bellemare17a/bellemare17a.pdf
5,A Divergence Bound for Hybrids of MCMC and Variational Inference and an Application to Langevin Dynamics and SGVI,,Justin Domke;,University of Massachusetts Amherst;,Poster,,http://proceedings.mlr.press/v70/domke17a/domke17a.pdf
6,A Laplacian Framework for Option Discovery in Reinforcement Learning,,Marlos C. Machado;Marc G. Bellemare;Michael Bowling;,University of Alberta;Google;,Poster,,http://proceedings.mlr.press/v70/machado17a/machado17a.pdf
7,A Richer Theory of Convex Constrained Optimization with Reduced Projections and Improved Rates,,Tianbao Yang;Qihang Lin;Lijun Zhang;,University of Iowa;Nanjing University;,Poster,,http://proceedings.mlr.press/v70/yang17f/yang17f.pdf
8,"A Semismooth Newton Method for Fast, Generic Convex Programming",,Alnur Ali;Eric Wong;J. Zico Kolter;,Carnegie Mellon University;,Poster,,http://proceedings.mlr.press/v70/ali17a/ali17a.pdf
9,A Simple Multi-Class Boosting Framework with Theoretical Guarantees and Empirical Proficiency,,Ron Appel;Pietro Perona;,California Institute of Technology;,Poster,,http://proceedings.mlr.press/v70/appel17a/appel17a.pdf
10,A Simulated Annealing Based Inexact Oracle for Wasserstein Loss Minimization,,Jianbo Ye;James Z. Wang;Jia Li;,Pennsylvania State University;,Poster,,http://proceedings.mlr.press/v70/ye17b/ye17b.pdf
11,A Unified Maximum Likelihood Approach for Estimating Symmetric Properties of Discrete Distributions,,Jayadev Acharya;Hirakendu Das;Alon Orlitsky;Ananda Theertha Suresh;,"Cornell University;Yahoo;University of California, San Diego;Google;",Poster,,http://proceedings.mlr.press/v70/acharya17a/acharya17a.pdf
12,A Unified Variance Reduction-Based Framework for Nonconvex Low-Rank Matrix Recovery,,Lingxiao Wang;Xiao Zhang;Quanquan Gu;,University of Virginia;,Poster,,http://proceedings.mlr.press/v70/wang17n/wang17n.pdf
13,A Unified View of Multi-Label Performance Measures,,Xi-Zhu Wu;Zhi-Hua Zhou;,Nanjing University;,Poster,,http://proceedings.mlr.press/v70/wu17a/wu17a.pdf
14,Accelerating Eulerian Fluid Simulation With Convolutional Networks,,Jonathan Tompson;Kristofer Schlachter;Pablo Sprechmann;Ken Perlin;,Google;New York University;,Poster,,http://proceedings.mlr.press/v70/tompson17a/tompson17a.pdf
15,Active Heteroscedastic Regression,,Kamalika Chaudhuri;Prateek Jain;Nagarajan Natarajan;,"University of California, San Diego;Microsoft;",Poster,,http://proceedings.mlr.press/v70/chaudhuri17a/chaudhuri17a.pdf
16,Active Learning for Accurate Estimation of Linear Models,,Carlos Riquelme;Mohammad Ghavamzadeh;Alessandro Lazaric;,Stanford University;DeepMind;Adobe;INRIA;,Poster,,http://proceedings.mlr.press/v70/riquelme17a/riquelme17a.pdf
17,Active Learning for Cost-Sensitive Classification,,Akshay Krishnamurthy;Alekh Agarwal;Tzu-Kuo Huang;Hal Daumé III;John Langford;,University of Massachusetts Amherst;Microsoft;Uber;University of Maryland;,Poster,,http://proceedings.mlr.press/v70/krishnamurthy17a/krishnamurthy17a.pdf
18,Active Learning for Top-$K$ Rank Aggregation from Noisy Comparisons,,Soheil Mohajer;Changho Suh;Adel Elmahdy;,University of Minnesota;Korea Advanced Institute of Science and Technology;,Poster,,http://proceedings.mlr.press/v70/mohajer17a/mohajer17a.pdf
19,AdaNet: Adaptive Structural Learning of Artificial Neural Networks,,Corinna Cortes;Xavier Gonzalvo;Vitaly Kuznetsov;Mehryar Mohri;Scott Yang;,Google;Courant Institute of Mathematical Sciences;,Poster,,http://proceedings.mlr.press/v70/cortes17a/cortes17a.pdf
20,Adapting Kernel Representations Online Using Submodular Maximization,,Matthew Schlegel;Yangchen Pan;Jiecao Chen;Martha White;,Indiana University;,Poster,,http://proceedings.mlr.press/v70/schlegel17a/schlegel17a.pdf
21,Adaptive Consensus ADMM for Distributed Optimization,,Zheng Xu;Gavin Taylor;Hao Li;Mário A. T. Figueiredo;Xiaoming Yuan;Tom Goldstein;,,Poster,,http://proceedings.mlr.press/v70/xu17c/xu17c.pdf
22,Adaptive Feature Selection: Computationally Efficient Online Sparse Linear Regression under RIP,,Satyen Kale;Zohar Karnin;Tengyuan Liang;Dávid Pál;,Google;Amazon;University of Chicago;Yahoo Research;,Poster,,http://proceedings.mlr.press/v70/kale17a/kale17a.pdf
23,Adaptive Multiple-Arm Identification,,Jiecao Chen;Xi Chen;Qin Zhang;Yuan Zhou;,Indiana University;New York University;,Poster,,http://proceedings.mlr.press/v70/chen17b/chen17b.pdf
24,Adaptive Neural Networks for Efficient Inference,,Tolga Bolukbasi;Joseph Wang;Ofer Dekel;Venkatesh Saligrama;,Boston University;Amazon;Microsoft;,Poster,,http://proceedings.mlr.press/v70/bolukbasi17a/bolukbasi17a.pdf
25,Adaptive Sampling Probabilities for Non-Smooth Optimization,,Hongseok Namkoong;Aman Sinha;Steve Yadlowsky;John C. Duchi;,Stanford University;,Poster,,http://proceedings.mlr.press/v70/namkoong17a/namkoong17a.pdf
26,Adversarial Feature Matching for Text Generation,,Yizhe Zhang;Zhe Gan;Kai Fan;Zhi Chen;Ricardo Henao;Dinghan Shen;Lawrence Carin;,Duke University;,Poster,,http://proceedings.mlr.press/v70/zhang17b/zhang17b.pdf
27,Adversarial Variational Bayes: Unifying Variational Autoencoders and Generative Adversarial Networks,,Lars Mescheder;Sebastian Nowozin;Andreas Geiger;,Max Planck Institute for Biological Cybernetics;Microsoft;ETH Zurich;,Poster,,http://proceedings.mlr.press/v70/mescheder17a/mescheder17a.pdf
28,Algebraic Variety Models for High-Rank Matrix Completion,,Greg Ongie;Rebecca Willett;Robert D. Nowak;Laura Balzano;,University of Michigan;University of Wisconsin-Madison;,Poster,,http://proceedings.mlr.press/v70/ongie17a/ongie17a.pdf
