Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
1,A Baseline for Any Order Gradient Estimation in Stochastic Computation Graphs,,Jingkai Mao;Jakob Foerster;Tim Rocktäschel;Maruan Al-Shedivat;Gregory Farquhar;Shimon Whiteson;,Man AHL;University of Oxford;University College London;Carnegie Mellon University;,Oral,,http://proceedings.mlr.press/v97/mao19a/mao19a.pdf
2,A Better k-means++ Algorithm via Local Search,,Silvio Lattanzi;Christian Sohler;,Google;,Oral,,http://proceedings.mlr.press/v97/lattanzi19a/lattanzi19a.pdf
3,A Block Coordinate Descent Proximal Method for Simultaneous Filtering and Parameter Estimation,,Ramin Raziperchikolaei;Harish Bhat;,"Rakuten Institute of Technology;University of California, Merced;University of Utah;",Oral,,http://proceedings.mlr.press/v97/raziperchikolaei19a/raziperchikolaei19a.pdf
4,A Composite Randomized Incremental Gradient Method,,Junyu Zhang;Lin Xiao;,University of Minnesota;Microsoft;,Oral,,http://proceedings.mlr.press/v97/zhang19n/zhang19n.pdf
5,A Conditional-Gradient-Based Augmented Lagrangian Framework,,Alp Yurtsever;Olivier Fercoq;Volkan Cevher;,EPFL;Télécom ParisTech;,Oral,,http://proceedings.mlr.press/v97/yurtsever19a/yurtsever19a.pdf
6,A Contrastive Divergence for Combining Variational Inference and MCMC,,Francisco Ruiz;Michalis Titsias;,University of Cambridge;Columbia University;DeepMind;,Oral,,http://proceedings.mlr.press/v97/ruiz19a/ruiz19a.pdf
7,A Convergence Theory for Deep Learning via Over-Parameterization,,Zeyuan Allen-Zhu;Yuanzhi Li;Zhao Song;,Microsoft;Stanford University;Princeton University;University of Texas at Austin;University of Washington;Harvard University;,Oral,,http://proceedings.mlr.press/v97/allen-zhu19a/allen-zhu19a.pdf
8,A Deep Reinforcement Learning Perspective on Internet Congestion Control,,Nathan Jay;Noga Rotman;Brighten Godfrey;Michael Schapira;Aviv Tamar;,University of Illinois Urbana-Champaign;Hebrew University of Jerusalem;Technion - Israel Institute of Technology;,Oral,,http://proceedings.mlr.press/v97/jay19a/jay19a.pdf
9,A Dynamical Systems Perspective on Nesterov Acceleration,,Michael Muehlebach;Michael Jordan;,"University of California, Berkeley;",Oral,,http://proceedings.mlr.press/v97/muehlebach19a/muehlebach19a.pdf
10,A Framework for Bayesian Optimization in Embedded Subspaces,,Amin Nayebi;Alexander Munteanu;Matthias Poloczek;,TU Dortmund;University of Arizona;Uber AI Labs;,Oral,,http://proceedings.mlr.press/v97/nayebi19a/nayebi19a.pdf
11,A fully differentiable beam search decoder,,Ronan Collobert;Awni Hannun;Gabriel Synnaeve;,Meta;,Oral,,http://proceedings.mlr.press/v97/collobert19a/collobert19a.pdf
12,"A Gradual, Semi-Discrete Approach to Generative Network Training via Explicit Wasserstein Minimization",,Yucheng Chen;Matus Telgarsky;Chao Zhang;Bolton Bailey;Daniel Hsu;Jian Peng;,University of Illinois Urbana-Champaign;Columbia University;,Oral,,http://proceedings.mlr.press/v97/chen19h/chen19h.pdf
13,A Kernel Perspective for Regularizing Deep Neural Networks,,Alberto Bietti;Grégoire Mialon;Dexiong Chen;Julien Mairal;,Universite Grenoble Alpes;École Normale Supérieure;,Oral,,http://proceedings.mlr.press/v97/bietti19a/bietti19a.pdf
14,A Kernel Theory of Modern Data Augmentation,,Tri Dao;Albert Gu;Alexander Ratner;Virginia Smith;Chris De Sa;Christopher Re;,Stanford University;Carnegie Mellon University;Cornell University;,Oral,,http://proceedings.mlr.press/v97/dao19b/dao19b.pdf
15,A Large-Scale Study on Regularization and Normalization in GANs,,Karol Kurach;Mario Lučić;Xiaohua Zhai;Marcin Michalski;Sylvain Gelly;,Google;,Oral,,http://proceedings.mlr.press/v97/kurach19a/kurach19a.pdf
16,A Multitask Multiple Kernel Learning Algorithm for Survival Analysis with Application to Cancer Biology,,Onur Dereli;Ceyda Oğuz;Mehmet Gönen;,Koc University;Oregon Health & Science University;,Oral,,http://proceedings.mlr.press/v97/dereli19a/dereli19a.pdf
17,A Persistent Weisfeiler-Lehman Procedure for Graph Classification,,Bastian Rieck;Christian Bock;Karsten Borgwardt;,ETH Zurich;,Oral,,http://proceedings.mlr.press/v97/rieck19a/rieck19a.pdf
