Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
1,\proptoSVM for Learning with Label Proportions,,Felix Yu;Dong Liu;Sanjiv Kumar;Jebara Tony;Shih-Fu Chang;,Columbia University;Google;,Poster,,http://proceedings.mlr.press/v28/yu13a.pdf
2,A Fast and Exact Energy Minimization Algorithm for Cycle MRFs,,Huayan Wang;Koller Daphne;,Stanford University;,Poster,,http://proceedings.mlr.press/v28/wang13f.pdf
3,A General Iterative Shrinkage and Thresholding Algorithm for Non-convex Regularized Optimization Problems,,Pinghua Gong;Changshui Zhang;Zhaosong Lu;Jianhua Huang;Jieping Ye;,State Key Laboratory on Intelligent Technology and Systems;Tsinghua University;Simon Fraser University;Texas A&M University;Arizona State University;,Poster,,http://proceedings.mlr.press/v28/gong13a.pdf
4,A Generalized Kernel Approach to Structured Output Learning,,Hachem Kadri;Mohammad Ghavamzadeh;Philippe Preux;,Université d’Aix-Marseille;INRIA Lille - Nord Europe;Université de Lille;,Poster,,http://proceedings.mlr.press/v28/kadri13.pdf
5,A Local Algorithm for Finding Well-Connected Clusters,,Zeyuan Allen Zhu;Silvio Lattanzi;Vahab Mirrokni;,Massachusetts Institute of Technology;Google;,Poster,,http://proceedings.mlr.press/v28/allenzhu13.pdf
6,A Machine Learning Framework for Programming by Example,,Aditya Menon;Omer Tamuz;Sumit Gulwani;Butler Lampson;Adam Kalai;,"University of California, San Diego;Weizmann Institute of Science;Microsoft;",Poster,,http://proceedings.mlr.press/v28/menon13.pdf
7,A New Frontier of Kernel Design for Structured Data,,Kilho Shin;,University of Hyogo;,Poster,,http://proceedings.mlr.press/v28/shin13.pdf
8,A non-IID Framework for Collaborative Filtering with Restricted Boltzmann Machines,,Kostadin Georgiev;Preslav Nakov;,VMware Bulgaria EOOD;Qatar Computing Research Institute;,Poster,,http://proceedings.mlr.press/v28/georgiev13.pdf
9,A PAC-Bayesian Approach for Domain Adaptation with Specialization to Linear Classifiers,,Pascal Germain;Amaury Habrard;François Laviolette;Emilie Morvant;,Université Laval;Université Jean Monnet;Aix-Marseille University;,Poster,,http://proceedings.mlr.press/v28/germain13.pdf
10,A Practical Algorithm for Topic Modeling with Provable Guarantees,,Sanjeev Arora;Rong Ge;Yonatan Halpern;David Mimno;Ankur Moitra;David Sontag;Yichen Wu;Michael Zhu;,Princeton University;New York University;Institute for Advanced Study;,Poster,,http://proceedings.mlr.press/v28/arora13.pdf
11,A proximal Newton framework for composite minimization: Graph learning without Cholesky decompositions and matrix inversions,,Quoc Tran Dinh;Anastasios Kyrillidis;Volkan Cevher;,EPFL;,Poster,,http://proceedings.mlr.press/v28/trandinh13.pdf
12,A Randomized Mirror Descent Algorithm for Large Scale Multiple Kernel Learning,,Arash Afkanpour;András György;Csaba Szepesvari;Michael Bowling;,University of Alberta;,Poster,,http://proceedings.mlr.press/v28/afkanpour13.pdf
13,A Spectral Learning Approach to Range-Only SLAM,,Byron Boots;Geoff Gordon;,University of Washington;Carnegie Mellon University;,Poster,,http://proceedings.mlr.press/v28/boots13.pdf
14,A Structural SVM Based Approach for Optimizing Partial AUC,,Harikrishna Narasimhan;Shivani Agarwal;,Indian Institute of Science;,Poster,,http://proceedings.mlr.press/v28/narasimhan13.pdf
15,A Unified Robust Regression Model for Lasso-like Algorithms,,Wenzhuo Yang;Huan Xu;,National University of Singapore;,Poster,,http://proceedings.mlr.press/v28/yang13e.pdf
16,A unifying framework for vector-valued manifold regularization and multi-view learning,,Minh Hà Quang;Loris Bazzani;Vittorio Murino;,Istituto Italiano di Tecnologia;,Poster,,http://proceedings.mlr.press/v28/haquang13.pdf
