Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
1,$D^2$: Decentralized Training over Decentralized Data,,Hanlin Tang;Xiangru Lian;Ming Yan;Ce Zhang;Ji Liu;,,Oral,,http://proceedings.mlr.press/v80/tang18a/tang18a.pdf
2,A Boo(n) for Evaluating Architecture Performance,,Ondrej Bajgar;Rudolf Kadlec;Jan Kleindienst;,IBM;DeepMind;,Oral,,http://proceedings.mlr.press/v80/bajgar18a/bajgar18a.pdf
3,A Classification-Based Study of Covariate Shift in GAN Distributions,,Shibani Santurkar;Ludwig Schmidt;Aleksander Madry;,Massachusetts Institute of Technology;,Oral,,http://proceedings.mlr.press/v80/santurkar18a/santurkar18a.pdf
4,A Conditional Gradient Framework for Composite Convex Minimization with Applications to Semidefinite Programming,,Alp Yurtsever;Olivier Fercoq;Francesco Locatello;Volkan Cevher;,EPFL;Télécom ParisTech;ETH Zurich;Max Planck Institute for Intelligent Systems;,Oral,,http://proceedings.mlr.press/v80/yurtsever18a/yurtsever18a.pdf
5,A Delay-tolerant Proximal-Gradient Algorithm for Distributed Learning,,Konstantin Mishchenko;Franck Iutzeler;Jérôme Malick;Massih-Reza Amini;,King Abdullah University of Science and Technology;Université Grenoble Alpes;CNRS;,Oral,,http://proceedings.mlr.press/v80/mishchenko18a/mishchenko18a.pdf
6,A Distributed Second-Order Algorithm You Can Trust,,Celestine Duenner;Aurelien Lucchi;Matilde Gargiani;An Bian;Thomas Hofmann;Martin Jaggi;,IBM;ETH Zurich;Albert-Ludwigs-Universität Freiburg;EPFL;,Oral,,http://proceedings.mlr.press/v80/duenner18a/duenner18a.pdf
7,A Fast and Scalable Joint Estimator for Integrating Additional Knowledge in Learning Multiple Related Sparse Gaussian Graphical Models,,Beilun Wang;Arshdeep Sekhon;Yanjun Qi;,University of Virginia;,Oral,,http://proceedings.mlr.press/v80/wang18f/wang18f.pdf
8,A Hierarchical Latent Vector Model for Learning Long-Term Structure in Music,,Adam Roberts;Jesse Engel;Colin Raffel;Curtis Hawthorne;Douglas Eck;,Google;,Oral,,http://proceedings.mlr.press/v80/roberts18a/roberts18a.pdf
9,A Primal-Dual Analysis of Global Optimality in Nonconvex Low-Rank Matrix Recovery,,Xiao Zhang;Lingxiao Wang;Yaodong Yu;Quanquan Gu;,"University of Virginia;University of California, Los Angeles;",Oral,,http://proceedings.mlr.press/v80/zhang18m/zhang18m.pdf
10,A probabilistic framework for multi-view feature learning with many-to-many associations via neural networks,,Akifumi Okuno;Tetsuya Hada;Hidetoshi Shimodaira;,"Kyoto University;RIKEN Center for Advanced Intelligence Project;Recruit Technologies Co., Ltd.;",Oral,,http://proceedings.mlr.press/v80/okuno18a/okuno18a.pdf
