Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
1,(Near) Dimension Independent Risk Bounds for Differentially Private Learning,,Prateek Jain;Abhradeep Guha Thakurta;,Microsoft;Stanford University;,Poster,,http://proceedings.mlr.press/v32/jain14.pdf
2,A Bayesian Framework for Online Classifier Ensemble,,Qinxun Bai;Henry Lam;Stan Sclaroff;,Boston University;,Poster,,http://proceedings.mlr.press/v32/bai14.pdf
3,A Bayesian Wilcoxon signed-rank test based on the Dirichlet process,,Alessio Benavoli;Giorgio Corani;Francesca Mangili;Marco Zaffalon;Fabrizio Ruggeri;,IDSIA;CNR IMATI;,Poster,,http://proceedings.mlr.press/v32/benavoli14.pdf
4,A Clockwork RNN,,Jan Koutnik;Klaus Greff;Faustino Gomez;Juergen Schmidhuber;,IDSIA;,Poster,,http://proceedings.mlr.press/v32/koutnik14.pdf
5,A Compilation Target for Probabilistic Programming Languages,,Brooks Paige;Frank Wood;,University of Oxford;,Poster,,http://proceedings.mlr.press/v32/paige14.pdf
6,A Consistent Histogram Estimator for Exchangeable Graph Models,,Stanley Chan;Edoardo Airoldi;,Harvard University;,Poster,,http://proceedings.mlr.press/v32/chan14.pdf
7,"A Convergence Rate Analysis for LogitBoost, MART and Their Variant",,Peng Sun;Tong Zhang;Jie Zhou;,Tsinghua University;Baidu;Rutgers University;,Poster,,http://proceedings.mlr.press/v32/sunc14.pdf
8,A Deep and Tractable Density Estimator,,Benigno Uria;Iain Murray;Hugo Larochelle;,University of Edinburgh;Universit u00e9 de Sherbrooke;,Poster,,http://proceedings.mlr.press/v32/uria14.pdf
9,A Deep Semi-NMF Model for Learning Hidden Representations,,George Trigeorgis;Konstantinos Bousmalis;Stefanos Zafeiriou;Bjoern Schuller;,Imperial College London;,Poster,,http://proceedings.mlr.press/v32/trigeorgis14.pdf
10,A Discriminative Latent Variable Model for Online Clustering,,Rajhans Samdani;Kai-Wei Chang;Dan Roth;,Google;University of Illinois;,Poster,,http://proceedings.mlr.press/v32/samdani14.pdf
11,A Divide-and-Conquer Solver for Kernel Support Vector Machines,,Cho-Jui Hsieh;Si Si;Inderjit Dhillon;,University of Texas at Austin;,Poster,,http://proceedings.mlr.press/v32/hsieha14.pdf
12,A Highly Scalable Parallel Algorithm for Isotropic Total Variation Models,,Jie Wang;Qingyang Li;Sen Yang;Wei Fan;Peter Wonka;Jieping Ye;,Arizona State University;Huawei;King Abdullah University of Science and Technology;,Poster,,http://proceedings.mlr.press/v32/wangb14.pdf
13,A Kernel Independence Test for Random Processes,,Kacper Chwialkowski;Arthur Gretton;,University College London;,Poster,,http://proceedings.mlr.press/v32/chwialkowski14.pdf
14,A new Q(lambda) with interim forward view and Monte Carlo equivalence,,Rich Sutton;Ashique Rupam Mahmood;Doina Precup;Hado Hasselt;,University of Alberta;McGill University;,Poster,,http://proceedings.mlr.press/v32/sutton14.pdf
15,A PAC-Bayesian bound for Lifelong Learning,,Anastasia Pentina;Christoph Lampert;,Institute of Science and Technology Austria;,Poster,,http://proceedings.mlr.press/v32/pentina14.pdf
16,A Physics-Based Model Prior for Object-Oriented MDPs,,Jonathan Scholz;Martin Levihn;Charles Isbell;David Wingate;,Georgia Institute of Technology;Massachusetts Institute of Technology;,Poster,,http://proceedings.mlr.press/v32/scholz14.pdf
17,A reversible infinite HMM using normalised random measures,,David Knowles;Zoubin Ghahramani;Konstantina Palla;,University of Cambridge;Stanford University;,Poster,,http://proceedings.mlr.press/v32/knowles14.pdf
