Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
1,A Box-Constrained Approach for Hard Permutation Problems,,Cong Han Lim;Steve Wright;,University of Wisconsin-Madison;,Poster,,http://proceedings.mlr.press/v48/lim16.pdf
2,A Comparative Analysis and Study of Multiview CNN Models for Joint Object Categorization and Pose Estimation,,Mohamed Elhoseiny;Tarek El-Gaaly;Amr Bakry;Ahmed Elgammal;,Rutgers University;,Poster,,http://proceedings.mlr.press/v48/elhoseiny16.pdf
3,A Convex Atomic-Norm Approach to Multiple Sequence Alignment and Motif Discovery,,Ian En-Hsu Yen;Xin Lin;Jiong Zhang;Pradeep Ravikumar;Inderjit Dhillon;,University of Texas at Austin;,Poster,,http://proceedings.mlr.press/v48/yena16.pdf
4,A Convolutional Attention Network for Extreme Summarization of Source Code,,Miltiadis Allamanis;Hao Peng;Charles Sutton;,University of Edinburgh;Peking University;,Poster,,http://proceedings.mlr.press/v48/allamanis16.pdf
5,A Deep Learning Approach to Unsupervised Ensemble Learning,,Uri Shaham;Xiuyuan Cheng;Omer Dror;Ariel Jaffe;Boaz Nadler;Joseph Chang;Yuval Kluger;,Yale University;Google;Weizmann Institute of Science;,Poster,,http://proceedings.mlr.press/v48/shaham16.pdf
6,A Distributed Variational Inference Framework for Unifying Parallel Sparse Gaussian Process Regression Models,,Trong Nghia Hoang;Quang Minh Hoang;Bryan Kian Hsiang Low;,National University of Singapore;,Poster,,http://proceedings.mlr.press/v48/hoang16.pdf
7,A Kernel Test of Goodness of Fit,,Kacper Chwialkowski;Heiko Strathmann;Arthur Gretton;,University College London;,Poster,,http://proceedings.mlr.press/v48/chwialkowski16.pdf
8,A Kernelized Stein Discrepancy for Goodness-of-fit Tests,,Qiang Liu;Jason Lee;Michael Jordan;,"Dartmouth College;University of California, Berkeley;",Poster,,http://proceedings.mlr.press/v48/liub16.pdf
9,A Kronecker-factored approximate Fisher matrix for convolution layers,,Roger Grosse;James Martens;,University of Toronto;,Poster,,http://proceedings.mlr.press/v48/grosse16.pdf
10,A Neural Autoregressive Approach to Collaborative Filtering,,Yin Zheng;Bangsheng Tang;Wenkui Ding;Hanning Zhou;,Hulu LLC;,Poster,,http://proceedings.mlr.press/v48/zheng16.pdf
11,A New PAC-Bayesian Perspective on Domain Adaptation,,Pascal Germain;Amaury Habrard;François Laviolette;Emilie Morvant;,INRIA;Ecole Normale Superieure;Universite Lyon;Université Laval;,Poster,,http://proceedings.mlr.press/v48/germain16.pdf
12,A Random Matrix Approach to Echo-State Neural Networks,,Romain Couillet;Gilles Wainrib;Hafiz Tiomoko Ali;Harry Sevi;,CentraleSupélec;Ecole Normale Supérieure;École Normale Supérieure de Lyon;,Poster,,http://proceedings.mlr.press/v48/couillet16.pdf
13,A ranking approach to global optimization,,Cedric Malherbe;Emile Contal;Nicolas Vayatis;,École Normale Supérieure de Cachan;,Poster,,http://proceedings.mlr.press/v48/malherbe16.pdf
14,A Self-Correcting Variable-Metric Algorithm for Stochastic Optimization,,Frank Curtis;,Lehigh University;,Poster,,http://proceedings.mlr.press/v48/curtis16.pdf
15,A Simple and Provable Algorithm for Sparse Diagonal CCA,,Megasthenis Asteris;Anastasios Kyrillidis;Oluwasanmi Koyejo;Russell Poldrack;,University of Texas at Austin;Stanford University;,Poster,,http://proceedings.mlr.press/v48/asteris16.pdf
16,A Simple and Strongly-Local Flow-Based Method for Cut Improvement,,Nate Veldt;David Gleich;Michael Mahoney;,"Purdue University;University of California, Berkeley;",Poster,,http://proceedings.mlr.press/v48/veldt16.pdf
17,A Subspace Learning Approach for High Dimensional Matrix Decomposition with Efficient Column/Row Sampling,,Mostafa Rahmani;Geroge Atia;,University of Central Florida;,Poster,,http://proceedings.mlr.press/v48/rahmani16.pdf
18,A Superlinearly-Convergent Proximal Newton-type Method for the Optimization of Finite Sums,,Anton Rodomanov;Dmitry Kropotov;,Higher School of Economics;Lomonosov Moscow State University;,Poster,,http://proceedings.mlr.press/v48/rodomanov16.pdf
19,A Theory of Generative ConvNet,,Jianwen Xie;Yang Lu;Song-Chun Zhu;Yingnian Wu;,"University of California, Los Angeles;",Poster,,http://proceedings.mlr.press/v48/xiec16.pdf
20,A Variational Analysis of Stochastic Gradient Algorithms,,Stephan Mandt;Matthew Hoffman;David Blei;,Columbia University;Adobe;,Poster,,http://proceedings.mlr.press/v48/mandt16.pdf
21,Accurate Robust and Efficient Error Estimation for Decision Trees,,Lixin Fan;,Nokia Technologies;,Poster,,http://proceedings.mlr.press/v48/fan16.pdf
22,Actively Learning Hemimetrics with Applications to Eliciting User Preferences,,Adish Singla;Sebastian Tschiatschek;Andreas Krause;,ETH Zurich;,Poster,,http://proceedings.mlr.press/v48/singla16.pdf
23,Adaptive Algorithms for Online Convex Optimization with Long-term Constraints,,Rodolphe Jenatton;Jim Huang;Cedric Archambeau;,Amazon;,Poster,,http://proceedings.mlr.press/v48/jenatton16.pdf
24,Adaptive Sampling for SGD by Exploiting Side Information,,Siddharth Gopal;,Google;,Poster,,http://proceedings.mlr.press/v48/gopal16.pdf
25,Additive Approximations in High Dimensional Nonparametric Regression via the SALSA,,Kirthevasan Kandasamy;Yaoliang Yu;,Carnegie Mellon University;,Poster,,http://proceedings.mlr.press/v48/kandasamy16.pdf
26,ADIOS: Architectures Deep In Output Space,,Moustapha Cisse;Maruan Al-Shedivat;Samy Bengio;,Meta;Carnegie Mellon University;Google;,Poster,,http://proceedings.mlr.press/v48/cisse16.pdf
27,Algorithms for Optimizing the Ratio of Submodular Functions,,Wenruo Bai;Rishabh Iyer;Kai Wei;Jeff Bilmes;,University of Washington;,Poster,,http://proceedings.mlr.press/v48/baib16.pdf
28,An optimal algorithm for the Thresholding Bandit Problem,,Andrea Locatelli;Maurilio Gutzeit;Alexandra Carpentier;,University of Potsdam;,Poster,,http://proceedings.mlr.press/v48/locatelli16.pdf
