Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
26,A simpler approach to accelerated optimization: iterative averaging meets optimism,,Pooria Joulani;Anant Raj;Andras Gyorgy;Csaba Szepesvari;,DeepMind;Max-Planck Institute for Intelligent Systems;University of Alberta;,Poster,,http://proceedings.mlr.press/v119/joulani20a/joulani20a.pdf
27,A Swiss Army Knife for Minimax Optimal Transport,,Sofien Dhouib;Ievgen Redko;Tanguy Kerdoncuff;Rémi Emonet;Marc Sebban;,Universite Lyon;,Poster,,http://proceedings.mlr.press/v119/dhouib20a/dhouib20a.pdf
28,A Tree-Structured Decoder for Image-to-Markup Generation,,Jianshu Zhang;Jun Du;Yongxin Yang;Yi-Zhe Song;Si Wei;Lirong Dai;,University of Science and Technology of China;iFLYTEK Research;University of Surrey;,Poster,,http://proceedings.mlr.press/v119/zhang20g/zhang20g.pdf
29,A Unified Theory of Decentralized SGD with Changing Topology and Local Updates,,Anastasia Koloskova;Nicolas Loizou;Sadra Boreiri;Martin Jaggi;Sebastian Stich;,EPFL;Université de Montréal;,Poster,,http://proceedings.mlr.press/v119/koloskova20a/koloskova20a.pdf
30,Abstraction Mechanisms Predict Generalization in Deep Neural Networks,,Alex Gain;Hava Siegelmann;,Johns Hopkins University;University of Massachusetts Amherst;,Poster,,http://proceedings.mlr.press/v119/gain20a/gain20a.pdf
31,Accelerated Message Passing for Entropy-Regularized MAP Inference,,Jonathan Lee;Aldo Pacchiano;Peter Bartlett;Michael Jordan;,"Stanford University;University of California, Berkeley;",Poster,,http://proceedings.mlr.press/v119/lee20e/lee20e.pdf
32,Accelerated Stochastic Gradient-free and Projection-free Methods,,Feihu Huang;Lue Tao;Songcan Chen;,Nanjing University of Aeronautics and Astronautics;MIIT;,Poster,,http://proceedings.mlr.press/v119/huang20j/huang20j.pdf
33,Accelerating Large-Scale Inference with Anisotropic Vector Quantization,,Ruiqi Guo;Philip Sun;Erik Lindgren;Quan Geng;David Simcha;Felix Chern;Sanjiv Kumar;,Google;,Poster,,http://proceedings.mlr.press/v119/guo20h/guo20h.pdf
34,Accelerating the diffusion-based ensemble sampling by non-reversible dynamics,,Futoshi Futami;Issei Sato;Masashi Sugiyama;,University of Tokyo;RIKEN;,Poster,,http://proceedings.mlr.press/v119/futami20a/futami20a.pdf
35,Acceleration for Compressed Gradient Descent in Distributed and Federated Optimization,,Zhize Li;Dmitry Kovalev;Xun Qian;Peter Richtarik;,King Abdullah University of Science and Technology;,Poster,,http://proceedings.mlr.press/v119/li20g/li20g.pdf
36,Acceleration through spectral density estimation,,Fabian Pedregosa;Damien Scieur;,Google;Samsung;,Poster,,http://proceedings.mlr.press/v119/pedregosa20a/pedregosa20a.pdf
37,Accountable Off-Policy Evaluation With Kernel Bellman Statistics,,Yihao Feng;Tongzheng Ren;Ziyang Tang;Qiang Liu;,University of Texas at Austin;,Poster,,http://proceedings.mlr.press/v119/feng20d/feng20d.pdf
38,ACFlow: Flow Models for Arbitrary Conditional Likelihoods,,Yang Li;Shoaib Akbar;Junier Oliva;,University of North Carolina at Chapel Hill;North Carolina State University;,Poster,,http://proceedings.mlr.press/v119/li20a/li20a.pdf
39,Active Learning on Attributed Graphs via Graph Cognizant Logistic Regression and Preemptive Query Generation,,Florence Regol;Soumyasundar Pal;Yingxue Zhang;Mark Coates;,McGill University;Huawei;,Poster,,http://proceedings.mlr.press/v119/regol20a/regol20a.pdf
40,Active World Model Learning with Progress Curiosity,,Kuno Kim;Megumi Sano;Julian De Freitas;Nick Haber;Daniel Yamins;,Stanford University;Harvard University;,Poster,,http://proceedings.mlr.press/v119/kim20e/kim20e.pdf
41,Adaptive Adversarial Multi-task Representation Learning,,Yuren Mao;Weiwei Liu;Xuemin Lin;,University of New South Wales;Wuhan University;,Poster,,http://proceedings.mlr.press/v119/mao20a/mao20a.pdf
42,Adaptive Checkpoint Adjoint Method for Gradient Estimation in Neural ODE,,Juntang Zhuang;Nicha Dvornek;Xiaoxiao Li;Sekhar Tatikonda;Xenophon Papademetris;James Duncan;,Yale University;Yale School of Medicine;,Poster,,http://proceedings.mlr.press/v119/zhuang20a/zhuang20a.pdf
43,Adaptive Droplet Routing in Digital Microfluidic Biochips Using Deep Reinforcement Learning,,Tung-Che Liang;Zhanwei Zhong;Yaas Bigdeli;Tsung-Yi Ho;Krishnendu Chakrabarty;Richard Fair;,Duke University;National Tsing Hua University;,Poster,,http://proceedings.mlr.press/v119/liang20c/liang20c.pdf
44,Adaptive Estimator Selection for Off-Policy Evaluation,,Yi Su;Pavithra Srinath;Akshay Krishnamurthy;,Cornell University;Microsoft;,Poster,,http://proceedings.mlr.press/v119/su20d/su20d.pdf
45,Adaptive Gradient Descent without Descent,,Yura Malitsky;Konstantin Mishchenko;,EPFL;King Abdullah University of Science and Technology;,Poster,,http://proceedings.mlr.press/v119/malitsky20a/malitsky20a.pdf
46,Adaptive Region-Based Active Learning,,Corinna Cortes;Giulia Desalvo;Claudio Gentile;Mehryar Mohri;Ningshan Zhang;,Google;Courant Institute of Mathematical Sciences;Hudson River Trading;,Poster,,http://proceedings.mlr.press/v119/cortes20a/cortes20a.pdf
47,Adaptive Reward-Poisoning Attacks against Reinforcement Learning,,Xuezhou Zhang;Yuzhe Ma;Adish Singla;Xiaojin Zhu;,University of Wisconsin-Madison;Max Planck Institute for Software Systems;,Poster,,http://proceedings.mlr.press/v119/zhang20u/zhang20u.pdf
