Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
1,"""Why did the Model Fail?"": Attributing Model Performance Changes to Distribution Shifts",,Haoran Zhang;Harvineet Singh;Marzyeh Ghassemi;Shalmali Joshi;,Massachusetts Institute of Technology;New York University;Columbia University;,Poster,https://openreview.net/forum?id=LwSKljRST0,https://openreview.net/pdf?id=LwSKljRST0
2,$\pi$-Tuning: Transferring Multimodal Foundation Models with Optimal Multi-task Interpolation,,Chengyue Wu;Teng Wang;Yixiao Ge;Zeyu Lu;Ruisong Zhou;Ying Shan;Ping Luo;,Harbin Institute of Technology;University of Hong Kong;Tencent;Fudan University;,Poster,https://openreview.net/forum?id=B5dh3UDjVs,https://openreview.net/pdf?id=B5dh3UDjVs
3,$H$-Consistency Bounds for Pairwise Misranking Loss Surrogates,,Anqi Mao;Mehryar Mohri;Yutao Zhong;,New York University;Google;,Poster,https://openreview.net/forum?id=IFhGrPAn8f,https://openreview.net/pdf?id=IFhGrPAn8f
4,2D-Shapley: A Framework for Fragmented Data Valuation,,Liu Zhihong;Hoang Anh Just;Xiangyu Chang;Xi Chen;Ruoxi Jia;,Xi'an Jiao Tong University;Virginia Tech;,Poster,https://openreview.net/forum?id=35kjF0gqjA,https://openreview.net/pdf?id=35kjF0gqjA
5,A Category-theoretical Meta-analysis of Definitions of Disentanglement,,Yivan Zhang;Masashi Sugiyama;,RIKEN;University of Tokyo;,Poster,https://openreview.net/forum?id=i0CVEg8kAN,https://openreview.net/pdf?id=i0CVEg8kAN
6,A Closer Look at Few-shot Classification Again,,Xu Luo;Hao Wu;Ji Zhang;Lianli Gao;Jing Xu;Jingkuan Song;,University of Electronic Science and Technology of China;Harbin Institute of Technology;,Poster,https://openreview.net/forum?id=dkjqbwGCZg,https://openreview.net/pdf?id=dkjqbwGCZg
7,A Closer Look at Self-Supervised Lightweight Vision Transformers,,Shaoru Wang;Jin Gao;Zeming Li;Xiaoqin Zhang;Weiming Hu;,Chinese Academy of Sciences;,Poster,https://openreview.net/forum?id=UwEMFweZmC,https://openreview.net/pdf?id=UwEMFweZmC
8,A Closer Look at the Intervention Procedure of Concept Bottleneck Models,,Sungbin Shin;Yohan Jo;Sungsoo Ahn;Namhoon Lee;,Pohang University of Science and Technology;Amazon;Google;,Poster,https://openreview.net/forum?id=YIWtM3GdZc,https://openreview.net/pdf?id=YIWtM3GdZc
9,A Complete Expressiveness Hierarchy for Subgraph GNNs via Subgraph Weisfeiler-Lehman Tests,,Bohang Zhang;Guhao Feng;Yiheng Du;Di He;Liwei Wang;,"Peking University;University of California, Berkeley;Microsoft;",Poster,https://openreview.net/forum?id=2Hp7U3k5Ph,https://openreview.net/pdf?id=2Hp7U3k5Ph
10,A Conditional Normalizing Flow for Accelerated Multi-Coil MR Imaging,,Jeffrey Wen;Rizwan Ahmad;Philip Schniter;,Ohio State University;,Poster,https://openreview.net/forum?id=HpOVpztozV,https://openreview.net/pdf?id=HpOVpztozV
11,A Connection between One-Step RL and Critic Regularization in Reinforcement Learning,,Benjamin Eysenbach;Matthieu Geist;Sergey Levine;Ruslan Salakhutdinov;,Carnegie Mellon University;Google;,Poster,https://openreview.net/forum?id=XXC601YWgq,https://openreview.net/pdf?id=XXC601YWgq
12,A Coupled Flow Approach to Imitation Learning,,Gideon Joseph Freund;Elad Sarafian;Sarit Kraus;,Bar-Ilan University;,Poster,https://openreview.net/forum?id=laR6abCxIu,https://openreview.net/pdf?id=laR6abCxIu
13,A Critical Revisit of Adversarial Robustness in 3D Point Cloud Recognition with Diffusion-Driven Purification,,Jiachen Sun;Jiongxiao Wang;Weili Nie;Zhiding Yu;Zhuoqing Mao;Chaowei Xiao;,University of Michigan;Arizona State University;NVIDIA;,Poster,https://openreview.net/forum?id=dwn6o2pYJp,https://openreview.net/pdf?id=dwn6o2pYJp
14,A Critical View of Vision-Based Long-Term Dynamics Prediction Under Environment Misalignment,,Hanchen Xie;Jiageng Zhu;Mahyar Khayatkhoei;Jiazhi Li;Mohamed E. Hussein;Wael AbdAlmageed;,University of Southern California;,Poster,https://openreview.net/forum?id=5XtZGZ9o4Q,https://openreview.net/pdf?id=5XtZGZ9o4Q
15,A Deep Conjugate Direction Method for Iteratively Solving Linear Systems,,Ayano Kaneda;Osman Akar;Jingyu Chen;Victoria Alicia Trevino Kala;David Hyde;Joseph Teran;,"Waseda University;University of California, Los Angeles;Vanderbilt University;",Poster,https://openreview.net/forum?id=TvILWDB5ke,https://openreview.net/pdf?id=TvILWDB5ke
16,A Distribution Optimization Framework for Confidence Bounds of Risk Measures,,Hao Liang;Zhi-Quan Luo;,Chinese University of Hong Kong;,Poster,https://openreview.net/forum?id=7zvVPRUri8,https://openreview.net/pdf?id=7zvVPRUri8
17,A Fast Optimistic Method for Monotone Variational Inequalities,,Michael Sedlmayer;Dang-Khoa Nguyen;Radu Ioan Bot;,University of Vienna;,Poster,https://openreview.net/forum?id=2djCNo5yXQ,https://openreview.net/pdf?id=2djCNo5yXQ
18,"A Fast, Well-Founded Approximation to the Empirical Neural Tangent Kernel",,Mohamad Amin Mohamadi;Wonho Bae;Danica J. Sutherland;,University of British Columbia;,Poster,https://openreview.net/forum?id=3UXsGzUJc5,https://openreview.net/pdf?id=3UXsGzUJc5
19,A Flexible Diffusion Model,,weitao Du;He Zhang;Tao Yang;Yuanqi Du;,Chinese Academy of Sciences;Xi'an Jiao Tong University;Cornell University;,Poster,https://openreview.net/forum?id=NwICIHHpKf,https://openreview.net/pdf?id=NwICIHHpKf
