Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
1,(Non-)Convergence Results for Predictive Coding Networks,,Simon Frieder;Thomas Lukasiewicz;,University of Oxford;TU Wien;,Spotlight,,https://proceedings.mlr.press/v162/frieder22a/frieder22a.pdf
2,$p$-Laplacian Based Graph Neural Networks,,Guoji Fu;Peilin Zhao;Yatao Bian;,Tencent;,Spotlight,,https://proceedings.mlr.press/v162/fu22e/fu22e.pdf
3,3D Infomax improves GNNs for Molecular Property Prediction,,Hannes Stärk;Dominique Beaini;Gabriele Corso;Prudencio Tossou;Christian Dallago;Stephan Günnemann;Pietro Lió;,Massachusetts Institute of Technology;Valence Discovery;Technical University of Munich;University of Cambridge;,Spotlight,,https://proceedings.mlr.press/v162/stark22a/stark22a.pdf
4,3DLinker: An E(3) Equivariant Variational Autoencoder for Molecular Linker Design,,Yinan Huang;Xingang Peng;Jianzhu Ma;Muhan Zhang;,Beijing Institute for General Artificial Intelligence;Tsinghua University;Peking University;,Oral,,https://proceedings.mlr.press/v162/huang22g/huang22g.pdf
5,3PC: Three Point Compressors for Communication-Efficient Distributed Training and a Better Theory for Lazy Aggregation,,Peter Richtarik;Igor Sokolov;Elnur Gasanov;Ilyas Fatkhullin;Zhize Li;Eduard Gorbunov;,King Abdullah University of Science and Technology;ETH Zurich;Moscow Institute of Physics and Technology;,Spotlight,,https://proceedings.mlr.press/v162/richtarik22a/richtarik22a.pdf
6,A Branch and Bound Framework for Stronger Adversarial Attacks of ReLU Networks,,Huan Zhang;Shiqi Wang;Kaidi Xu;Yihan Wang;Suman Jana;Cho-Jui Hsieh;Zico Kolter;,"Carnegie Mellon University;Columbia University;Drexel University;University of California, Los Angeles;",Spotlight,,https://proceedings.mlr.press/v162/zhang22ae/zhang22ae.pdf
7,A Closer Look at Smoothness in Domain Adversarial Training,,Harsh Rangwani;Sumukh K Aithal;Mayank Mishra;Arihant Jain;Venkatesh Babu Radhakrishnan;,Indian Institute of Science;PES University;Amazon;,Spotlight,,https://proceedings.mlr.press/v162/rangwani22a/rangwani22a.pdf
8,A Completely Tuning-Free and Robust Approach to Sparse Precision Matrix Estimation,,Chau Tran;Guo Yu;,"University of California, Santa Barbara;",Spotlight,,https://proceedings.mlr.press/v162/tran22b/tran22b.pdf
9,A Consistent and Efficient Evaluation Strategy for Attribution Methods,,Yao Rong;Tobias Leemann;Vadim Borisov;Gjergji Kasneci;Enkelejda Kasneci;,University of Tübingen;,Spotlight,,https://proceedings.mlr.press/v162/rong22a/rong22a.pdf
10,A Context-Integrated Transformer-Based Neural Network for Auction Design,,Zhijian Duan;Jingwu Tang;Yutong Yin;Zhe Feng;Xiang Yan;Manzil Zaheer;Xiaotie Deng;,Peking University;Google;Shanghai Jiao Tong University;,Spotlight,,https://proceedings.mlr.press/v162/duan22a/duan22a.pdf
