Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
1,${\rm E}(3)$-Equivariant Actor-Critic Methods for Cooperative Multi-Agent Reinforcement Learning,,Dingyang Chen;Qi Zhang;,University of South Carolina;,Poster,https://openreview.net/forum?id=yShA4VPYZB,https://openreview.net/pdf?id=yShA4VPYZB
2,"$\bf{\Phi}_\textrm{Flow}$: Differentiable Simulations for PyTorch, TensorFlow and Jax",,Philipp Holl;Nils Thuerey;,Technical University of Munich;,Poster,https://openreview.net/forum?id=4oD0tRrUOX,https://openreview.net/pdf?id=4oD0tRrUOX
3,$\mathtt{VITS}$ : Variational Inference Thompson Sampling for contextual bandits,,Pierre Clavier;Tom Huix;Alain Oliviero Durmus;,Ecole Polytechnique;,Poster,https://openreview.net/forum?id=a1GvTbadqA,https://openreview.net/pdf?id=a1GvTbadqA
4,$\texttt{MoE-RBench}$: Towards Building Reliable Language Models with Sparse Mixture-of-Experts,,Guanjie Chen;Xinyu Zhao;Tianlong Chen;Yu Cheng;,Nanjing University;Peking University;Harvard University;Chinese University of Hong Kong;,Poster,https://openreview.net/forum?id=LyJ85kgHFe,https://openreview.net/pdf?id=LyJ85kgHFe
5,$f$-Divergence Based Classification: Beyond the Use of Cross-Entropy,,Nicola Novello;Andrea M Tonello;,Alpen-Adria-Universität Klagenfurt;,Poster,https://openreview.net/forum?id=RFhkcqRmTD,https://openreview.net/pdf?id=RFhkcqRmTD
6,$H$-Consistency Guarantees for Regression,,Anqi Mao;Mehryar Mohri;Yutao Zhong;,New York University;Google;,Poster,https://openreview.net/forum?id=nvHlHfjJPe,https://openreview.net/pdf?id=nvHlHfjJPe
7,$S^2$IP-LLM: Semantic Space Informed Prompt Learning with LLM for Time Series Forecasting,,Zijie Pan;Yushan Jiang;Sahil Garg;Anderson Schneider;Yuriy Nevmyvaka;Dongjin Song;,University of Connecticut;Morgan Stanley;,Poster,https://openreview.net/forum?id=qwQVV5R8Y7,https://openreview.net/pdf?id=qwQVV5R8Y7
8,3D Geometric Shape Assembly via Efficient Point Cloud Matching,,Nahyuk Lee;Juhong Min;Junha Lee;Seungwook Kim;Kanghee Lee;Jaesik Park;Minsu Cho;,Pohang University of Science and Technology;Seoul National University;,Poster,https://openreview.net/forum?id=FYQIgQWH3d,https://openreview.net/pdf?id=FYQIgQWH3d
9,3D-VLA: A 3D Vision-Language-Action Generative World Model,,Haoyu Zhen;Xiaowen Qiu;Peihao Chen;Jincheng Yang;Xin Yan;Yilun Du;Yining Hong;Chuang Gan;,"Shanghai Jiao Tong University;University of Massachusetts Amherst;South China University of Technology;Wuhan University;Massachusetts Institute of Technology;University of California, Los Angeles;",Poster,https://openreview.net/forum?id=EZcFK8HupF,https://openreview.net/pdf?id=EZcFK8HupF
10,A Bayesian Approach to Online Planning,,Nir Greshler;David Ben Eli;Carmel Rabinovitz;Gabi Guetta;Liran Gispan;Guy Zohar;Aviv Tamar;,Technion - Israel Institute of Technology;,Poster,https://openreview.net/forum?id=NS8z5FinYl,https://openreview.net/pdf?id=NS8z5FinYl
