Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
1,"\ell_1,p-Norm Regularization: Error Bounds and Convergence Rate Analysis of First-Order Methods",,Zirui Zhou;Qi Zhang;Anthony Man-Cho So;,Chinese University of Hong Kong;,Poster,,http://proceedings.mlr.press/v37/zhoub15.pdf
2,A Bayesian nonparametric procedure for comparing algorithms,,Alessio Benavoli;Giorgio Corani;Francesca Mangili;Marco Zaffalon;,IDSIA;,Poster,,http://proceedings.mlr.press/v37/benavoli15.pdf
3,A Convex Exemplar-based Approach to MAD-Bayes Dirichlet Process Mixture Models,,En-Hsu Yen;Xin Lin;Kai Zhong;Pradeep Ravikumar;Inderjit Dhillon;,University of Texas at Austin;,Poster,,http://proceedings.mlr.press/v37/yen15.pdf
4,A Convex Optimization Framework for Bi-Clustering,,Shiau Hong Lim;Yudong Chen;Huan Xu;,"National University of Singapore;University of California, Berkeley;",Poster,,http://proceedings.mlr.press/v37/limb15.pdf
5,A Deeper Look at Planning as Learning from Replay,,Harm Vanseijen;Rich Sutton;,University of Alberta;,Poster,,http://proceedings.mlr.press/v37/vanseijen15.pdf
6,A Deterministic Analysis of Noisy Sparse Subspace Clustering for Dimensionality-reduced Data,,Yining Wang;Yu-Xiang Wang;Aarti Singh;,Carnegie Mellon University;,Poster,,http://proceedings.mlr.press/v37/wange15.pdf
7,A Divide and Conquer Framework for Distributed Graph Clustering,,Wenzhuo Yang;Huan Xu;,National University of Singapore;,Poster,,http://proceedings.mlr.press/v37/yange15.pdf
8,A Fast Variational Approach for Learning Markov Random Field Language Models,,Yacine Jernite;Alexander Rush;David Sontag;,New York University;Meta;,Poster,,http://proceedings.mlr.press/v37/jernite15.pdf
9,A General Analysis of the Convergence of ADMM,,Robert Nishihara;Laurent Lessard;Ben Recht;Andrew Packard;Michael Jordan;,"University of California, Berkeley;",Poster,,http://proceedings.mlr.press/v37/nishihara15.pdf
10,A Hybrid Approach for Probabilistic Inference using Random Projections,,Michael Zhu;Stefano Ermon;,Stanford University;,Poster,,http://proceedings.mlr.press/v37/zhuc15.pdf
11,A Linear Dynamical System Model for Text,,David Belanger;Sham Kakade;,University of Massachusetts Amherst;Microsoft;,Poster,,http://proceedings.mlr.press/v37/belanger15.pdf
12,A low variance consistent test of relative dependency,,Wacha Bounliphone;Arthur Gretton;Arthur Tenenhaus;Matthew Blaschko;,CentraleSupélec;University College London;INRIA;,Poster,,http://proceedings.mlr.press/v37/bounliphone15.pdf
13,A Lower Bound for the Optimization of Finite Sums,,Alekh Agarwal;Leon Bottou;,Microsoft;Meta;,Poster,,http://proceedings.mlr.press/v37/agarwal15.pdf
14,A Modified Orthant-Wise Limited Memory Quasi-Newton Method with Convergence Analysis,,Pinghua Gong;Jieping Ye;,University of Michigan;,Poster,,http://proceedings.mlr.press/v37/gonga15.pdf
15,A Multitask Point Process Predictive Model,,Wenzhao Lian;Ricardo Henao;Vinayak Rao;Joseph Lucas;Lawrence Carin;,Duke University;Purdue University;Duke Clinical Research Institute;,Poster,,http://proceedings.mlr.press/v37/lian15.pdf
16,A Nearly-Linear Time Framework for Graph-Structured Sparsity,,Chinmay Hegde;Piotr Indyk;Ludwig Schmidt;,Massachusetts Institute of Technology;,Poster,,http://proceedings.mlr.press/v37/hegde15.pdf
17,A New Generalized Error Path Algorithm for Model Selection,,Bin Gu;Charles Ling;,University of Western Ontario;Nanjing University of Information Science & Technology;,Poster,,http://proceedings.mlr.press/v37/gu15.pdf
18,A Probabilistic Model for Dirty Multi-task Feature Selection,,Daniel Hernandez-Lobato;Jose Miguel Hernandez-Lobato;Zoubin Ghahramani;,Universidad Autónoma de Madrid;Harvard University;University of Cambridge;,Poster,,http://proceedings.mlr.press/v37/hernandez-lobatoa15.pdf
19,A Provable Generalized Tensor Spectral Method for Uniform Hypergraph Partitioning,,Debarghya Ghoshdastidar;Ambedkar Dukkipati;,Indian Institute of Science;,Poster,,http://proceedings.mlr.press/v37/ghoshdastidar15.pdf
20,A Relative Exponential Weighing Algorithm for Adversarial Utility-based Dueling Bandits,,Pratik Gajane;Tanguy Urvoy;Fabrice Clérot;,Orange Labs;,Poster,,http://proceedings.mlr.press/v37/gajane15.pdf
21,A Stochastic PCA and SVD Algorithm with an Exponential Convergence Rate,,Ohad Shamir;,Weizmann Institute of Science;,Poster,,http://proceedings.mlr.press/v37/shamir15.pdf
22,A Theoretical Analysis of Metric Hypothesis Transfer Learning,,Michaël Perrot;Amaury Habrard;,Université de Lyon;,Poster,,http://proceedings.mlr.press/v37/perrot15.pdf
23,A trust-region method for stochastic variational inference with applications to streaming data,,Lucas Theis;Matt Hoffman;,Centre for Integrative Neuroscience;Adobe;,Poster,,http://proceedings.mlr.press/v37/theis15.pdf
24,A Unified Framework for Outlier-Robust PCA-like Algorithms,,Wenzhuo Yang;Huan Xu;,National University of Singapore;,Poster,,http://proceedings.mlr.press/v37/yangc15.pdf
25,A Unifying Framework of Anytime Sparse Gaussian Process Regression Models with Stochastic Variational Inference for Big Data,,Trong Nghia Hoang;Quang Minh Hoang;Bryan Kian Hsiang Low;,National University of Singapore;,Poster,,http://proceedings.mlr.press/v37/hoang15.pdf
26,Abstraction Selection in Model-based Reinforcement Learning,,Nan Jiang;Alex Kulesza;Satinder Singh;,University of Michigan;,Poster,,http://proceedings.mlr.press/v37/jiang15.pdf
27,Accelerated Online Low Rank Tensor Learning for Multivariate Spatiotemporal Streams,,Rose Yu;Dehua Cheng;Yan Liu;,University of Southern California;,Poster,,http://proceedings.mlr.press/v37/yua15.pdf
28,Active Nearest Neighbors in Changing Environments,,Christopher Berlind;Ruth Urner;,Georgia Institute of Technology;Max Planck Institute for Intelligent Systems;,Poster,,http://proceedings.mlr.press/v37/berlind15.pdf
29,Adaptive Belief Propagation,,Georgios Papachristoudis;John Fisher;,Massachusetts Institute of Technology;,Poster,,http://proceedings.mlr.press/v37/papachristoudis15.pdf
30,Adaptive Stochastic Alternating Direction Method of Multipliers,,Peilin Zhao;Jinwei Yang;Tong Zhang;Ping Li;,Institute for Infocomm Research;Baidu;Rutgers University;University of Notre Dame;,Poster,,http://proceedings.mlr.press/v37/zhaob15.pdf
31,Adding vs. Averaging in Distributed Primal-Dual Optimization,,Chenxin Ma;Virginia Smith;Martin Jaggi;Michael Jordan;Peter Richtarik;Martin Takac;,"Lehigh University;University of California, Berkeley;ETH Zurich;University of Edinburgh;",Poster,,http://proceedings.mlr.press/v37/mab15.pdf
32,Algorithms for the Hard Pre-Image Problem of String Kernels and the General Problem of String Prediction,,Sébastien Giguère;Amélie Rolland;Francois Laviolette;Mario Marchand;,University of Montreal;Laval University;,Poster,,http://proceedings.mlr.press/v37/giguere15.pdf
33,Alpha-Beta Divergences Discover Micro and Macro Structures in Data,,Karthik Narayan;Ali Punjani;Pieter Abbeel;,"University of California, Berkeley;University of Toronto;",Poster,,http://proceedings.mlr.press/v37/narayan15.pdf
34,An Aligned Subtree Kernel for Weighted Graphs,,Lu Bai;Luca Rossi;Zhihong Zhang;Edwin Hancock;,Central University of Finance and Economics;University of Birmingham;Xiamen University;University of York;,Poster,,http://proceedings.mlr.press/v37/bai15.pdf
35,An Asynchronous Distributed Proximal Gradient Method for Composite Convex Optimization,,Necdet Aybat;Zi Wang;Garud Iyengar;,Penn State University;Columbia University;,Poster,,http://proceedings.mlr.press/v37/aybat15.pdf
36,An embarrassingly simple approach to zero-shot learning,,Bernardino Romera-Paredes;Philip Torr;,University of Oxford;,Poster,,http://proceedings.mlr.press/v37/romera-paredes15.pdf
37,An Empirical Exploration of Recurrent Network Architectures,,Rafal Jozefowicz;Wojciech Zaremba;Ilya Sutskever;,Google;New York University;Meta;,Poster,,http://proceedings.mlr.press/v37/jozefowicz15.pdf
38,An Empirical Study of Stochastic Variational Inference Algorithms for the Beta Bernoulli Process,,Amar Shah;David Knowles;Zoubin Ghahramani;,University of Cambridge;Stanford University;,Poster,,http://proceedings.mlr.press/v37/shahb15.pdf
39,An Explicit Sampling Dependent Spectral Error Bound for Column Subset Selection,,Tianbao Yang;Lijun Zhang;Rong Jin;Shenghuo Zhu;,University of Iowa;Nanjing University;Michigan State University;Alibaba Group;,Poster,,http://proceedings.mlr.press/v37/yanga15.pdf
40,An Online Learning Algorithm for Bilinear Models,,Yuanbin Wu;Shiliang Sun;,Shanghai Key Laboratory of Multidimensional Information Processing;East China Normal University;,Poster,,http://proceedings.mlr.press/v37/wua15.pdf
41,Approval Voting and Incentives in Crowdsourcing,,Nihar Shah;Dengyong Zhou;Yuval Peres;,"University of California, Berkeley;Microsoft;",Poster,,http://proceedings.mlr.press/v37/shaha15.pdf
42,Approximate Dynamic Programming for Two-Player Zero-Sum Markov Games,,Julien Perolat;Bruno Scherrer;Bilal Piot;Olivier Pietquin;,University of Lille;Institut Universitaire de France;INRIA;,Poster,,http://proceedings.mlr.press/v37/perolat15.pdf
43,Asymmetric Transfer Learning with Deep Gaussian Processes,,Melih Kandemir;,Heidelberg University;,Poster,,http://proceedings.mlr.press/v37/kandemir15.pdf
44,Atomic Spatial Processes,,Sean Jewell;Neil Spencer;Alexandre Bouchard-Côté;,University of British Columbia;,Poster,,http://proceedings.mlr.press/v37/jewell15.pdf
45,Attribute Efficient Linear Regression with Distribution-Dependent Sampling,,Doron Kukliansky;Ohad Shamir;,Weizmann Institute of Science;,Poster,,http://proceedings.mlr.press/v37/kukliansky15.pdf
46,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,,Sergey Ioffe;Christian Szegedy;,Google;,Poster,,http://proceedings.mlr.press/v37/ioffe15.pdf
