Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL
1,Anticipatory Fictitious Play,Agent-based and Multi-agent Systems,Alex Cloud;Albert Wang;Wesley Kerr;,Riot Games;,United States;,Poster,https://www.ijcai.org/proceedings/2023/9,https://www.ijcai.org/proceedings/2023/0009.pdf
2,Artificial Agents Inspired by Human Motivation Psychology for Teamwork in Hazardous Environments,Agent-based and Multi-agent Systems,Anupama Arukgoda;Erandi Lakshika;Michael Barlow;Kasun Gunawardana;,University of New South Wales;University of Colombo;,Australia;Sri Lanka;,Poster,https://www.ijcai.org/proceedings/2023/2,https://www.ijcai.org/proceedings/2023/0002.pdf
3,Asynchronous Communication Aware Multi-Agent Task Allocation,Agent-based and Multi-agent Systems,Ben Rachmut;Sofia Amador Nelke;Roie Zivan;,Ben Gurion University of the Negev;Holon Institute of Technology;,Israel;,Poster,https://www.ijcai.org/proceedings/2023/30,https://www.ijcai.org/proceedings/2023/0030.pdf
4,Beyond Strict Competition: Approximate Convergence of Multi-agent Q-Learning Dynamics,Agent-based and Multi-agent Systems,Aamal Hussain;Francesco Belardinelli;Georgios Piliouras;,Imperial College London;Singapore University of Technology and Design;,United Kingdom;Singapore;,Poster,https://www.ijcai.org/proceedings/2023/16,https://www.ijcai.org/proceedings/2023/0016.pdf
5,Controlling Neural Style Transfer with Deep Reinforcement Learning,Agent-based and Multi-agent Systems,Chengming Feng;Jing Hu;Xin Wang;Shu Hu;Bin Zhu;Xi Wu;Hongtu Zhu;Siwei Lyu;,Chengdu University of Information Technology;University at Buffalo;Carnegie Mellon University;Microsoft;University of North Carolina at Chapel Hill;,China;United States;,Poster,https://www.ijcai.org/proceedings/2023/12,https://www.ijcai.org/proceedings/2023/0012.pdf
6,Cross-community Adapter Learning (CAL) to Understand the Evolving Meanings of Norm Violation,Agent-based and Multi-agent Systems,Thiago Freitas dos Santos;Stephen Cranefield;Bastin Tony Roy Savarimuthu;Nardine Osman;Marco Schorlemmer;,Artificial Intelligence Research Institute;Universitat Autonoma de Barcelona;University of Otago;,Spain;New Zealand;,Poster,https://www.ijcai.org/proceedings/2023/13,https://www.ijcai.org/proceedings/2023/0013.pdf
7,CVTP3D: Cross-view Trajectory Prediction Using Shared 3D Queries for Autonomous Driving,Agent-based and Multi-agent Systems,Zijian Song;Huikun Bi;Ruisi Zhang;Tianlu Mao;Zhaoqi Wang;,Chinese Academy of Sciences;University of Chinese Academy of Sciences;SenseTime;Intuitive Surgical;,China;United States;,Poster,https://www.ijcai.org/proceedings/2023/34,https://www.ijcai.org/proceedings/2023/0034.pdf
8,Decentralized Anomaly Detection in Cooperative Multi-Agent Reinforcement Learning,Agent-based and Multi-agent Systems,Kiarash Kazari;Ezzeldin Shereen;Gyorgy Dan;,KTH Royal Institute of Technology;,Sweden;,Poster,https://www.ijcai.org/proceedings/2023/19,https://www.ijcai.org/proceedings/2023/0019.pdf
9,Deep Hierarchical Communication Graph in Multi-Agent Reinforcement Learning,Agent-based and Multi-agent Systems,Zeyang Liu;Lipeng Wan;Xue Sui;Zhuoran Chen;Kewu Sun;Xuguang Lan;,Xi’an Jiao Tong University;Intelligent Science & Technology Academy;,China;;,Poster,https://www.ijcai.org/proceedings/2023/24,https://www.ijcai.org/proceedings/2023/0024.pdf
10,Discounting in Strategy Logic,Agent-based and Multi-agent Systems,Munyque Mittelmann;Aniello Murano;Laurent Perrussel;,University of Naples Federico II;University of Toulouse;,Italy;France;,Poster,https://www.ijcai.org/proceedings/2023/26,https://www.ijcai.org/proceedings/2023/0026.pdf
11,Dynamic Belief for Decentralized Multi-Agent Cooperative Learning,Agent-based and Multi-agent Systems,Yunpeng Zhai;Peixi Peng;Chen Su;Yonghong Tian;,Peking University;Pengcheng Laboratory;,China;,Poster,https://www.ijcai.org/proceedings/2023/39,https://www.ijcai.org/proceedings/2023/0039.pdf
12,Efficient and Equitable Deployment of Mobile Vaccine Distribution Centers,Agent-based and Multi-agent Systems,Da Qi Chen;Ann Li;George Z. Li;Madhav Marathe;Aravind Srinivasan;Leonidas Tsepenekas;Anil Vullikanti;,University of Virginia;University of Maryland;,United States;,Poster,https://www.ijcai.org/proceedings/2023/8,https://www.ijcai.org/proceedings/2023/0008.pdf
13,Explainable Multi-Agent Reinforcement Learning for Temporal Queries,Agent-based and Multi-agent Systems,Kayla Boggess;Sarit Kraus;Lu Feng;,University of Virginia;Bar-Ilan University;,United States;Israel;,Poster,https://www.ijcai.org/proceedings/2023/7,https://www.ijcai.org/proceedings/2023/0007.pdf
14,Exploration via Joint Policy Diversity for Sparse-Reward Multi-Agent Tasks,Agent-based and Multi-agent Systems,Pei Xu;Junge Zhang;Kaiqi Huang;,University of Chinese Academy of Sciences;Chinese Academy of Sciences;,China;,Poster,https://www.ijcai.org/proceedings/2023/37,https://www.ijcai.org/proceedings/2023/0037.pdf
15,GPLight: Grouped Multi-agent Reinforcement Learning for Large-scale Traffic Signal Control,Agent-based and Multi-agent Systems,Yilin Liu;Guiyang Luo;Quan Yuan;Jinglin Li;Lei Jin;Bo Chen;Rui Pan;,Beijing University of Posts and Telecommunications;,China;,Poster,https://www.ijcai.org/proceedings/2023/23,https://www.ijcai.org/proceedings/2023/0023.pdf
16,Improving LaCAM for Scalable Eventually Optimal Multi-Agent Pathfinding,Agent-based and Multi-agent Systems,Keisuke Okumura;,National Institute of Advanced Industrial Science and Technology;University of Cambridge;,Japan;United Kingdom;,Poster,https://www.ijcai.org/proceedings/2023/28,https://www.ijcai.org/proceedings/2023/0028.pdf
17,In Which Graph Structures Can We Efficiently Find Temporally Disjoint Paths and Walks?,Agent-based and Multi-agent Systems,Pascal Kunz;Hendrik Molter;Meirav Zehavi;,Humboldt-Universität zu Berlin;Technische Universität Berlin;Ben-Gurion University of the Negev;,Germany;Israel;,Poster,https://www.ijcai.org/proceedings/2023/21,https://www.ijcai.org/proceedings/2023/0021.pdf
