Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL
1,A Deep Reinforcement Learning Approach to Concurrent Bilateral Negotiation,Agent-based and Multi-agent Systems,Pallavi Bagga;Nicola Paoletti;Bedour Alrayes;Kostas Stathis;,University of London;King Saud University;,United Kingdom;Saudi Arabia;,Poster,https://www.ijcai.org/proceedings/2020/42,https://www.ijcai.org/proceedings/2020/0042.pdf
2,A Multi-Objective Approach to Mitigate Negative Side Effects,Agent-based and Multi-agent Systems,Sandhya Saisubramanian;Ece Kamar;Shlomo Zilberstein;,University of Massachusetts Amherst;Microsoft;,United States;,Poster,https://www.ijcai.org/proceedings/2020/50,https://www.ijcai.org/proceedings/2020/0050.pdf
3,A Penny for Your Thoughts: The Value of Communication in Ad Hoc Teamwork,Agent-based and Multi-agent Systems,Reuth Mirsky;William Macke;Andy Wang;Harel Yedidsion;Peter Stone;,University of Texas at Austin;Sony;,United States;Japan;,Poster,https://www.ijcai.org/proceedings/2020/36,https://www.ijcai.org/proceedings/2020/0036.pdf
4,Almost Group Envy-free Allocation of Indivisible Goods and Chores,Agent-based and Multi-agent Systems,Haris Aziz;Simon Rey;,University of New South Wales;CSIRO;University of Amsterdam;,Australia;Netherlands;,Poster,https://www.ijcai.org/proceedings/2020/6,https://www.ijcai.org/proceedings/2020/0006.pdf
5,Altruism in Coalition Formation Games,Agent-based and Multi-agent Systems,Anna Maria Kerkmann;Jörg Rothe;,Heinrich-Heine-Universität Düsseldorf;,Germany;,Poster,https://www.ijcai.org/proceedings/2020/49,https://www.ijcai.org/proceedings/2020/0049.pdf
6,An Algorithm for Multi-Attribute Diverse Matching,Agent-based and Multi-agent Systems,Saba Ahmadi;Faez Ahmed;John P. Dickerson;Mark Fuge;Samir Khuller;,University of Maryland;Northwestern University;,United States;,Poster,https://www.ijcai.org/proceedings/2020/1,https://www.ijcai.org/proceedings/2020/0001.pdf
7,Approximate Pareto Set for Fair and Efficient Allocation: Few Agent Types or Few Resource Types,Agent-based and Multi-agent Systems,Trung Thanh Nguyen;Jörg Rothe;,Phenikaa University;Heinrich-Heine-Universität Düsseldorf;,Vietnam;Germany;,Poster,https://www.ijcai.org/proceedings/2020/41,https://www.ijcai.org/proceedings/2020/0041.pdf
8,Assume-Guarantee Synthesis for Prompt Linear Temporal Logic,Agent-based and Multi-agent Systems,Nathanaël Fijalkow;Bastien Maubert;Aniello Murano;Moshe Vardi;,,,Poster,https://www.ijcai.org/proceedings/2020/17,https://www.ijcai.org/proceedings/2020/0017.pdf
9,Biased Opinion Dynamics: When the Devil is in the Details,Agent-based and Multi-agent Systems,Aris Anagnostopoulos;Luca Becchetti;Emilio Cruciani;Francesco Pasquale;Sara Rizzo;,Sapienza University of Rome;INRIA;University of Rome Tor Vergata;Gran Sasso Science Institute;,Italy;France;,Poster,https://www.ijcai.org/proceedings/2020/8,https://www.ijcai.org/proceedings/2020/0008.pdf
10,Budgeted Facility Location Games with Strategic Facilities,Agent-based and Multi-agent Systems,Minming Li;Chenhao Wang;Mengqi Zhang;,City University of Hong Kong;Chinese Academy of Sciences;University of Chinese Academy of Sciences;,China;,Poster,https://www.ijcai.org/proceedings/2020/56,https://www.ijcai.org/proceedings/2020/0056.pdf
11,Combining Direct Trust and Indirect Trust in Multi-Agent Systems,Agent-based and Multi-agent Systems,Elham Parhizkar;Mohammad Hossein Nikravan;Robert C. Holte;Sandra Zilles;,University of Regina;University of Alberta;,Canada;,Poster,https://www.ijcai.org/proceedings/2020/44,https://www.ijcai.org/proceedings/2020/0044.pdf
12,Competition Among Contests: a Safety Level Analysis,Agent-based and Multi-agent Systems,Ron Lavi;Omer Shiran-Shvarzbard;,Technion – Israel Institute of Technology;,Israel;,Poster,https://www.ijcai.org/proceedings/2020/53,https://www.ijcai.org/proceedings/2020/0053.pdf
13,Computational Aspects of Conditional Minisum Approval Voting in Elections with Interdependent Issues,Agent-based and Multi-agent Systems,Evangelos Markakis;Georgios Papasotiropoulos;,Athens University of Economics and Business;,Greece;,Poster,https://www.ijcai.org/proceedings/2020/43,https://www.ijcai.org/proceedings/2020/0043.pdf
14,Concentration of Distortion: The Value of Extra Voters in Randomized Social Choice,Agent-based and Multi-agent Systems,Brandon Fain;William Fan;Kamesh Munagala;,Duke University;North Carolina School of Science and Mathematics;,United States;,Poster,https://www.ijcai.org/proceedings/2020/16,https://www.ijcai.org/proceedings/2020/0016.pdf
15,Convexity of b-matching Games,Agent-based and Multi-agent Systems,Soh Kumabe;Takanori Maehara;,University of Tokyo;RIKEN;,Japan;,Poster,https://www.ijcai.org/proceedings/2020/37,https://www.ijcai.org/proceedings/2020/0037.pdf
16,Decentralized MCTS via Learned Teammate Models,Agent-based and Multi-agent Systems,Aleksander Czechowski;Frans A. Oliehoek;,Delft University of Technology;,Netherlands;,Poster,https://www.ijcai.org/proceedings/2020/12,https://www.ijcai.org/proceedings/2020/0012.pdf
