Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL
1,A Meta-Game Evaluation Framework for Deep Multiagent Reinforcement Learning,Agent-based and Multi-agent Systems,Zun Li;Michael P. Wellman;,Google;University of Michigan;,United Kingdom;United States;,Poster,https://www.ijcai.org/proceedings/2024/17,https://www.ijcai.org/proceedings/2024/0017.pdf
2,A Successful Strategy for Multichannel Iterated Prisoner’s Dilemma,Agent-based and Multi-agent Systems,Zhen Wang;Zhaoheng Cao;Juan Shi;Peican Zhu;Shuyue Hu;Chen Chu;,Northwestern Polytechnical University;Shanghai Artificial Intelligence Laboratory;Yunnan University of Finance and Economics;,China;,Poster,https://www.ijcai.org/proceedings/2024/31,https://www.ijcai.org/proceedings/2024/0031.pdf
3,ADMN: Agent-Driven Modular Network for Dynamic Parameter Sharing in Cooperative Multi-Agent Reinforcement Learning,Agent-based and Multi-agent Systems,Yang Yu;Qiyue Yin;Junge Zhang;Pei Xu;Kaiqi Huang;,University of Chinese Academy of Sciences;Chinese Academy of Sciences;Center for Excellence in Brain Science and Intelligence Technology;,China;;,Poster,https://www.ijcai.org/proceedings/2024/34,https://www.ijcai.org/proceedings/2024/0034.pdf
4,AutoAgents: A Framework for Automatic Agent Generation,Agent-based and Multi-agent Systems,Guangyao Chen;Siwei Dong;Yu Shu;Ge Zhang;Jaward Sesay;Börje Karlsson;Jie Fu;Yemin Shi;,Peking University;University of Waterloo;Beijing Academy of Artificial Intelligence;Hong Kong University of Science and Technology;,China;Canada;,Poster,https://www.ijcai.org/proceedings/2024/3,https://www.ijcai.org/proceedings/2024/0003.pdf
5,Certified Policy Verification and Synthesis for MDPs under Distributional Reach-Avoidance Properties,Agent-based and Multi-agent Systems,S. Akshay;Krishnendu Chatterjee;Tobias Meggendorfer;Đorđe Žikelić;,Indian Institute of Technology Bombay;Institute of Science and Technology Austria;Lancaster University Leipzig;Singapore Management University;,India;Austria;Germany;Singapore;,Poster,https://www.ijcai.org/proceedings/2024/1,https://www.ijcai.org/proceedings/2024/0001.pdf
6,CompetEvo: Towards Morphological Evolution from Competition,Agent-based and Multi-agent Systems,Kangyao Huang;Di Guo;Xinyu Zhang;Xiangyang Ji;Huaping Liu;,Tsinghua University;Beijing University of Posts and Telecommunications;,China;,Poster,https://www.ijcai.org/proceedings/2024/10,https://www.ijcai.org/proceedings/2024/0010.pdf
7,Cooperation and Control in Delegation Games,Agent-based and Multi-agent Systems,Oliver Sourbut;Lewis Hammond;Harriet Wood;,University of Oxford;,United Kingdom;,Poster,https://www.ijcai.org/proceedings/2024/26,https://www.ijcai.org/proceedings/2024/0026.pdf
8,Design a Win-Win Strategy That Is Fair to Both Service Providers and Tasks When Rejection Is Not an Option,Agent-based and Multi-agent Systems,Yohai Trabelsi;Pan Xu;Sarit Kraus;,Bar-Ilan University;New Jersey Institute of Technology;,Israel;United States;,Poster,https://www.ijcai.org/proceedings/2024/29,https://www.ijcai.org/proceedings/2024/0029.pdf
9,Diversifying Training Pool Predictability for Zero-shot Coordination: A Theory of Mind Approach,Agent-based and Multi-agent Systems,Dung Nguyen;Hung Le;Kien Do;Sunil Gupta;Svetha Venkatesh;Truyen Tran;,Deakin University;,Australia;,Poster,https://www.ijcai.org/proceedings/2024/19,https://www.ijcai.org/proceedings/2024/0019.pdf
10,Endogenous Energy Reactive Modules Games: Modelling Side Payments among Resource-Bounded Agents,Agent-based and Multi-agent Systems,Julian Gutierrez;David Hyland;Muhammad Najib;Giuseppe Perelli;Michael Wooldridge;,Monash University;University of Oxford;Heriot-Watt University;Sapienza University of Rome;,Australia;United Kingdom;Italy;,Poster,https://www.ijcai.org/proceedings/2024/8,https://www.ijcai.org/proceedings/2024/0008.pdf
11,Enhancing Cooperation through Selective Interaction and Long-term Experiences in Multi-Agent Reinforcement Learning,Agent-based and Multi-agent Systems,Tianyu Ren;Xiao-Jun Zeng;,University of Manchester;,United Kingdom;,Poster,https://www.ijcai.org/proceedings/2024/22,https://www.ijcai.org/proceedings/2024/0022.pdf
12,Faster Optimal Coalition Structure Generation via Offline Coalition Selection and Graph-Based Search,Agent-based and Multi-agent Systems,Redha Taguelmimt;Samir Aknine;Djamila Boukredera;Narayan Changder;Tuomas Sandholm;,"University of Lyon;University of Bejaia;TCG Centres for Research and Education in Science and Technology;Carnegie Mellon University;Strategy Robot, Inc.;Strategic Machine, Inc.;Optimized Markets, Inc.;",France;Algeria;India;United States;,Poster,https://www.ijcai.org/proceedings/2024/27,https://www.ijcai.org/proceedings/2024/0027.pdf
13,Formal Verification of Parameterised Neural-symbolic Multi-agent Systems,Agent-based and Multi-agent Systems,Panagiotis Kouvaros;Elena Botoeva;Cosmo De Bonis-Campbell;,University of Limassol;University of Kent;,Cyprus;United Kingdom;,Poster,https://www.ijcai.org/proceedings/2024/12,https://www.ijcai.org/proceedings/2024/0012.pdf
14,Fostering Collective Action in Complex Societies Using Community-Based Agents,Agent-based and Multi-agent Systems,Jonathan Skaggs;Michael Richards;Melissa Morris;Michael A. Goodrich;Jacob W. Crandall;,Brigham Young University;,United States;,Poster,https://www.ijcai.org/proceedings/2024/24,https://www.ijcai.org/proceedings/2024/0024.pdf
15,Fraud Risk Mitigation in Real-Time Payments: A Strategic Agent-Based Analysis,Agent-based and Multi-agent Systems,Katherine Mayo;Nicholas Grabill;Michael P. Wellman;,University of Michigan;,United States;,Poster,https://www.ijcai.org/proceedings/2024/18,https://www.ijcai.org/proceedings/2024/0018.pdf
16,Guidance Graph Optimization for Lifelong Multi-Agent Path Finding,Agent-based and Multi-agent Systems,Yulun Zhang;He Jiang;Varun Bhatt;Stefanos Nikolaidis;Jiaoyang Li;,Carnegie Mellon University;University of Southern California;,United States;,Poster,https://www.ijcai.org/proceedings/2024/35,https://www.ijcai.org/proceedings/2024/0035.pdf
17,Improving Multi-agent Reinforcement Learning with Stable Prefix Policy,Agent-based and Multi-agent Systems,Yue Deng;Zirui Wang;Yin Zhang;,Zhejiang University;,China;,Poster,https://www.ijcai.org/proceedings/2024/6,https://www.ijcai.org/proceedings/2024/0006.pdf
18,Individual Fairness under Group Fairness Constraints in Bipartite Matching - One Framework to Approximate Them All,Agent-based and Multi-agent Systems,Atasi Panda;Anand Louis;Prajakta Nimbhorkar;,Indian Institute of Science;Chennai Mathematical Institute;,India;,Poster,https://www.ijcai.org/proceedings/2024/20,https://www.ijcai.org/proceedings/2024/0020.pdf
19,Intention Progression with Temporally Extended Goals,Agent-based and Multi-agent Systems,Yuan Yao;Natasha Alechina;Brian Logan;,University of Nottingham;Open University;Utrecht University;University of Aberdeen;,China;Netherlands;United Kingdom;,Poster,https://www.ijcai.org/proceedings/2024/33,https://www.ijcai.org/proceedings/2024/0033.pdf
