Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL
1,A Formal Model for Multiagent Q-Learning Dynamics on Regular Graphs,Agent-based and Multi-agent Systems,Chen Chu;Yong Li;Jinzhuo Liu;Shuyue Hu;Xuelong Li;Zhen Wang;,Yunnan University of Finance and Economics;Northwestern Polytechnical University;Yunnan University;Shanghai Artificial Intelligence Laboratory;,China;,Poster,https://www.ijcai.org/proceedings/2022/28,https://www.ijcai.org/proceedings/2022/0028.pdf
2,Achieving Envy-Freeness with Limited Subsidies under Dichotomous Valuations,Agent-based and Multi-agent Systems,Siddharth Barman;Anand Krishna;Yadati Narahari;Soumyarup Sadhukhan;,Indian Institute of Science;Indian Institute of Technology Kanpur;,India;,Poster,https://www.ijcai.org/proceedings/2022/9,https://www.ijcai.org/proceedings/2022/0009.pdf
3,An Analysis of the Linear Bilateral ANAC Domains Using the MiCRO Benchmark Strategy,Agent-based and Multi-agent Systems,Dave De Jonge;,Instituto de Investigación en Ingeniería del Conocimiento;,Spain;,Poster,https://www.ijcai.org/proceedings/2022/32,https://www.ijcai.org/proceedings/2022/0032.pdf
4,An EF2X Allocation Protocol for Restricted Additive Valuations,Agent-based and Multi-agent Systems,Hannaneh Akrami;Rojin Rezvan;Masoud Seddighin;,Max Planck Institute for Informatics;Universität des Saarlandes;University of Texas at Austin;Institute for Research in Fundamental Sciences;,Germany;United States;Iran;,Poster,https://www.ijcai.org/proceedings/2022/3,https://www.ijcai.org/proceedings/2022/0003.pdf
5,Anytime Capacity Expansion in Medical Residency Match by Monte Carlo Tree Search,Agent-based and Multi-agent Systems,Kenshi Abe;Junpei Komiyama;Atsushi Iwasaki;,CyberAgent;New York University;University of Electro-Communications;,Japan;United States;,Poster,https://www.ijcai.org/proceedings/2022/1,https://www.ijcai.org/proceedings/2022/0001.pdf
6,Approval with Runoff,Agent-based and Multi-agent Systems,Théo Delemazure;Jérôme Lang;Jean-François Laslier;M. Remzi Sanver;,CNRS;,France;,Poster,https://www.ijcai.org/proceedings/2022/33,https://www.ijcai.org/proceedings/2022/0033.pdf
7,Approximate Strategyproof Mechanisms for the Additively Separable Group Activity Selection Problem,Agent-based and Multi-agent Systems,Michele Flammini;Giovanna Varricchio;,Gran Sasso Science Institute;Goethe University Frankfurt;,Italy;Germany;,Poster,https://www.ijcai.org/proceedings/2022/43,https://www.ijcai.org/proceedings/2022/0043.pdf
8,Automated Synthesis of Mechanisms,Agent-based and Multi-agent Systems,Munyque Mittelmann;Bastien Maubert;Aniello Murano;Laurent Perrussel;,Université Toulouse 1 Capitole;Università degli Studi di Napoli Federico II;,France;Italy;,Poster,https://www.ijcai.org/proceedings/2022/61,https://www.ijcai.org/proceedings/2022/0061.pdf
9,Better Collective Decisions via Uncertainty Reduction,Agent-based and Multi-agent Systems,Shiri Alouf-Heffetz;Laurent Bulteau;Edith Elkind;Nimrod Talmon;Nicholas Teh;,Ben-Gurion University;TwoFiveOne Research;Université Gustave Eiffel;University of Oxford;,Israel;;France;United Kingdom;,Poster,https://www.ijcai.org/proceedings/2022/4,https://www.ijcai.org/proceedings/2022/0004.pdf
10,Biased Majority Opinion Dynamics: Exploiting Graph k-domination,Agent-based and Multi-agent Systems,Hicham Lesfari;Frédéric Giroire;Stéphane Pérennes;,Université Côte d’Azur;,France;,Poster,https://www.ijcai.org/proceedings/2022/54,https://www.ijcai.org/proceedings/2022/0054.pdf
11,Can Buyers Reveal for a Better Deal?,Agent-based and Multi-agent Systems,Daniel Halpern;Gregory Kehne;Jamie Tucker-Foltz;,Harvard University;,United States;,Poster,https://www.ijcai.org/proceedings/2022/45,https://www.ijcai.org/proceedings/2022/0045.pdf
12,Contests to Incentivize a Target Group,Agent-based and Multi-agent Systems,Edith Elkind;Abheek Ghosh;Paul W. Goldberg;,University of Oxford;,United Kingdom;,Poster,https://www.ijcai.org/proceedings/2022/40,https://www.ijcai.org/proceedings/2022/0040.pdf
13,Correlation-Based Algorithm for Team-Maxmin Equilibrium in Multiplayer Extensive-Form Games,Agent-based and Multi-agent Systems,Youzhi Zhang;Bo An;V. S. Subrahmanian;,Northwestern University;Nanyang Technological University;,United States;Singapore;,Poster,https://www.ijcai.org/proceedings/2022/86,https://www.ijcai.org/proceedings/2022/0086.pdf
14,Distortion in Voting with Top-t Preferences,Agent-based and Multi-agent Systems,Allan Borodin;Daniel Halpern;Mohamad Latifian;Nisarg Shah;,University of Toronto;Harvard University;,Canada;United States;,Poster,https://www.ijcai.org/proceedings/2022/17,https://www.ijcai.org/proceedings/2022/0017.pdf
