Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL,CVF URL,Arxiv URL
1,A Quality-based Syntactic Template Retriever for Syntactically-Controlled Paraphrase Generation,,Xue Zhang;Songming Zhang;Yunlong Liang;Yufeng Chen;Jian Liu;Wenjuan Han;Jinan Xu;,Beijing Jiao Tong University;,China;,Long Main,https://openreview.net/forum?id=PAByut8fMZ,,,
2,BanglaAbuseMeme: A Dataset for Bengali Abusive Meme Classification,,Mithun Das;Animesh Mukherjee;,Indian Institute of Technology Kharagpur;,India;,Long Main,https://openreview.net/forum?id=1IRFq6qdke,,,
3,Data Similarity is Not Enough to Explain Language Model Performance,,Gregory Yauney;Emily Reif;David Mimno;,Cornell University;Google;,United States;,Short Main,https://openreview.net/forum?id=J6uWPjukdR,,,
4,DiSTRICT: Dialogue State Tracking with Retriever Driven In-Context Tuning,,Praveen Venkateswaran;Evelyn Duesterwald;Vatche Isahagian;,International Business Machines Corporation;,United States;,Long Main,https://openreview.net/forum?id=h4NNcIZUHT,,,
5,Language Model Quality Correlates with Psychometric Predictive Power in Multiple Languages,,Ethan Wilcox;Clara Meister;Ryan Cotterell;Tiago Pimentel;,Georgetown University;University of Cambridge;Swiss Federal Institute of Technology;,United States;United Kingdom;Switzerland;,Short Main,https://openreview.net/forum?id=YZJ3oewPcu,,,
6,Long-Horizon Dialogue Understanding for Role Identification in the Game of Avalon with Large Language Models,,Simon Stepputtis;Joseph Campbell;Yaqi Xie;Zhengyang Qi;Wenxin Sharon Zhang;Ruiyi Wang;Sanketh Rangreji;Charles Michael Lewis;Katia P. Sycara;,Carnegie Mellon University;National University of Singapore;University of Pittsburgh;,United States;Singapore;,Long Findings,https://openreview.net/forum?id=JKmsjKJ0Q8,,,
7,Prompting Scientific Names for Zero-Shot Species Recognition,,Shubham Parashar;Zhiqiu Lin;Yanan Li;Shu Kong;,Texas A&M University;Carnegie Mellon University;Zhejiang Lab;,United States;China;,Short Main,https://openreview.net/forum?id=OgK0kMz5Va,,,
8,Systematic word meta-sense extension,,Lei Yu;,University of Toronto;,Canada;,Long Main,https://openreview.net/forum?id=KgcuY2KIkf,,,
9,The Benefits of Label-Description Training for Zero-Shot Text Classification,,Lingyu Gao;Debanjan Ghosh;Kevin Gimpel;,Educational Testing Service;Toyota Technological Institute at Chicago;,United States;,Long Main,https://openreview.net/forum?id=8851TT2R0l,,,
10,The BLA Benchmark: Investigating Basic Language Abilities of Pre-Trained Multimodal Models,,Xinyi Chen;Raquel Fernández;Sandro Pezzelle;,University of Amsterdam;,Netherlands;,Long Main,https://openreview.net/forum?id=f1y1tG5pAE,,,
