Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL,CVF URL,Arxiv URL
1261,Visually Grounded Reasoning across Languages and Cultures,,Fangyu Liu;Emanuele Bugliarello;Edoardo Maria Ponti;Siva Reddy;Nigel Collier;Desmond Elliott;,,,Main,https://aclanthology.org/2021.emnlp-main.818/,https://aclanthology.org/2021.emnlp-main.818.pdf,,
1262,Voice Query Auto Completion,,Raphael Tang;Karun Kumar;Kendra Chalkley;Ji Xin;Liming Zhang;Wenyan Li;Gefei Yang;Yajie Mao;Junho Shin;Geoffrey Craig Murray;Jimmy Lin;,Comcast;SparkCognition;University of Waterloo;,United States;Canada;,Main,https://aclanthology.org/2021.emnlp-main.68/,https://aclanthology.org/2021.emnlp-main.68.pdf,,
1263,Want To Reduce Labeling Cost? GPT-3 Can Help,,Shuohang Wang;Yang Liu;Yichong Xu;Chenguang Zhu;Michael Zeng;,Microsoft;,United States;,finding,https://aclanthology.org/2021.findings-emnlp.354/,https://aclanthology.org/2021.findings-emnlp.354.pdf,,
1264,Wasserstein Selective Transfer Learning for Cross-domain Text Mining,,Lingyun Feng;Minghui Qiu;Yaliang Li;Haitao Zheng;Ying Shen;,Tsinghua University;Alibaba Group;Sun Yat-sen University;,China;,Main,https://aclanthology.org/2021.emnlp-main.770/,https://aclanthology.org/2021.emnlp-main.770.pdf,,
1265,Wav-BERT: Cooperative Acoustic and Linguistic Representation Learning for Low-Resource Speech Recognition,,Guolin Zheng;Yubei Xiao;Ke Gong;Pan Zhou;Xiaodan Liang;Liang Lin;,Sun Yat-sen University;Dark Matter AI Research;Sea AI Lab;,China;United States;;,finding,https://aclanthology.org/2021.findings-emnlp.236/,https://aclanthology.org/2021.findings-emnlp.236.pdf,,
1266,We Need to Talk About train-dev-test Splits,,Rob van der Goot;,IT University of Copenhagen;,Denmark;,Main,https://aclanthology.org/2021.emnlp-main.368/,https://aclanthology.org/2021.emnlp-main.368.pdf,,
1267,We’ve had this conversation before: A Novel Approach to Measuring Dialog Similarity,,Ofer Lavi;Ella Rabinovich;Segev Shlomov;David Boaz;Inbal Ronen;Ateret Anaby Tavor;,IBM;,United States;,Main,https://aclanthology.org/2021.emnlp-main.89/,https://aclanthology.org/2021.emnlp-main.89.pdf,,
1268,Weakly Supervised Contrastive Learning for Chest X-Ray Report Generation,,An Yan;Zexue He;Xing Lu;Jiang Du;Eric Chang;Amilcare Gentili;Julian McAuley;Chun-Nan Hsu;,"University of California, San Diego;",United States;,finding,https://aclanthology.org/2021.findings-emnlp.336/,https://aclanthology.org/2021.findings-emnlp.336.pdf,,
1269,Weakly supervised discourse segmentation for multiparty oral conversations,,Lila Gravellier;Julie Hunter;Philippe Muller;Thomas Pellegrini;Isabelle Ferrané;,University of Toulouse;LINAGORA;Artificial and Natural Intelligence Toulouse Institute;,France;,Main,https://aclanthology.org/2021.emnlp-main.104/,https://aclanthology.org/2021.emnlp-main.104.pdf,,
1270,Weakly Supervised Semantic Parsing by Learning from Mistakes,,Jiaqi Guo;Jian-Guang Lou;Ting Liu;Dongmei Zhang;,Xi'an Jiao Tong University;Microsoft;,China;United States;,finding,https://aclanthology.org/2021.findings-emnlp.222/,https://aclanthology.org/2021.findings-emnlp.222.pdf,,
1271,Weakly-supervised Text Classification Based on Keyword Graph,,Lu Zhang;Jiandong Ding;Yi Xu;Yingyao Liu;Shuigeng Zhou;,Fudan University;Alibaba Group;,China;,Main,https://aclanthology.org/2021.emnlp-main.222/,https://aclanthology.org/2021.emnlp-main.222.pdf,,
1272,Weakly-Supervised Visual-Retriever-Reader for Knowledge-based Question Answering,,Man Luo;Yankai Zeng;Pratyay Banerjee;Chitta Baral;,Arizona State University;,United States;,Main,https://aclanthology.org/2021.emnlp-main.517/,https://aclanthology.org/2021.emnlp-main.517.pdf,,
1273,WebSRC: A Dataset for Web-Based Structural Reading Comprehension,,Xingyu Chen;Zihan Zhao;Lu Chen;JiaBao Ji;Danyang Zhang;Ao Luo;Yuxuan Xiong;Kai Yu;,X-LANCE Lab;Shanghai Jiao Tong University;,;China;,Main,https://aclanthology.org/2021.emnlp-main.343/,https://aclanthology.org/2021.emnlp-main.343.pdf,,
