Index,Title,Authors,Affiliation,Status,Link
1,(More) Efficient Reinforcement Learning via Posterior Sampling,"Ian Osband, Daniel Russo, Benjamin Van Roy",Stanford University,Poster,https://nips.cc/virtual/2013/poster/4068
2,(Nearly) Optimal Algorithms for Private Online Learning in Full-information and Bandit Settings,"Abhradeep Guha Thakurta, Adam Smith",Pennsylvania State University; Stanford University; Microsoft,Poster,https://nips.cc/virtual/2013/poster/4038
3,A Comparative Framework for Preconditioned Lasso Algorithms,"Fabian L. Wauthier, Nebojsa Jojic, Michael I Jordan","University of Oxford; Microsoft; University of California, Berkeley",Poster,https://nips.cc/virtual/2013/poster/3853
4,A Deep Architecture for Matching Short Texts,"Zhengdong Lu, Hang Li",Huawei,Poster,https://nips.cc/virtual/2013/poster/3886
5,A Determinantal Point Process Latent Variable Model for Inhibition in Neural Spiking Data,"Jasper Snoek, Richard Zemel, Ryan P. Adams",Harvard University; University of Toronto,Poster,https://nips.cc/virtual/2013/poster/3949
6,A Gang of Bandits,"Nicolò Cesa-Bianchi, Claudio Gentile, Giovanni Zappella",Università degli Studi di Milano; University of Insubria,Poster,https://nips.cc/virtual/2013/poster/3817
7,A Graphical Transformation for Belief Propagation: Maximum Weight Matchings and Odd-Sized Cycles,"Jinwoo Shin, Andrew E Gelfand, Misha Chertkov","Korea Advanced Institute of Science and Technology; University of California, Irvine; Los Alamos National Laboratory",Poster,https://nips.cc/virtual/2013/poster/3959
8,A Kernel Test for Three-Variable Interactions,"Dino Sejdinovic, Arthur Gretton, Wicher Bergsma",University College London; London School of Economics and Political Science,Oral,https://nips.cc/virtual/2013/poster/3859
9,A Latent Source Model for Nonparametric Time Series Classification,"George H Chen, Stanislav Nikolov, Devavrat Shah","Massachusetts Institute of Technology; Twitter, Inc.",Poster,https://nips.cc/virtual/2013/poster/3855
10,A memory frontier for complex synapses,"Subhaneil Lahiri, Surya Ganguli",Stanford University,Oral,https://nips.cc/virtual/2013/poster/3850
11,A message-passing algorithm for multi-agent trajectory planning,"José Bento, Nate Derbinsky, Javier Alonso-Mora, Jonathan S. Yedidia",Disney Research,Poster,https://nips.cc/virtual/2013/poster/3792
12,A multi-agent control framework for co-adaptation in brain-computer interfaces,"Josh S Merel, Roy Fox, Tony Jebara, Liam Paninski",Columbia University; Hebrew University,Poster,https://nips.cc/virtual/2013/poster/4050
