Index,Title,Authors,Affiliation,Status,Link
1,(Probably) Concave Graph Matching,"Haggai Maron, Yaron Lipman",Weizmann Institute of Science,Spotlight,https://nips.cc/virtual/2018/poster/11065
2,$\ell_1$-regression with Heavy-tailed Distributions,"Lijun Zhang, Zhi-Hua Zhou",Nanjing University,Poster,https://nips.cc/virtual/2018/poster/11127
3,3D Steerable CNNs: Learning Rotationally Equivariant Features in Volumetric Data,"Maurice Weiler, Mario Geiger, Max Welling, Wouter Boomsma, Taco S Cohen",University of Amsterdam; EPFL; Canadian Institute for Advanced Research; Qualcomm; University of Copenhagen,Poster,https://nips.cc/virtual/2018/poster/11982
4,3D-Aware Scene Manipulation via Inverse Graphics,"Shunyu Yao, Tzu Ming Hsu, Jun-Yan Zhu, Jiajun Wu, Antonio Torralba, Bill Freeman, Josh Tenenbaum",Tsinghua University; Massachusetts Institute of Technology,Poster,https://nips.cc/virtual/2018/poster/11201
5,A Bandit Approach to Sequential Experimental Design with False Discovery Control,"Kevin G. Jamieson, Lalit Jain",University of Washington; Optimizely,Poster,https://nips.cc/virtual/2018/poster/11366
6,A Bayes-Sard Cubature Method,"Toni Karvonen, Chris J Oates, Simo Sarkka",Aalto University; Newcastle University; Alan Turing Institute,Poster,https://nips.cc/virtual/2018/poster/11572
7,A Bayesian Approach to Generative Adversarial Imitation Learning,"Wonseok Jeon, Seokin Seo, Kee-Eung Kim",KAIST; PROWLER.io,Spotlight,https://nips.cc/virtual/2018/poster/11715
8,A Bayesian Nonparametric View on Count-Min Sketch,"Diana Cai, Michael Mitzenmacher, Ryan P. Adams",Princeton University; Harvard University,Poster,https://nips.cc/virtual/2018/poster/11837
9,A Block Coordinate Ascent Algorithm for Mean-Variance Optimization,"Tengyang Xie, Bo Liu, Yangyang Xu, Mohammad Ghavamzadeh, Yinlam Chow, Daoming Lyu, Daesub Yoon",University of Massachusetts Amherst; Auburn University; Rensselaer Polytechnic Institute; Meta; Google; Electronics and Telecommunications Research Institute,Poster,https://nips.cc/virtual/2018/poster/11126
10,A Bridging Framework for Model Optimization and Deep Propagation,"Risheng Liu, Shichao Cheng, xiaokun liu, Long Ma, Xin Fan, Zhongxuan Luo",Dalian University of Technology; Liaoning Province Key Laboratory for Ubiquitous Network and Service Software,Poster,https://nips.cc/virtual/2018/poster/11427
11,A Convex Duality Framework for GANs,"Farzan Farnia, David Tse",Stanford University,Poster,https://nips.cc/virtual/2018/poster/11513
12,A convex program for bilinear inversion of sparse vectors,"Alireza Aghasi, Ali Ahmed, Paul Hand, Babhru Joshi",Georgia State University; ITU Lahore; Northeastern University; Rice University,Poster,https://nips.cc/virtual/2018/poster/11817
13,A Deep Bayesian Policy Reuse Approach Against Non-Stationary Agents,"YAN ZHENG, Zhaopeng Meng, Jianye Hao, Zongzhang Zhang, Tianpei Yang, Changjie Fan","Tianjin University; Soochow University; NetEase, Inc.",Poster,https://nips.cc/virtual/2018/poster/11116
14,A Dual Framework for Low-rank Tensor Completion,"Madhav Nimishakavi, Pratik Kumar Jawanpuria, Bamdev Mishra",Indian Institute of Science; Microsoft,Poster,https://nips.cc/virtual/2018/poster/11536
15,A flexible model for training action localization with varying levels of supervision,"Guilhem Chéron, Jean-Baptiste Alayrac, Ivan Laptev, Cordelia Schmid",,Poster,https://nips.cc/virtual/2018/poster/11115
16,A Game-Theoretic Approach to Recommendation Systems with Strategic Content Providers,"Omer Ben-Porat, Moshe Tennenholtz",,Poster,https://nips.cc/virtual/2018/poster/11130
17,A General Method for Amortizing Variational Filtering,"Joseph Marino, Milan Cvitkovic, Yisong Yue",California Institute of Technology,Poster,https://nips.cc/virtual/2018/poster/11754
18,A Likelihood-Free Inference Framework for Population Genetic Data using Exchangeable Neural Networks,"Jeffrey Chan, Valerio Perrone, Jeffrey Spence, Paul Jenkins, Sara Mathieson, Yun Song","University of California, Berkeley; University of Warwick; Swarthmore College",Spotlight,https://nips.cc/virtual/2018/poster/11821
19,A Linear Speedup Analysis of Distributed Deep Learning with Sparse and Quantized Communication,"Peng Jiang, Gagan Agrawal",Ohio State University,Poster,https://nips.cc/virtual/2018/poster/11261
20,A Lyapunov-based Approach to Safe Reinforcement Learning,"Yinlam Chow, Ofir Nachum, Edgar Duenez-Guzman, Mohammad Ghavamzadeh",DeepMind; Google; Meta,Poster,https://nips.cc/virtual/2018/poster/11775
21,A Mathematical Model For Optimal Decisions In A Representative Democracy,"Malik Magdon-Ismail, Lirong Xia",Rensselaer Polytechnic Institute,Poster,https://nips.cc/virtual/2018/poster/11462
22,A Model for Learned Bloom Filters and Optimizing by Sandwiching,Michael Mitzenmacher,Harvard University,Poster,https://nips.cc/virtual/2018/poster/11070
23,A Neural Compositional Paradigm for Image Captioning,"Bo Dai, Sanja Fidler, Dahua Lin",Chinese University of Hong Kong; University of Toronto; Vector Institute; NVIDIA,Poster,https://nips.cc/virtual/2018/poster/11088
24,A no-regret generalization of hierarchical softmax to extreme multi-label classification,"Marek Wydmuch, Kalina Jasinska, Mikhail Kuznetsov, Róbert Busa-Fekete, Krzysztof Dembczynski",Poznan University of Technology; Yahoo! Research,Poster,https://nips.cc/virtual/2018/poster/11615
25,A Practical Algorithm for Distributed Clustering and Outlier Detection,"Jiecao Chen, Erfan Sadeqi Azer, Qin Zhang",Indiana University,Poster,https://nips.cc/virtual/2018/poster/11235
26,A probabilistic population code based on neural samples,"Sabyasachi Shivkumar, Richard Lange, Ankani Chattoraj, Ralf Haefner",University of Rochester,Oral,https://nips.cc/virtual/2018/poster/11681
27,A Probabilistic U-Net for Segmentation of Ambiguous Images,"Simon Kohl, Bernardino Romera-Paredes, Clemens Meyer, Jeffrey De Fauw, Joseph R. Ledsam, Klaus Maier-Hein, S. M. Ali Eslami, Danilo Jimenez Rezende, Olaf Ronneberger",DeepMind; German Cancer Research Center,Spotlight,https://nips.cc/virtual/2018/poster/11671
28,A Reduction for Efficient LDA Topic Reconstruction,"Matteo Almanza, Flavio Chierichetti, Alessandro Panconesi, Andrea Vattani",Sapienza University of Rome; Spiketrap,Poster,https://nips.cc/virtual/2018/poster/11755
29,A Retrieve-and-Edit Framework for Predicting Structured Outputs,"Tatsunori B Hashimoto, Kelvin Guu, Yonatan Oren, Percy Liang",Stanford University,Oral,https://nips.cc/virtual/2018/poster/11953
30,A Simple Cache Model for Image Recognition,Emin Orhan,Baylor College of Medicine,Poster,https://nips.cc/virtual/2018/poster/11958
31,A Simple Proximal Stochastic Gradient Method for Nonsmooth Nonconvex Optimization,"Zhize Li, Jian Li",Tsinghua University,Spotlight,https://nips.cc/virtual/2018/poster/11543
32,A Simple Unified Framework for Detecting Out-of-Distribution Samples and Adversarial Attacks,"Kimin Lee, Kibok Lee, Honglak Lee, Jinwoo Shin",,Spotlight,https://nips.cc/virtual/2018/poster/11690
33,A Smoothed Analysis of the Greedy Algorithm for the Linear Contextual Bandit Problem,"Sampath Kannan, Jamie H Morgenstern, Aaron Roth, Bo Waggoner, Zhiwei Steven Wu",University of Pennsylvania; Georgia Institute of Technology; Microsoft; University of Minnesota,Spotlight,https://nips.cc/virtual/2018/poster/11233
34,A Smoother Way to Train Structured Prediction Models,"Venkata Krishna Pillutla, Vincent Roulet, Sham M. Kakade, Zaid Harchaoui",University of Washington,Poster,https://nips.cc/virtual/2018/poster/11468
35,A Spectral View of Adversarially Robust Features,"Shivam Garg, Vatsal Sharan, Brian Zhang, Gregory Valiant",Stanford University,Spotlight,https://nips.cc/virtual/2018/poster/11961
36,A Statistical Recurrent Model on the Manifold of Symmetric Positive Definite Matrices,"Rudrasis Chakraborty, Chun-Hao Yang, Xingjian Zhen, Monami Banerjee, Derek Archer, David Vaillancourt, Vikas Singh, Baba Vemuri",,Poster,https://nips.cc/virtual/2018/poster/11848
37,A Stein variational Newton method,"Gianluca Detommaso, Tiangang Cui, Youssef Marzouk, Alessio Spantini, Robert Scheichl",University of Bath; Monash University; Massachusetts Institute of Technology; Heidelberg University,Poster,https://nips.cc/virtual/2018/poster/11874
38,A Structured Prediction Approach for Label Ranking,"Anna Korba, Alexandre Garcia, Florence d'Alché-Buc",Télécom ParisTech,Poster,https://nips.cc/virtual/2018/poster/11858
39,A theory on the absence of spurious solutions for nonconvex and nonsmooth optimization,"Cedric Josz, Yi Ouyang, Richard Zhang, Javad Lavaei, Somayeh Sojoudi","University of California, Berkeley",Poster,https://nips.cc/virtual/2018/poster/11253
40,A Theory-Based Evaluation of Nearest Neighbor Models Put Into Practice,"Hendrik Fichtenberger, Dennis Rohde",Technische Universität Dortmund,Poster,https://nips.cc/virtual/2018/poster/11651
41,A Unified Feature Disentangler for Multi-Domain Image Translation and Manipulation,"Alexander H. Liu, Yen-Cheng Liu, Yu-Ying Yeh, Yu-Chiang Frank Wang","National Taiwan University; Georgia Institute of Technology; University of California, San Diego; MOST Joint Research Center for AI Technology",Poster,https://nips.cc/virtual/2018/poster/11267
42,A Unified Framework for Extensive-Form Game Abstraction with Bounds,"Christian Kroer, Tuomas Sandholm",University of Pittsburgh,Poster,https://nips.cc/virtual/2018/poster/11084
43,A Unified View of Piecewise Linear Neural Network Verification,"Rudy R Bunel, Ilker Turkaslan, Philip Torr, Pushmeet Kohli, Pawan K Mudigonda",University of Oxford; DeepMind; Alan Turing Institute,Poster,https://nips.cc/virtual/2018/poster/11470
44,A^2-Nets: Double Attention Networks,"Yunpeng Chen, Yannis Kalantidis, Jianshu Li, Shuicheng Yan, Jiashi Feng",National University of Singapore; Meta; Qihoo 360,Poster,https://nips.cc/virtual/2018/poster/11060
45,Accelerated Stochastic Matrix Inversion:  General Theory and  Speeding up BFGS Rules for Faster Second-Order Optimization,"Robert Gower, Filip Hanzely, Peter Richtarik, Sebastian U Stich",Télécom ParisTech; King Abdullah University of Science and Technology; University of Edinburgh; Moscow Institute of Physics and Technology; EPFL,Poster,https://nips.cc/virtual/2018/poster/11176
46,Acceleration through Optimistic No-Regret Dynamics,"Jun-Kun Wang, Jacob D. Abernethy",Georgia Institute of Technology,Spotlight,https://nips.cc/virtual/2018/poster/11381
47,Active Learning for Non-Parametric Regression Using Purely Random Trees,"Jack Goetz, Ambuj Tewari, Paul Zimmerman",University of Michigan,Poster,https://nips.cc/virtual/2018/poster/11262
48,Active Matting,"Xin Yang, Ke Xu, Shaozhe Chen, Shengfeng He, Baocai Yin Yin, Rynson Lau",Dalian University of Technology; City University of Hong Kong; South China University of Technology,Poster,https://nips.cc/virtual/2018/poster/11452
