番号,title,status,decision_raw,rating,all_ratings,authors,href
2310,BEVFusion: A Simple and Robust LiDAR-Camera Fusion Framework,poster,Accept,5.4,"[7, 5, 5, 4, 6]","Tingting Liang, Hongwei Xie, Kaicheng Yu, Zhongyu Xia, Zhiwei Lin, Yongtao Wang, Tao Tang, BING WANG, Zhi Tang",https://openreview.net/forum?id=zzDrPqn57DL
12079,The Missing Invariance Principle found --  the Reciprocal Twin of Invariant Risk Minimization ,poster,Accept,6.0,"[6, 3, 8, 7]","Dongsung Huh, Avinash Baidya",https://openreview.net/forum?id=zz0FC7qBpkh
9989,Sustainable Online Reinforcement Learning for Auto-bidding,poster,Accept,6.67,"[7, 6, 7]","Zhiyu Mou, Yusen Huo, Rongquan Bai, Mingzhou Xie, Chuan Yu, Jian Xu, Bo Zheng",https://openreview.net/forum?id=zyrBT58h_J
10262,Langevin Autoencoders for Learning Deep Latent Variable Models,poster,Accept,6.0,"[7, 6, 5]","Shohei Taniguchi, Yusuke Iwasawa, Wataru Kumagai, Yutaka Matsuo",https://openreview.net/forum?id=zvNMzjOizmn
1891,Non-deep Networks,poster,Accept,6.0,"[7, 7, 7, 4, 5]","Ankit Goyal, Alexey Bochkovskiy, Jia Deng, Vladlen Koltun",https://openreview.net/forum?id=zuL5OYIBgcV
7038,"Distributive Justice as the Foundational Premise of Fair ML: Unification, Extension, and Interpretation of Group Fairness Metrics",reject,Reject,5.33,"[4, 6, 6]","Joachim Baumann, Corinna Hertweck, Michele Loi, Christoph Heitz",https://openreview.net/forum?id=ztcfHweENtU
9690,Mask Matching Transformer for Few-Shot Segmentation,poster,Accept,4.5,"[6, 4, 3, 5]","Siyu Jiao, Gengwei Zhang, Shant Navasardyan, Ling Chen, Yao Zhao, Yunchao Wei, Humphrey Shi",https://openreview.net/forum?id=zt4xNo0lF8W
4348,u-HuBERT: Unified Mixed-Modal Speech Pretraining And Zero-Shot Transfer to Unlabeled Modality,poster,Accept,5.5,"[5, 7, 3, 7]","Wei-Ning Hsu, Bowen Shi",https://openreview.net/forum?id=zrAUoI2JA2
8199,Consistent Interpolating Ensembles via the Manifold-Hilbert Kernel,poster,Accept,6.25,"[6, 7, 7, 5]","Yutong Wang, Clayton Scott",https://openreview.net/forum?id=zqQKGaNI4lp
6789,Transferring Fairness under Distribution Shifts via Fair Consistency Regularization,poster,Accept,5.0,"[4, 5, 6]","Bang An, Zora Che, Mucong Ding, Furong Huang",https://openreview.net/forum?id=zp_Cp38qJE0
8579,Quantum Algorithms for Sampling Log-Concave Distributions and Estimating Normalizing Constants,poster,Accept,4.67,"[3, 5, 6]","Andrew Childs, Tongyang Li, Jin-Peng Liu, Chunhao Wang, Ruizhe Zhang",https://openreview.net/forum?id=zofwPmKL-DO
11904,Training stochastic stabilized supralinear networks by dynamics-neutral growth,poster,Accept,5.67,"[5, 7, 5]","Wayne WM Soo, Máté Lengyel",https://openreview.net/forum?id=znbTxnBPlx
766,Object Scene Representation Transformer,poster,Accept,5.75,"[5, 7, 6, 5]","Mehdi S. M. Sajjadi, Daniel Duckworth, Aravindh Mahendran, Sjoerd van Steenkiste, Filip Pavetic, Mario Lucic, Leonidas Guibas, Klaus Greff, Thomas Kipf",https://openreview.net/forum?id=znNmsN_O7Sh
7125,Timing is Everything: Learning to Act Selectively with Costly Actions and Budgetary Constraints,reject,Reject,5.33,"[5, 6, 5]","David Henry Mguni, Aivar Sootla, Juliusz Krzysztof Ziomek, Oliver Slumbers, Zipeng Dai, Kun Shao, Jun Wang",https://openreview.net/forum?id=zkk_7sV6gm8
1138,Counterfactual harm,poster,Accept,6.5,"[7, 6, 6, 7]","Jonathan Richens, Rory Beard, Daniel H. Thompson",https://openreview.net/forum?id=zkQho-Jxky9
