Index,Title,Authors,Affiliation,Status,Link
26,A Spectral Algorithm for Latent Dirichlet Allocation,"Anima Anandkumar, Dean P. Foster, Daniel J. Hsu, Sham M. Kakade, Yi-kai Liu","University of California, Irvine; University of Pennsylvania; Microsoft; National Institute of Standards and Technology",Poster,https://papers.nips.cc/paper_files/paper/2012/hash/15d4e891d784977cacbfcbb00c48f133-Abstract.html
27,A Stochastic Gradient Method with an Exponential Convergence _Rate for Finite Training Sets,"Nicolas L. Roux, Mark Schmidt, Francis R. Bach",INRIA - ENS,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/905056c1ac1dad141560467e0a99e1cf-Abstract.html
28,A systematic approach to extracting semantic information from functional MRI data,"Francisco Pereira, Matthew Botvinick",Siemens Corporation; Princeton University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/c60d060b946d6dd6145dcbad5c4ccf6f-Abstract.html
29,A Unifying Perspective of Parametric Policy Search Methods for Markov Decision Processes,"Thomas Furmston, David Barber",University College London,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/17326d10d511828f6b34fa6d751739e2-Abstract.html
30,Accelerated Training for Matrix-norm Regularization: A Boosting Approach,"Xinhua Zhang, Dale Schuurmans, Yao-liang Yu",University of Alberta; National ICT Australia,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/1ee3dfcd8a0645a25a35977997223d22-Abstract.html
31,Accuracy at the Top,"Stephen Boyd, Corinna Cortes, Mehryar Mohri, Ana Radovanovic",Stanford University; Google; Courant Institute of Mathematical Sciences,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/7fe1f8abaad094e0b5cb1b01d712f708-Abstract.html
32,Action-Model Based Multi-agent Plan Recognition,"Hankz H. Zhuo, Qiang Yang, Subbarao Kambhampati",Sun Yat-sen University; Huawei; Arizona State University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/a597e50502f5ff68e3e25b9114205d4a-Abstract.html
33,Active Comparison of Prediction Models,"Christoph Sawade, Niels Landwehr, Tobias Scheffer",University of Potsdam,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/92fb0c6d1758261f10d052e6e2c1123c-Abstract.html
34,Active Learning of Model Evidence Using Bayesian Quadrature,"Michael Osborne, Roman Garnett, Zoubin Ghahramani, David K. Duvenaud, Stephen J. Roberts, Carl E. Rasmussen",University of Oxford; University of Cambridge; Carnegie Mellon University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/6364d3f0f495b6ab9dcf8d3b5c6e0b01-Abstract.html
35,Active Learning of Multi-Index Function Models,"Tyagi Hemant, Volkan Cevher",EPFL,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/b4a528955b84f584974e92d025a75d1f-Abstract.html
36,Adaptive Learning of Smoothing Functions: Application to Electricity Load Forecasting,"Amadou Ba, Mathieu Sinn, Yannig Goude, Pascal Pompey",IBM; EDF Research and Development,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/b571ecea16a9824023ee1af16897a582-Abstract.html
37,Adaptive Stratified Sampling for Monte-Carlo integration of Differentiable functions,"Alexandra Carpentier, Rémi Munos",Statistical Laboratory; INRIA Lille-Nord Europe,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/42a0e188f5033bc65bf8d78622277c4e-Abstract.html
