Index,Title,Authors,Affiliation,Status,Link
1,(Nearly) Efficient Algorithms for the Graph Matching Problem on Correlated Random Graphs,"Boaz Barak, Chi-Ning Chou, Zhixian Lei, Tselil Schramm, Yueqi Sheng",Harvard University,Poster,https://nips.cc/virtual/2019/poster/13959
2,A Bayesian Theory of Conformity in Collective Decision Making,"Koosha Khalvati, Saghar Mirbagheri, Seongmin A. Park, Jean-Claude Dreher, Rajesh P. Rao","University of Washington; New York University; University of California, Davis; Institut des Sciences Cognitives Marc Jeannerod",Poster,https://nips.cc/virtual/2019/poster/14001
3,A Benchmark for Interpretability Methods in Deep Neural Networks,"Sara Hooker, Dumitru Erhan, Pieter-Jan Kindermans, Been Kim",Google,Poster,https://nips.cc/virtual/2019/poster/14002
4,A Communication Efficient Stochastic Multi-Block Alternating Direction Method of Multipliers,Hao Yu,Amazon,Poster,https://nips.cc/virtual/2019/poster/13919
5,A Composable Specification Language for Reinforcement Learning Tasks,"Kishor Jothimurugan, Rajeev Alur, Osbert Bastani",University of Pennsylvania,Poster,https://nips.cc/virtual/2019/poster/14247
6,A Condition Number for Joint Optimization of Cycle-Consistent Networks,"Leonidas Guibas, Qixing Huang, Zhenxiao Liang",,Spotlight,https://nips.cc/virtual/2019/poster/14489
7,A Convex Relaxation Barrier to Tight Robustness Verification of Neural Networks,"Hadi Salman, Greg Yang, Huan Zhang, Cho-Jui Hsieh, Pengchuan Zhang","Microsoft; University of California, Los Angeles",Poster,https://nips.cc/virtual/2019/poster/14011
8,A coupled autoencoder approach for multi-modal analysis of cell types,"Rohan Gala, Nathan Gouwens, Zizhen Yao, Agata Budzillo, Osnat Penn, Bosiljka Tasic, Gabe Murphy, Hongkui Zeng, Uygar Sümbül",Allen Institute,Poster,https://nips.cc/virtual/2019/poster/13966
9,A Debiased MDI Feature Importance Measure for Random Forests,"Xiao Li, Yu Wang, Sumanta Basu, Karl Kumbier, Bin Yu","University of California, Berkeley; University Affiliation Not Specified; Cornell University",Poster,https://nips.cc/virtual/2019/poster/13879
10,A Direct tilde{O}(1/epsilon) Iteration Parallel Algorithm for Optimal Transport,"Arun Jambulapati, Aaron Sidford, Kevin Tian",,Poster,https://nips.cc/virtual/2019/poster/14126
11,A Domain Agnostic Measure for Monitoring and Evaluating GANs,"Paulina Grnarova, Kfir Y. Levy, Aurelien Lucchi, Nathanael Perraudin, Ian Goodfellow, Thomas Hofmann, Andreas Krause",ETH Zurich; Technion-Israel Institute of Technology; Swiss Data Science Center,Poster,https://nips.cc/virtual/2019/poster/14175
12,A Family of Robust Stochastic Operators for Reinforcement Learning,"Yingdong Lu, Mark Squillante, Chai Wah Wu",IBM,Poster,https://nips.cc/virtual/2019/poster/14453
13,A First-Order Algorithmic Framework for Distributionally Robust Logistic Regression,"JIAJIN LI, SEN HUANG, Anthony Man-Cho So",Chinese University of Hong Kong,Poster,https://nips.cc/virtual/2019/poster/13556
14,A Flexible Generative Framework for Graph-based Semi-supervised Learning,"Jiaqi Ma, Weijing Tang, Ji Zhu, Qiaozhu Mei",University of Michigan,Poster,https://nips.cc/virtual/2019/poster/13506
15,A Fourier Perspective on Model Robustness in Computer Vision,"Dong Yin, Raphael Gontijo Lopes, Jon Shlens, Ekin Dogus Cubuk, Justin Gilmer","University of California, Berkeley; Google",Poster,https://nips.cc/virtual/2019/poster/14266
16,A Game Theoretic Approach to Class-wise Selective Rationalization,"Shiyu Chang, Yang Zhang, Mo Yu, Tommi Jaakkola",Massachusetts Institute of Technology; IBM,Poster,https://nips.cc/virtual/2019/poster/14027
17,A General Framework for Symmetric Property Estimation,"Moses Charikar, Kirankumar Shiragur, Aaron Sidford",Stanford University,Poster,https://nips.cc/virtual/2019/poster/14199
