Index,Title,Authors,Affiliation,Status,Link
1,#Exploration: A Study of Count-Based Exploration for Deep Reinforcement Learning,"Haoran Tang, Rein Houthooft, Davis Foote, Adam Stooke, OpenAI Xi Chen, Yan Duan, John Schulman, Filip DeTurck, Pieter Abbeel","University of California, Berkeley; OpenAI; Ghent University",Poster,https://nips.cc/virtual/2017/poster/9061
2,A Bayesian Data Augmentation Approach for Learning Deep Models,"Toan Tran, Trung Pham, Gustavo Carneiro, Lyle Palmer, Ian Reid",School of Computer Science; School of Public Health,Poster,https://nips.cc/virtual/2017/poster/9065
3,A Decomposition of Forecast Error in Prediction Markets,"Miro Dudik, Sebastien Lahaie, Ryan M Rogers, Jennifer Wortman Vaughan",Microsoft; Google; University of Pennsylvania,Poster,https://nips.cc/virtual/2017/poster/9216
4,A Dirichlet Mixture Model of Hawkes Processes for Event Sequence Clustering,"Hongteng Xu, Hongyuan Zha",Georgia Institute of Technology,Poster,https://nips.cc/virtual/2017/poster/8927
5,A Disentangled Recognition and Nonlinear Dynamics Model for Unsupervised Learning,"Marco Fraccaro, Simon Kamronn, Ulrich Paquet, Ole Winther",,Spotlight,https://nips.cc/virtual/2017/poster/9143
6,A framework for Multi-A(rmed)/B(andit) Testing with Online FDR Control,"Fanny Yang, Aaditya Ramdas, Kevin G. Jamieson, Martin J. Wainwright",,Spotlight,https://nips.cc/virtual/2017/poster/9368
7,A General Framework for Robust Interactive Learning,"Ehsan Emamjomeh-Zadeh, David Kempe",University of Southern California,Poster,https://nips.cc/virtual/2017/poster/9474
8,A graph-theoretic approach to multitasking,"Noga Alon, Daniel Reichman, Igor Shinkar, Tal Wagner, Sebastian Musslick, Jonathan D. Cohen, Tom Griffiths, Biswadip dey, Kayhan Ozcimder","Tel Aviv University; University of California, Berkeley; Massachusetts Institute of Technology; Princeton University",Oral,https://nips.cc/virtual/2017/poster/8998
9,A Greedy Approach for Budgeted Maximum Inner Product Search,"Hsiang-Fu Yu, Cho-Jui Hsieh, Qi Lei, Inderjit S Dhillon","Amazon; University of Texas at Austin; University of California, Davis",Poster,https://nips.cc/virtual/2017/poster/9320
10,A KL-LUCB algorithm for Large-Scale Crowdsourcing,"Ervin Tanczos, Robert Nowak, Bob Mankoff",University of Wisconsin-Madison; New Yorker,Poster,https://nips.cc/virtual/2017/poster/9362
11,A Learning Error Analysis for Structured Prediction with Approximate Inference,"Yuanbin Wu, Man Lan, Shiliang Sun, Qi Zhang, Xuanjing Huang",East China Normal University; Shanghai Key Laboratory of Multidimensional Information Processing; Fudan University,Poster,https://nips.cc/virtual/2017/poster/9384
12,A Linear-Time Kernel Goodness-of-Fit Test,"Wittawat Jitkrittum, Wenkai Xu, Zoltan Szabo, Kenji Fukumizu, Arthur Gretton",University College London; Ecole Polytechnique; Institute of Statistical Mathematics,Oral,https://nips.cc/virtual/2017/poster/8823
13,A Meta-Learning Perspective on Cold-Start Recommendations for Items,"Manasi Vartak, Arvind Thiagarajan, Conrado Miranda, Jeshua Bratman, Hugo Larochelle",Massachusetts Institute of Technology; Twitter; Google,Poster,https://nips.cc/virtual/2017/poster/9457
14,A Minimax Optimal Algorithm for Crowdsourcing,"Thomas Bonald, Richard Combes",Telecom ParisTech; Centrale-Supelec,Poster,https://nips.cc/virtual/2017/poster/9214
15,A multi-agent reinforcement learning model of common-pool resource appropriation,"Julien Pérolat, Joel Z. Leibo, Vinicius Zambaldi, Charles Beattie, Karl Tuyls, Thore Graepel",DeepMind; University of Liverpool,Poster,https://nips.cc/virtual/2017/poster/9147
16,A New Alternating Direction Method for Linear Programming,"Sinong Wang, Ness Shroff",Ohio State University,Poster,https://nips.cc/virtual/2017/poster/8939
17,A New Theory for Matrix Completion,"Guangcan Liu, Qingshan Liu, Xiaotong Yuan",,Poster,https://nips.cc/virtual/2017/poster/8873
18,A PAC-Bayesian Analysis of Randomized Learning with Application to Stochastic Gradient Descent,Ben London,Amazon,Poster,https://nips.cc/virtual/2017/poster/9078
19,A Probabilistic Framework for Nonlinearities in Stochastic Neural Networks,"Qinliang Su, xuejun Liao, Lawrence Carin",Duke University,Poster,https://nips.cc/virtual/2017/poster/9226
20,A Regularized Framework for Sparse and Structured Neural Attention,"Vlad Niculae, Mathieu Blondel",Cornell University; NTT Communication Science Laboratories,Poster,https://nips.cc/virtual/2017/poster/9118
21,A Sample Complexity Measure with Applications to Learning Optimal Auctions,Vasilis Syrgkanis,Microsoft,Poster,https://nips.cc/virtual/2017/poster/9310
22,A Scale Free Algorithm for Stochastic Bandits with Bounded Kurtosis,Tor Lattimore,DeepMind,Poster,https://nips.cc/virtual/2017/poster/8949
23,A Screening Rule for l1-Regularized Ising Model Estimation,"Zhaobin Kuang, Sinong Geng, David Page",University of Wisconsin,Poster,https://nips.cc/virtual/2017/poster/8867
24,"A Sharp Error Analysis for the Fused Lasso, with Application to Approximate Changepoint Screening","Kevin Lin, James L Sharpnack, Alessandro Rinaldo, Ryan J Tibshirani","Carnegie Mellon University; University of California, Davis",Poster,https://nips.cc/virtual/2017/poster/9455
25,A simple model of recognition and recall memory,"Nisheeth Srivastava, Edward Vul","Indian Institute of Technology Kanpur; University of California, San Diego",Poster,https://nips.cc/virtual/2017/poster/8826
