Index,Title,Authors,Affiliation,Status,Link
1,3D Object Proposals for Accurate Object Class Detection,"Xiaozhi Chen, Kaustav Kundu, Yukun Zhu, Andrew G Berneshawi, Huimin Ma, Sanja Fidler, Raquel Urtasun",Tsinghua University; University of Toronto,Poster,https://nips.cc/virtual/2015/poster/5492
2,A Bayesian Framework for Modeling Confidence in Perceptual Decision Making,"Koosha Khalvati, Rajesh P. Rao",University of Washington,Poster,https://nips.cc/virtual/2015/poster/5671
3,A class of network models recoverable by spectral clustering,"Yali Wan, Marina Meila",University of Washington,Poster,https://nips.cc/virtual/2015/poster/5745
4,A Complete Recipe for Stochastic Gradient MCMC,"Yi-An Ma, Tianqi Chen, Emily B. Fox",University of Washington,Poster,https://nips.cc/virtual/2015/poster/5714
5,A Convergent Gradient Descent Algorithm for Rank Minimization and Semidefinite Programming from Random Linear Measurements,"Qinqing Zheng, John Lafferty",University of Chicago,Poster,https://nips.cc/virtual/2015/poster/5465
6,A Dual Augmented Block Minimization Framework for Learning with Limited Memory,"Ian En-Hsu Yen, Shan-Wei Lin, Shou-De Lin",University of Texas at Austin; National Taiwan University,Poster,https://nips.cc/virtual/2015/poster/5773
7,"A fast, universal algorithm to learn parametric nonlinear embeddings","Miguel A. Carreira-Perpinan, Max Vladymyrov","University of California, Merced; Yahoo",Poster,https://nips.cc/virtual/2015/poster/5475
8,A Framework for Individualizing Predictions of Disease Trajectories by Exploiting Multi-Resolution Structure,"Peter Schulam, Suchi Saria",Johns Hopkins University,Poster,https://nips.cc/virtual/2015/poster/5521
9,A Gaussian Process Model of Quasar Spectral Energy Distributions,"Andrew Miller, Albert Wu, Jeff Regier, Jon McAuliffe, Dustin Lang, Mr. Prabhat, David Schlegel, Ryan P. Adams","Harvard University; University of California, Berkeley; Carnegie Mellon University; Lawrence Berkeley National Laboratory",Poster,https://nips.cc/virtual/2015/poster/5679
10,A Generalization of Submodular Cover via the Diminishing Return Property on the Integer Lattice,"Tasuku Soma, Yuichi Yoshida","University of Tokyo; National Institute of Informatics; Preferred Infrastructure, Inc.",Poster,https://nips.cc/virtual/2015/poster/5530
