Index,Title,Authors,Affiliation,Status,Link
31,A Game Theoretic Analysis of Additive Adversarial Attacks and Defenses,"Ambar Pal, Rene Vidal",Johns Hopkins University,Poster,https://nips.cc/virtual/2020/poster/18205
32,A game-theoretic analysis of networked system control for common-pool resource management using multi-agent reinforcement learning,"Arnu Pretorius, Scott Cameron, Elan van Biljon, Thomas Makkink, Shahil Mawjee, Jeremy du Plessis, Jonathan Shock, Alexandre Laterre, Karim Beguir",InstaDeep; University of Oxford; Stellenbosch University; University of Cape Town; University of the Witwatersrand,Poster,https://nips.cc/virtual/2020/poster/18523
33,A Game-Theoretic Analysis of the Empirical Revenue Maximization Algorithm with Endogenous Sampling,"Xiaotie Deng, Ron Lavi, Tao Lin, Qi Qi, Wenwei WANG, Xiang Yan",Peking University; Technion - Israel Institute of Technology; Hong Kong University of Science and Technology; Alibaba Group; Shanghai Jiao Tong University,Poster,https://nips.cc/virtual/2020/poster/18861
34,A General Large Neighborhood Search Framework for Solving Integer Linear Programs,"Jialin Song, ravi lanka, Yisong Yue, Bistra Dilkina",,Poster,https://nips.cc/virtual/2020/poster/17858
35,A General Method for Robust Learning from Batches,"Ayush Jain, Alon Orlitsky","University of California, San Diego",Poster,https://nips.cc/virtual/2020/poster/18393
36,A Generalized Neural Tangent Kernel Analysis for Two-layer Neural Networks,"Zixiang Chen, Yuan Cao, Quanquan Gu, Tong Zhang","University of California, Los Angeles; Hong Kong University of Science and Technology",Poster,https://nips.cc/virtual/2020/poster/18564
37,A graph similarity for deep learning,Seongmin Ok,,Poster,https://nips.cc/virtual/2020/poster/17109
38,A Group-Theoretic Framework for Data Augmentation,"Shuxiao Chen, Edgar Dobriban, Jane Lee",University of Pennsylvania,Oral,https://nips.cc/virtual/2020/poster/16992
39,A kernel test for quasi-independence,"Tamara Fernandez, Wenkai Xu, Marc Ditzhaus, Arthur Gretton",University College London; TU Dortmund University,Spotlight,https://nips.cc/virtual/2020/poster/17256
40,A Limitation of the PAC-Bayes Framework,"Roi Livni, Shay Moran",Tel-Aviv University; Technion,Poster,https://nips.cc/virtual/2020/poster/18438
41,A Local Temporal Difference Code for Distributional Reinforcement Learning,"Pablo Tano, Peter Dayan, Alexandre Pouget",University of Geneva; Max Planck Institute for Biological Cybernetics,Poster,https://nips.cc/virtual/2020/poster/18766
42,A Loss Function for Generative Neural Networks Based on Watson’s Perceptual Model,"Steffen Czolbe, Oswin Krause, Ingemar Cox, Christian Igel",University of Copenhagen; University College London,Poster,https://nips.cc/virtual/2020/poster/17371
43,A mathematical model for automatic differentiation in machine learning,"Jérôme Bolte, Edouard Pauwels",Toulouse School of Economics; Institut de Recherche en Informatique de Toulouse,Spotlight,https://nips.cc/virtual/2020/poster/17013
44,A mathematical theory of cooperative communication,"Pei Wang, Junqi Wang, Pushpi Paranamana, Patrick Shafto",Rutgers University,Oral,https://nips.cc/virtual/2020/poster/17452
45,A Matrix Chernoff Bound for Markov Chains and Its Application to Co-occurrence Matrices,"Jiezhong Qiu, Chi Wang, Ben Liao, Richard Peng, Jie Tang",Tsinghua University; Microsoft; Tencent; Georgia Institute of Technology,Poster,https://nips.cc/virtual/2020/poster/17036
46,A Maximum-Entropy Approach to Off-Policy Evaluation in Average-Reward MDPs,"Nevena Lazic, Dong Yin, Mehrdad Farajtabar, Nir Levine, Dilan Gorur, Chris Harris, Dale Schuurmans",,Poster,https://nips.cc/virtual/2020/poster/17423
47,A mean-field analysis of two-player zero-sum games,"Carles Domingo-Enrich, Samy Jelassi, Arthur Mensch, Grant Rotskoff, Joan Bruna",New York University; Princeton University; École Normale Supérieure,Poster,https://nips.cc/virtual/2020/poster/17229
48,A Measure-Theoretic Approach to Kernel Conditional Mean Embeddings,"Junhyung Park, Krikamol Muandet",Max Planck Institute for Intelligent Systems,Poster,https://nips.cc/virtual/2020/poster/16840
49,A meta-learning approach to (re)discover plasticity rules that carve a desired function into a neural network,"Basile Confavreux, Friedemann Zenke, Everton Agnes, Timothy Lillicrap, Tim Vogels",Institute of Science and Technology Austria; University of Oxford; Friedrich Miescher Institute; DeepMind,Spotlight,https://nips.cc/virtual/2020/poster/19060
50,A new convergent variant of Q-learning with linear function approximation,"Diogo Carvalho, Francisco S. Melo, Pedro Santos",University of Lisbon,Poster,https://nips.cc/virtual/2020/poster/17057
51,A new inference approach for training shallow and deep generalized linear models of noisy interacting neurons,"Gabriel Mahuas, Giulio Isacchini, Olivier Marre, Ulisse Ferrari, Thierry Mora",École Normale Supérieure; Institute of Science and Technology Austria; Sorbonne Université,Spotlight,https://nips.cc/virtual/2020/poster/18658
52,A Non-Asymptotic Analysis for Stein Variational Gradient Descent,"Anna Korba, Adil Salim, Michael Arbel, Giulia Luise, Arthur Gretton",University College London; King Abdullah University of Science and Technology,Poster,https://nips.cc/virtual/2020/poster/17676
53,A Novel Approach for Constrained Optimization in Graphical Models,"Sara Rouhani, Tahrima Rahman, Vibhav Gogate",University of Texas at Dallas,Poster,https://nips.cc/virtual/2020/poster/18401
54,A Novel Automated Curriculum Strategy to Solve Hard Sokoban Planning Instances,"Dieqiao Feng, Carla P. Gomes, Bart Selman",Cornell University,Poster,https://nips.cc/virtual/2020/poster/18341
55,A novel variational form of the Schatten-$p$ quasi-norm,"Paris Giampouras, Rene Vidal, Athanasios Rontogiannis, Benjamin Haeffele",Johns Hopkins University; National Observatory of Athens,Poster,https://nips.cc/virtual/2020/poster/18676
56,A polynomial-time algorithm for learning nonparametric causal graphs,"Ming Gao, Yi Ding, Bryon Aragam",University of Chicago,Poster,https://nips.cc/virtual/2020/poster/18678
57,"A random matrix analysis of random Fourier features: beyond the Gaussian kernel, a precise phase transition, and the corresponding double descent","Zhenyu Liao, Romain Couillet, Michael W. Mahoney","University of California, Berkeley; University Grenobles-Alpes",Poster,https://nips.cc/virtual/2020/poster/17126
58,A Randomized Algorithm to Reduce the Support of Discrete Measures,"Francesco Cosentino, Harald Oberhauser, Alessandro Abate",University of Oxford; Alan Turing Institute,Spotlight,https://nips.cc/virtual/2020/poster/17608
59,"A Ranking-based, Balanced Loss Function Unifying Classification and Localisation in Object Detection","Kemal Oksuz, Baris Can Cam, Emre Akbas, Sinan Kalkan",Middle East Technical University,Spotlight,https://nips.cc/virtual/2020/poster/16888
60,A Robust Functional EM Algorithm for Incomplete Panel Count Data,"Alexander Moreno, Zhenke Wu, Jamie Roslyn Yap, Cho Lam, David Wetter, Inbal Nahum-Shani, Walter Dempsey, James M. Rehg",Georgia Institute of Technology; University of Michigan; University of Utah,Poster,https://nips.cc/virtual/2020/poster/18738
61,A Scalable Approach for Privacy-Preserving Collaborative Machine Learning,"Jinhyun So, Basak Guler, Salman Avestimehr","University of Southern California; University of California, Riverside",Poster,https://nips.cc/virtual/2020/poster/17503
62,A Scalable MIP-based Method for Learning Optimal Multivariate Decision Trees,"Haoran Zhu, Pavankumar Murali, Dzung Phan, Lam Nguyen, Jayant Kalagnanam",IBM,Poster,https://nips.cc/virtual/2020/poster/17037
63,A Self-Tuning Actor-Critic Algorithm,"Tom Zahavy, Zhongwen Xu, Vivek Veeriah, Matteo Hessel, Junhyuk Oh, Hado P van Hasselt, David Silver, Satinder P. Singh",DeepMind,Poster,https://nips.cc/virtual/2020/poster/17681
64,A shooting formulation of deep learning,"François-Xavier Vialard, Roland Kwitt, Susan Wei, Marc Niethammer",Université Gustave Eiffel; University of Salzburg; University of Melbourne; University of North Carolina at Chapel Hill,Oral,https://nips.cc/virtual/2020/poster/18495
65,A Simple and Efficient Smoothing Method for Faster Optimization and Local Exploration,"Kevin Scaman, Ludovic DOS SANTOS, Merwan Barlier, Igor Colin",,Poster,https://nips.cc/virtual/2020/poster/18822
66,A Simple Language Model for Task-Oriented Dialogue,"Ehsan Hosseini-Asl, Bryan McCann, Chien-Sheng Wu, Semih Yavuz, Richard Socher",Salesforce,Spotlight,https://nips.cc/virtual/2020/poster/18857
67,A simple normative network approximates local non-Hebbian learning in the cortex,"Siavash Golkar, David Lipshutz, Yanis Bahroun, Anirvan Sengupta, Dmitri B. Chklovskii",Flatiron Institute; Rutgers University; New York University,Poster,https://nips.cc/virtual/2020/poster/17787
68,A Single Recipe for Online Submodular Maximization with Adversarial or Stochastic Constraints,"Omid Sadeghi, Prasanna Raut, Maryam Fazel",University of Washington,Spotlight,https://nips.cc/virtual/2020/poster/18985
69,A Single-Loop Smoothed Gradient Descent-Ascent Algorithm for Nonconvex-Concave Min-Max Problems,"Jiawei Zhang, Peijun Xiao, Ruoyu Sun, Zhiquan Luo",Chinese University of Hong Kong; University of Illinois Urbana-Champaign,Poster,https://nips.cc/virtual/2020/poster/18215
70,A Spectral Energy Distance for Parallel Speech Synthesis,"Alexey Gritsenko, Tim Salimans, Rianne van den Berg, Jasper Snoek, Nal Kalchbrenner",Google,Poster,https://nips.cc/virtual/2020/poster/17831
71,A Statistical Framework for Low-bitwidth Training of Deep Neural Networks,"Jianfei Chen, Yu Gai, Zhewei Yao, Michael W. Mahoney, Joseph E Gonzalez","University of California, Berkeley",Poster,https://nips.cc/virtual/2020/poster/18446
72,A Statistical Mechanics Framework for Task-Agnostic Sample Design in Machine Learning,"Bhavya Kailkhura, Jayaraman Thiagarajan, Qunwei Li, Jize Zhang, Yi Zhou, Timo Bremer",Lawrence Livermore National Laboratory; Ant Financial; University of Utah,Poster,https://nips.cc/virtual/2020/poster/17796
