番号,title,status,decision_raw,rating,all_ratings,authors,href
18102,Estimating Transition Matrix with Diffusion Models for Instance-Dependent Label Noise,reject,Reject,2.67,"[3, 2, 3]","Haixin Yang, Ruirui Li, Xiangzhong Fang, Yukun Yang, Naihao Wang",https://openreview.net/forum?id=zeNwOAcb4q
15795,Bridging Geometric States via Geometric Diffusion Bridge,poster,Accept (poster),5.0,"[6, 5, 3, 6]","Shengjie Luo, Yixian Xu, Di He, Shuxin Zheng, Tie-Yan Liu, Liwei Wang",https://openreview.net/forum?id=zcEPOB9rCR
11943,Inference of Neural Dynamics Using Switching Recurrent Neural Networks,poster,Accept (poster),5.0,"[5, 6, 3, 6]","Yongxu Zhang, Shreya Saxena",https://openreview.net/forum?id=zb8jLAh2VN
16332,Mesa-Extrapolation: A Weave Position Encoding Method for Enhanced Extrapolation in LLMs,poster,Accept (poster),5.8,"[5, 8, 4, 6, 6]","Xin Ma, Yang Liu, Jingjing Liu, Xiaoxu Ma",https://openreview.net/forum?id=zaXuMqOAF4
11013,GenRL: Multimodal-foundation world models for generalization in embodied agents,poster,Accept (poster),5.0,"[5, 7, 3, 5]","Pietro Mazzaglia, Tim Verbelen, Bart Dhoedt, Aaron Courville, Sai Rajeswar",https://openreview.net/forum?id=za9Jx8yqUA
5055,Semantic Feature Learning for Universal Unsupervised Cross-Domain Retrieval,poster,Accept (poster),6.0,"[7, 6, 5]","Lixu Wang, Xinyu Du, Qi Zhu",https://openreview.net/forum?id=zZVqZRXSao
18932,Neural Conditional Probability for Uncertainty Quantification,poster,Accept (poster),6.75,"[7, 7, 7, 6]","Vladimir R Kostic, gregoire pacreau, Giacomo Turri, Pietro Novelli, Karim Lounici, Massimiliano Pontil",https://openreview.net/forum?id=zXfhHJnMB2
1553,FLAME : Factuality-Aware Alignment for Large Language Models,poster,Accept (poster),5.25,"[6, 5, 4, 6]","Sheng-Chieh Lin, Luyu Gao, Barlas Oguz, Wenhan Xiong, Jimmy Lin, Wen-tau Yih, Xilun Chen",https://openreview.net/forum?id=zWuHSIALBh
12638,InstructG2I: Synthesizing Images from Multimodal Attributed Graphs,poster,Accept (poster),5.75,"[5, 6, 7, 5]","Bowen Jin, Ziqi Pang, Bingjun Guo, Yu-Xiong Wang, Jiaxuan You, Jiawei Han",https://openreview.net/forum?id=zWnW4zqkuM
2330,"Rethinking No-reference Image Exposure Assessment from Holism to Pixel:  Models, Datasets and Benchmarks",poster,Accept (poster),6.0,"[5, 7, 5, 7]","Shuai He, Shuntian Zheng, Anlong Ming, Banyu Wu, Huadong Ma",https://openreview.net/forum?id=zVrQeoPIoQ
