Index,Title,Authors,Affiliation,Status,Link
2425,568 (23.42%),,45 (1.86%),nips.ccpapers.nips.cc,
1838,403 (21.93%),,15 (0.82%),nips.ccpapers.nips.cc,
1678,411 (24.49%),,20 (1.19%),nips.ccpapers.nips.cc,
1,“Congruent” and “Opposite” Neurons: Sisters for Multisensory Integration and Segregation,"Wen-Hao Zhang, He Wang, K. Y. Michael Wong, Si Wu",Hong Kong University of Science and Technology; Carnegie Mellon University; Beijing Normal University,Poster,https://nips.cc/virtual/2016/poster/7083
2,A Bandit Framework for Strategic Regression,"Yang Liu, Yiling Chen",Harvard University,Poster,https://nips.cc/virtual/2016/poster/7007
3,A Bayesian method for reducing bias in neural representational similarity analysis,"Mingbo Cai, Nicolas W Schuck, Jonathan W Pillow, Yael Niv",Princeton University,Poster,https://nips.cc/virtual/2016/poster/6896
4,A Bio-inspired Redundant Sensing Architecture,"Anh Tuan Nguyen, Jian Xu, Zhi Yang",Department of Biomedical Engineering,Poster,https://nips.cc/virtual/2016/poster/8506
5,A Communication-Efficient Parallel Algorithm for Decision Tree,"Qi Meng, Guolin Ke, Taifeng Wang, Wei Chen, Qiwei Ye, Zhi-Ming Ma, Tie-Yan Liu",Peking University; Microsoft; Chinese Academy of Mathematics and Systems Science,Poster,https://nips.cc/virtual/2016/poster/7252
6,A Comprehensive Linear Speedup Analysis for Asynchronous Stochastic Parallel Optimization from Zeroth-Order to First-Order,"Xiangru Lian, Huan Zhang, Cho-Jui Hsieh, Yijun Huang, Ji Liu","University of Rochester; University of California, Davis",Poster,https://nips.cc/virtual/2016/poster/6993
7,A Consistent Regularization Approach for Structured Prediction,"Carlo Ciliberto, Lorenzo Rosasco, Alessandro Rudi",Istituto Italiano di Tecnologia; Università degli Studi di Genova,Poster,https://nips.cc/virtual/2016/poster/7356
8,A Constant-Factor Bi-Criteria Approximation Guarantee for k-means++,Dennis Wei,IBM,Poster,https://nips.cc/virtual/2016/poster/7057
9,A Credit Assignment Compiler for Joint Prediction,"Kai-Wei Chang, He He, Stephane Ross, Hal Daume III, John Langford",University of Virginia; University of Maryland; Microsoft; Google,Poster,https://nips.cc/virtual/2016/poster/7184
10,A forward model at Purkinje cell synapses facilitates cerebellar anticipatory control,"Ivan Herreros, Xerxes Arsiwalla, Paul Verschure",Universitat Pompeu Fabra; Universitat Pompeu Fabra (UPF),Poster,https://nips.cc/virtual/2016/poster/6894
11,A Locally Adaptive Normal Distribution,"Georgios Arvanitidis, Lars K. Hansen, Søren Hauberg",Technical University of Denmark,Poster,https://nips.cc/virtual/2016/poster/7066
12,A Minimax Approach to Supervised Learning,"Farzan Farnia, David Tse",Stanford University,Poster,https://nips.cc/virtual/2016/poster/7173
13,A Multi-Batch L-BFGS Method for Machine Learning,"Albert S Berahas, Jorge Nocedal, Martin Takac",Northwestern University; Lehigh University,Poster,https://nips.cc/virtual/2016/poster/8504
14,A Multi-step Inertial Forward-Backward Splitting Method for Non-convex Optimization,"Jingwei Liang, Jalal Fadili, Gabriel Peyré",Normandie University; École Normale Supérieure,Poster,https://nips.cc/virtual/2016/poster/7301
15,A Non-convex One-Pass Framework for Generalized Factorization Machine and Rank-One Matrix Sensing,"Ming Lin, Jieping Ye",University of Michigan,Poster,https://nips.cc/virtual/2016/poster/7154
16,A Non-generative Framework and Convex Relaxations for Unsupervised Learning,"Elad Hazan, Tengyu Ma",Princeton University,Poster,https://nips.cc/virtual/2016/poster/6905
17,A Non-parametric Learning Method for Confidently Estimating Patient's Clinical State and Dynamics,"William Hoiles, Mihaela van der Schaar","University of California, Los Angeles",Poster,https://nips.cc/virtual/2016/poster/7152
18,A posteriori error bounds for joint matrix decomposition problems,"Nicolo Colombo, Nikos Vlassis",University College London; Adobe,Poster,https://nips.cc/virtual/2016/poster/8496
19,A Powerful Generative Model Using Random Weights for the Deep Image Representation,"Kun He, Yan Wang, John Hopcroft",Huazhong University of Science and Technology; Cornell University,Poster,https://nips.cc/virtual/2016/poster/8517
20,A primal-dual method for conic constrained distributed optimization problems,"Necdet Serhat Aybat, Erfan Yazdandoost Hamedani",Penn State University,Poster,https://nips.cc/virtual/2016/poster/7142
21,A Probabilistic Framework for Deep Learning,"Ankit B Patel, Minh Tan Nguyen, Richard Baraniuk",,Poster,https://nips.cc/virtual/2016/poster/7285
22,A Probabilistic Model of Social Decision Making based on Reward Maximization,"Koosha Khalvati, Seongmin A. Park, Jean-Claude Dreher, Rajesh P. Rao",University of Washington; CNRS UMR 5229,Poster,https://nips.cc/virtual/2016/poster/6902
