Index,Title,Authors,Affiliation,Status,Link
1,(Almost) No Label No Cry,"Giorgio Patrini, Richard Nock, Paul Rivera, Tiberio Caetano",Australian National University; NICTA; University of New South Wales; Ambiata,Spotlight,https://nips.cc/virtual/2014/poster/4352
2,A Bayesian model for identifying hierarchically organised states in neural population activity,"Patrick Putzky, Florian Franzen, Giacomo Bassetto, Jakob H. Macke",Max Planck Institute for Biological Cybernetics; University of Tübingen; Bernstein Center for Computational Neuroscience,Spotlight,https://nips.cc/virtual/2014/poster/4354
3,A Block-Coordinate Descent Approach for Large-scale Sparse Inverse Covariance Estimation,"Eran Treister, Javier Turek","Technion - Israel Institute of Technology; University of British Columbia; Technion, Israel Institute of Technology",Poster,https://nips.cc/virtual/2014/poster/4477
4,A Boosting Framework on Grounds of Online Learning,"Tofigh Naghibi, Beat Pfister",ETH Zurich,Poster,https://nips.cc/virtual/2014/poster/4478
5,A Complete Variational Tracker,"Ryan Turner, Steven Bottone, Bhargav Avasarala",Northrop Grumman Corporation,Poster,https://nips.cc/virtual/2014/poster/4479
6,A Differential Equation for Modeling Nesterov’s Accelerated Gradient Method: Theory and Insights,"Weijie Su, Stephen Boyd, Emmanuel J. Candès",Stanford University,Spotlight,https://nips.cc/virtual/2014/poster/4356
7,A Drifting-Games Analysis for Online Learning and Applications to Boosting,"Haipeng Luo, Robert E. Schapire",Princeton University; Microsoft,Poster,https://nips.cc/virtual/2014/poster/4480
8,A Dual Algorithm for Olfactory Computation in the Locust Brain,"Sina Tootoonian, Máté Lengyel",University of Cambridge,Poster,https://nips.cc/virtual/2014/poster/4481
9,A Filtering Approach to Stochastic Variational Inference,"Neil M.T. Houlsby, David M. Blei",Google; University of Cambridge; Colombia University,Poster,https://nips.cc/virtual/2014/poster/4482
10,A framework for studying synaptic plasticity with neural spike train data,"Scott W. Linderman, Christopher H. Stock, Ryan P. Adams",Harvard University,Poster,https://nips.cc/virtual/2014/poster/4492
11,A Framework for Testing Identifiability of Bayesian Models of Perception,"Luigi Acerbi, Wei Ji Ma, Sethu Vijayakumar",University of Edinburgh; New York University,Poster,https://nips.cc/virtual/2014/poster/4483
12,A Latent Source Model for Online Collaborative Filtering,"Guy Bresler, George H. Chen, Devavrat Shah",,Spotlight,https://nips.cc/virtual/2014/poster/4358
13,A Multi-World Approach to Question Answering about Real-World Scenes based on Uncertain Input,"Mateusz Malinowski, Mario Fritz",Max Planck Institute for Informatics,Poster,https://nips.cc/virtual/2014/poster/4484
14,A Multiplicative Model for Learning Distributed Text-Based Attribute Representations,"Ryan Kiros, Richard S. Zemel, Ruslan Salakhutdinov",University of Toronto,Poster,https://nips.cc/virtual/2014/poster/4485
15,A Probabilistic Framework for Multimodal Retrieval using Integrative Indian Buffet Process,"Bahadir Ozdemir, Larry S. Davis",University of Maryland,Poster,https://nips.cc/virtual/2014/poster/4486
16,A provable SVD-based algorithm for learning topics in dominant admixture corpus,"Trapit Bansal, C. Bhattacharyya, Ravindran Kannan",Indian Institute of Science; Microsoft,Poster,https://nips.cc/virtual/2014/poster/4493
17,A Representation Theory for Ranking Functions,"Harsh Pareek, Pradeep Ravikumar",University of Texas at Austin,Poster,https://nips.cc/virtual/2014/poster/4487
18,A Residual Bootstrap for High-Dimensional Regression with Near Low-Rank Designs,Miles E. Lopes,"University of California, Berkeley",Spotlight,https://nips.cc/virtual/2014/poster/4458
19,A Safe Screening Rule for Sparse Logistic Regression,"Jie Wang, Jiayu Zhou, Jun Liu, Peter Wonka, Jieping Ye",Arizona State University; SAS Institute,Poster,https://nips.cc/virtual/2014/poster/4488
20,A State-Space Model for Decoding Auditory Attentional Modulation from MEG in a Competing-Speaker Environment,"Sahar Akram, Jonathan Z. Simon, Shihab Shamma, Behtash Babadi","Unknown Institution; University of Maryland, College Park; Institution not specified",Poster,https://nips.cc/virtual/2014/poster/4489
21,A Statistical Decision-Theoretic Framework for Social Choice,"Hossein Azari Soufiani, David C. Parkes, Lirong Xia",Google; Harvard University; Rensselaer Polytechnic Institute,Oral,https://nips.cc/virtual/2014/poster/4314
22,A statistical model for tensor PCA,"Andrea Montanari, Emile Richard",Stanford University,Poster,https://nips.cc/virtual/2014/poster/4494
23,A Synaptical Story of Persistent Activity with Graded Lifetime in a Neural System,"Yuanyuan Mi, Luozheng Li, Dahui Wang, Si Wu",Beijing Normal University,Poster,https://nips.cc/virtual/2014/poster/4490
24,A Unified Semantic Embedding: Relating Taxonomies and Attributes,"Sung Ju Hwang, Leonid Sigal",Disney Research; Ulsan National Institute of Science and Technology,Poster,https://nips.cc/virtual/2014/poster/4491
25,A Wild Bootstrap for Degenerate Kernel Tests,"Kacper Chwialkowski, Dino Sejdinovic, Arthur Gretton",University College London,Oral,https://nips.cc/virtual/2014/poster/4316
26,A* Sampling,"Chris J. Maddison, Daniel Tarlow, Tom Minka",University of Toronto; Microsoft,Oral,https://nips.cc/virtual/2014/poster/4318
27,Accelerated Mini-batch Randomized Block Coordinate Descent Method,"Tuo Zhao, Mo Yu, Yiming Wang, Raman Arora, Han Liu",Johns Hopkins University; Harbin Institute of Technology; Princeton University,Poster,https://nips.cc/virtual/2014/poster/4495
28,Active Learning and Best-Response Dynamics,"Maria-Florina Balcan, Christopher Berlind, Avrim Blum, Emma Cohen, Kaushik Patnaik, Le Song",Carnegie Mellon University; Georgia Institute of Technology,Poster,https://nips.cc/virtual/2014/poster/4496
29,Active Regression by Stratification,"Sivan Sabato, Remi Munos",Ben Gurion University; INRIA; Google,Poster,https://nips.cc/virtual/2014/poster/4497
30,Advances in Learning Bayesian Networks of Bounded Treewidth,"Siqi Nie, Denis D. Mauá, Cassio P. de Campos, Qiang Ji",Rensselaer Polytechnic Institute; University of Sao Paulo; Queen's University Belfast,Spotlight,https://nips.cc/virtual/2014/poster/4360
31,Algorithm selection by rational metareasoning as a model of human strategy selection,"Falk Lieder, Dillon Plunkett, Jessica B. Hamrick, Stuart J. Russell, Nicholas J. Hay, Thomas L. Griffiths","University of California, Berkeley",Poster,https://nips.cc/virtual/2014/poster/4498
32,Algorithms for CVaR Optimization in MDPs,"Yinlam Chow, Mohammad Ghavamzadeh",Stanford University; Adobe; INRIA Lille,Poster,https://nips.cc/virtual/2014/poster/4499
33,Altitude Training: Strong Bounds for Single-Layer Dropout,"Stefan Wager, William Fithian, Sida Wang, Percy Liang",University Affiliation Not Specified; Computer Science,Poster,https://nips.cc/virtual/2014/poster/4500
