番号,title,status,decision_raw,rating,all_ratings,authors,href
17028,DisCO: Reinforcing Large Reasoning Models with Discriminative Constrained Optimization,poster,Accept (poster),5.0,"[5, 5, 5, 5]","Gang Li, Ming Lin, Tomer Galanti, Zhengzhong Tu, Tianbao Yang",https://openreview.net/forum?id=zzUXS4f91r
18605,Private Zeroth-Order Optimization with Public Data,poster,Accept (poster),4.25,"[4, 5, 4, 4]","Xuchen Gong, Tian Li",https://openreview.net/forum?id=zytITzY4IW
23757,GeneFlow: Translation of Single-cell Gene Expression to Histopathological Images via Rectified Flow,poster,Accept (poster),4.67,"[5, 4, 5]","Mengbo Wang, Shourya Verma, Aditya Malusare, Luopin Wang, Yiyang Lu, Vaneet Aggarwal, Mario Sola, Ananth Grama, Nadia Atallah Lanman",https://openreview.net/forum?id=zyopvwZbSj
11237,MultiNet: Adaptive Multi-Viewed Subgraph Convolutional Networks for Graph Classification,poster,Accept (poster),4.75,"[5, 4, 5, 5]","Xinya Qin, Lu Bai, Lixin Cui, Ming Li, Hangyuan Du, Edwin Hancock",https://openreview.net/forum?id=zxfwVts5it
4733,EPA: Boosting Event-based Video Frame Interpolation with Perceptually Aligned Learning,poster,Accept (poster),3.75,"[4, 4, 4, 3]","Yuhan Liu, LingHui Fu, Zhen Yang, Hao Chen, Youfu Li, Yongjian Deng",https://openreview.net/forum?id=zxZPpVoCNO
4240,Novel View Synthesis from A Few Glimpses via Test-Time Natural Video Completion,poster,Accept (poster),4.5,"[4, 4, 5, 5]","Yan Xu, Yixing Wang, Stella X. Yu",https://openreview.net/forum?id=zwmq0MsIMG
5691,SAVVY: Spatial Awareness via Audio-Visual LLMs through Seeing and Hearing,oral,Accept (oral),5.0,"[5, 5, 5, 5]","Mingfei Chen, Zijun Cui, Xiulong Liu, Jinlin Xiang, Caleb Zheng, Jingyuan Li, Eli Shlizerman",https://openreview.net/forum?id=zwCb9cKHpd
6102,Training the Untrainable: Introducing Inductive Bias via Representational Alignment,poster,Accept (poster),4.0,"[4, 3, 5, 4]","Vighnesh Subramaniam, David Mayo, Colin Conwell, Tomaso Poggio, Boris Katz, Brian Cheung, Andrei Barbu",https://openreview.net/forum?id=zvYxXhlQHM
22312,Sparse Meets Dense: Unified Generative Recommendations with Cascaded Sparse-Dense Representations,poster,Accept (poster),4.0,"[4, 4, 4, 4]","Yuhao Yang, Zhi Ji, Zhaopeng Li, YI LI, Zhonglin Mo, Yue Ding, Kai Chen, Zijian Zhang, Jie Li, shuanglong li, LIU LIN",https://openreview.net/forum?id=zugMif2nm6
27174,Uncovering a Universal Abstract Algorithm for Modular Addition in Neural Networks,poster,Accept (poster),4.6,"[5, 5, 4, 5, 4]","Gavin McCracken, Gabriela Moisescu-Pareja, Vincent Létourneau, Doina Precup, Jonathan Love",https://openreview.net/forum?id=zuHs6RHQwT
20538,Mamba Goes HoME: Hierarchical Soft Mixture-of-Experts for 3D Medical Image Segmentation,poster,Accept (poster),4.0,"[4, 4, 4]","Szymon Plotka, Gizem Mert, Maciej Chrabaszcz, Ewa Szczurek, Arkadiusz Sitek",https://openreview.net/forum?id=ztgYn0Uk94
8034,HAIF-GS: Hierarchical and Induced Flow-Guided Gaussian Splatting for Dynamic Scene,poster,Accept (poster),3.75,"[4, 4, 4, 3]","Jianing Chen, Zehao Li, Yujun Cai, Hao Jiang, Chengxuan Qian, Juyuan Kang, Shuqin Gao, Honglong Zhao, Tianlu Mao, Yucheng Zhang",https://openreview.net/forum?id=ztVk8XNffY
23348,Know Thyself by Knowing Others: Learning Neuron Identity from Population Context,poster,Accept (poster),4.75,"[5, 4, 5, 5]","Vinam Arora, Divyansha Lachi, Ian Jarratt Knight, Mehdi Azabou, Blake Aaron Richards, Cole Lincoln Hurwitz, Josh Siegle, Eva L Dyer",https://openreview.net/forum?id=zt3RKc6VBp
18137,RAST: Reasoning Activation in LLMs via Small-model Transfer,poster,Accept (poster),4.0,"[4, 5, 5, 2, 4]","Siru Ouyang, Xinyu Zhu, Zilin Xiao, Minhao Jiang, Yu Meng, Jiawei Han",https://openreview.net/forum?id=zswylB4Wnt
10702,Scalable and Cost-Efficient de Novo Template-Based Molecular Generation,poster,Accept (poster),4.0,"[5, 4, 3, 4, 4]","Piotr Gaiński, Oussama Boussif, Andrei Rekesh, Dmytro Shevchuk, Ali Parviz, Mike Tyers, Robert A. Batey, Michał Koziarski",https://openreview.net/forum?id=zssWxiiJZ1
12273,Accelerating Feature Conformal Prediction via Taylor Approximation,poster,Accept (poster),4.0,"[4, 4, 4, 4]","Zihao Tang, Boyuan Wang, Chuan Wen, Jiaye Teng",https://openreview.net/forum?id=zsUOQRUFOy
238,PhySwin: An Efficient and Physically-Informed Foundation Model for Multispectral Earth Observation,poster,Accept (poster),4.75,"[4, 5, 5, 5]","Chong Tang, Joseph Powell, Dirk Koch, Robert D. Mullins, Alex S. Weddell, Jagmohan Chauhan",https://openreview.net/forum?id=zrBucj9BwG
9467,CURE: Concept Unlearning via Orthogonal Representation Editing in Diffusion Models,spotlight,Accept (spotlight),5.0,"[5, 5, 5, 5]","Shristi Das Biswas, Arani Roy, Kaushik Roy",https://openreview.net/forum?id=zprMrpiLgT
16172,Implicit-ARAP: Efficient Handle-Guided Neural Field Deformation via Local Patch Meshing,poster,Accept (poster),4.5,"[4, 5, 5, 4]","Daniele Baieri, Filippo Maggioli, Emanuele Rodolà, Simone Melzi, Zorah Lähner",https://openreview.net/forum?id=zp7W2QmxHS
9445,Robust Integrated Learning and Pauli Noise Mitigation for Parametrized Quantum Circuits,poster,Accept (poster),4.0,"[4, 4, 4, 4]","Md Mobasshir Arshed Naved, Wenbo Xie, Wojciech Szpankowski, Ananth Grama",https://openreview.net/forum?id=zoNpnBlJWh
13249,Analog Foundation Models,poster,Accept (poster),4.25,"[5, 5, 4, 3]","Julian Büchel, Iason Chalas, Giovanni Acampa, An Chen, Omobayode Fagbohungbe, Hsinyu Tsai, Kaoutar El Maghraoui, Manuel Le Gallo, Abbas Rahimi, Abu Sebastian",https://openreview.net/forum?id=zo4zYTR8vn
19852,From Synapses to Dynamics: Obtaining Function from Structure in a Connectome Constrained Model of the Head Direction Circuit,poster,Accept (poster),4.25,"[5, 3, 4, 5]","Sunny Duan, Ling Liang Dong, Ila R Fiete",https://openreview.net/forum?id=zn4F6os6cq
28260,Stepwise Feature Learning in Self-Supervised Learning,reject,Reject,3.5,"[4, 4, 4, 2]","Juhwan Kim, Sungyoon Lee",https://openreview.net/forum?id=zmlhP8myaT
16534,Plug-and-play Feature Causality Decomposition for Multimodal Representation Learning,poster,Accept (poster),4.0,"[4, 4, 4, 4]","Ye Liu, Zihan Ji, Hongmin Cai",https://openreview.net/forum?id=zmCBCbr2Wj
10076,A Privacy-Preserving and Unified Federated Learning Framework for Trajectory Data Preparation,reject,Reject,3.5,"[3, 4, 3, 4]","Zhihao Zeng, Ziquan Fang, Wei Shao, Lu Chen, Yunjun Gao",https://openreview.net/forum?id=zm4FKB6DYh
26621,Towards Syn-to-Real IQA: A Novel Perspective on Reshaping Synthetic Data Distributions,poster,Accept (poster),4.2,"[4, 4, 3, 5, 5]","Aobo Li, Jinjian Wu, Yongxu Liu, Leida Li, Weisheng Dong",https://openreview.net/forum?id=zlRvBwWFII
14900,Causality Meets the Table: Debiasing LLMs for Faithful TableQA via Front-Door Intervention,poster,Accept (poster),4.25,"[4, 4, 4, 5]","Zhen Yang, Ziwei Du, Minghan Zhang, Wei Du, Jie Chen, Fulan Qian, Shu Zhao",https://openreview.net/forum?id=zlMupLoKRf
17852,Learning Cocoercive Conservative Denoisers via Helmholtz Decomposition for Poisson Imaging Inverse Problems,poster,Accept (poster),4.5,"[5, 5, 4, 4]","Deliang Wei, Peng Chen, Haobo Xu, Jiale Yao, Fang Li, Tieyong Zeng",https://openreview.net/forum?id=zl4FR39Ibh
1344,TAMI: Taming Heterogeneity in Temporal Interactions for Temporal Graph Link Prediction,poster,Accept (poster),4.5,"[4, 4, 5, 5]","Zhongyi Yu, Jianqiu Wu, Zhenghao Wu, Shuhan Zhong, Weifeng Su, Chul-Ho Lee, Weipeng Zhuo",https://openreview.net/forum?id=zjQLUiguRz
