Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL,CVF URL,Arxiv URL
1,100+ Times Faster Weighted Median Filter (WMF),,Qi Zhang;Li Xu;Jiaya Jia;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2014/html/Zhang_100_Times_Faster_2014_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2014/papers/Zhang_100_Times_Faster_2014_CVPR_paper.pdf,,
2,2D Human Pose Estimation: New Benchmark and State of the Art Analysis,,Mykhaylo Andriluka;Leonid Pishchulin;Peter Gehler;Bernt Schiele;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2014/html/Andriluka_2D_Human_Pose_2014_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2014/papers/Andriluka_2D_Human_Pose_2014_CVPR_paper.pdf,,
3,3D Modeling from Wide Baseline Range Scans using Contour Coherence,,Ruizhe Wang;Jongmoo Choi;Gerard Medioni;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2014/html/Wang_3D_Modeling_from_2014_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2014/papers/Wang_3D_Modeling_from_2014_CVPR_paper.pdf,,
4,3D Pictorial Structures for Multiple Human Pose Estimation,,Vasileios Belagiannis;Sikandar Amin;Mykhaylo Andriluka;Bernt Schiele;Nassir Navab;Slobodan Ilic;,Technische Universität München;Max Planck Institute for Informatics;,Germany;,Poster,https://openaccess.thecvf.com/content_cvpr_2014/html/Belagiannis_3D_Pictorial_Structures_2014_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2014/papers/Belagiannis_3D_Pictorial_Structures_2014_CVPR_paper.pdf,,
5,3D Pose from Motion for Cross-view Action Recognition via Non-linear Circulant Temporal Encoding,,Ankur Gupta;Julieta Martinez;James J. Little;Robert J. Woodham;,University of British Columbia;,Canada;,Poster,https://openaccess.thecvf.com/content_cvpr_2014/html/Gupta_3D_Pose_from_2014_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2014/papers/Gupta_3D_Pose_from_2014_CVPR_paper.pdf,,
6,3D Reconstruction from Accidental Motion,,Fisher Yu;David Gallup;,Princeton University;Google;,United States;,Poster,https://openaccess.thecvf.com/content_cvpr_2014/html/Yu_3D_Reconstruction_from_2014_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2014/papers/Yu_3D_Reconstruction_from_2014_CVPR_paper.pdf,,
7,3D Shape and Indirect Appearance by Structured Light Transport,,Matthew O'Toole;John Mather;Kiriakos N. Kutulakos;,University of Toronto;,Canada;,Poster,https://openaccess.thecvf.com/content_cvpr_2014/html/OToole_3D_Shape_and_2014_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2014/papers/OToole_3D_Shape_and_2014_CVPR_paper.pdf,,
8,3D-aided Face Recognition Robust to Expression and Pose Variations,,Baptiste Chu;Sami Romdhani;Liming Chen;,Safran Group;Université de Lyon;,France;,Poster,https://openaccess.thecvf.com/content_cvpr_2014/html/Chu_3D-aided_Face_Recognition_2014_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2014/papers/Chu_3D-aided_Face_Recognition_2014_CVPR_paper.pdf,,
9,6 Seconds of Sound and Vision: Creativity in Micro-Videos,,Miriam Redi;Neil O'Hare;Rossano Schifanella;Michele Trevisiol;Alejandro Jaimes;,Yahoo;University of Turin;Universitat Pompeu Fabra;,Spain;Italy;,Poster,https://openaccess.thecvf.com/content_cvpr_2014/html/Redi_6_Seconds_of_2014_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2014/papers/Redi_6_Seconds_of_2014_CVPR_paper.pdf,,
10,A Bayesian Framework For the Local Configuration of Retinal Junctions,,Touseef Ahmad Qureshi;Andrew Hunter;Bashir Al-Diri;,University of Lincoln;,United Kingdom;,Poster,https://openaccess.thecvf.com/content_cvpr_2014/html/Qureshi_A_Bayesian_Framework_2014_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2014/papers/Qureshi_A_Bayesian_Framework_2014_CVPR_paper.pdf,,
11,A Cause and Effect Analysis of Motion Trajectories for Modeling Actions,,Sanath Narayan;Kalpathi R. Ramakrishnan;,Indian Institute of Science;,India;,Poster,https://openaccess.thecvf.com/content_cvpr_2014/html/Narayan_A_Cause_and_2014_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2014/papers/Narayan_A_Cause_and_2014_CVPR_paper.pdf,,
12,A Compact and Discriminative Face Track Descriptor,,Omkar M. Parkhi;Karen Simonyan;Andrea Vedaldi;Andrew Zisserman;,University of Oxford;,United Kingdom;,Poster,https://openaccess.thecvf.com/content_cvpr_2014/html/Parkhi_A_Compact_and_2014_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2014/papers/Parkhi_A_Compact_and_2014_CVPR_paper.pdf,,
13,A Compositional Model for Low-Dimensional Image Set Representation,,Hossein Mobahi;Ce Liu;William T. Freeman;,Massachusetts Institute of Technology;Microsoft;,United States;,Poster,https://openaccess.thecvf.com/content_cvpr_2014/html/Mobahi_A_Compositional_Model_2014_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2014/papers/Mobahi_A_Compositional_Model_2014_CVPR_paper.pdf,,
14,A Convex Relaxation of the Ambrosio--Tortorelli Elliptic Functionals for the Mumford-Shah Functional,,Youngwook Kee;Junmo Kim;,Korea Advanced Institute of Science and Technology;,South Korea;,Poster,https://openaccess.thecvf.com/content_cvpr_2014/html/Kee_A_Convex_Relaxation_2014_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2014/papers/Kee_A_Convex_Relaxation_2014_CVPR_paper.pdf,,
15,A Fast and Robust Algorithm to Count Topologically Persistent Holes in Noisy Clouds,,Vitaliy Kurlin;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2014/html/Kurlin_A_Fast_and_2014_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2014/papers/Kurlin_A_Fast_and_2014_CVPR_paper.pdf,,
16,A General and Simple Method for Camera Pose and Focal Length Determination,,Yinqiang Zheng;Shigeki Sugimoto;Imari Sato;Masatoshi Okutomi;,National Institute of Informatics;Tokyo Institute of Technology;,Japan;,Poster,https://openaccess.thecvf.com/content_cvpr_2014/html/Zheng_A_General_and_2014_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2014/papers/Zheng_A_General_and_2014_CVPR_paper.pdf,,
