Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL,CVF URL,Arxiv URL
142,Efficient Computation of Shortest Path-Concavity for 3D Meshes,,Henrik Zimmer;Marcel Campen;Leif Kobbelt;,RWTH Aachen University;,Germany;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Zimmer_Efficient_Computation_of_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Zimmer_Efficient_Computation_of_2013_CVPR_paper.pdf,,
143,Efficient Detector Adaptation for Object Detection in a Video,,Pramod Sharma;Ram Nevatia;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Sharma_Efficient_Detector_Adaptation_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Sharma_Efficient_Detector_Adaptation_2013_CVPR_paper.pdf,,
144,Efficient Large-Scale Structured Learning,,Steve Branson;Oscar Beijbom;Serge Belongie;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Branson_Efficient_Large-Scale_Structured_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Branson_Efficient_Large-Scale_Structured_2013_CVPR_paper.pdf,,
145,Efficient Maximum Appearance Search for Large-Scale Object Detection,,Qiang Chen;Zheng Song;Rogerio Feris;Ankur Datta;Liangliang Cao;Zhongyang Huang;Shuicheng Yan;,National University of Singapore;IBM;Panasonic Singapore Laboratories;,Singapore;United States;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Chen_Efficient_Maximum_Appearance_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Chen_Efficient_Maximum_Appearance_2013_CVPR_paper.pdf,,
146,Efficient Object Detection and Segmentation for Fine-Grained Recognition,,Anelia Angelova;Shenghuo Zhu;,NEC Labs America;,United States;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Angelova_Efficient_Object_Detection_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Angelova_Efficient_Object_Detection_2013_CVPR_paper.pdf,,
147,Enriching Texture Analysis with Semantic Data,,Tim Matthews;Mark S. Nixon;Mahesan Niranjan;,University of Southampton;,United Kingdom;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Matthews_Enriching_Texture_Analysis_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Matthews_Enriching_Texture_Analysis_2013_CVPR_paper.pdf,,
148,Ensemble Learning for Confidence Measures in Stereo Vision,,Ralf Haeusler;Rahul Nair;Daniel Kondermann;,University of Auckland;University of Heidelberg;,New Zealand;Germany;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Haeusler_Ensemble_Learning_for_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Haeusler_Ensemble_Learning_for_2013_CVPR_paper.pdf,,
149,Ensemble Video Object Cut in Highly Dynamic Scenes,,Xiaobo Ren;Tony X. Han;Zhihai He;,University of Missouri;,United States;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Ren_Ensemble_Video_Object_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Ren_Ensemble_Video_Object_2013_CVPR_paper.pdf,,
150,Evaluation of Color STIPs for Human Action Recognition,,Ivo Everts;Jan C. van Gemert;Theo Gevers;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Everts_Evaluation_of_Color_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Everts_Evaluation_of_Color_2013_CVPR_paper.pdf,,
151,Event Recognition in Videos by Learning from Heterogeneous Web Sources,,Lin Chen;Lixin Duan;Dong Xu;,Nanyang Technological University;SAP Research;,Singapore;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Chen_Event_Recognition_in_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Chen_Event_Recognition_in_2013_CVPR_paper.pdf,,
