Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL
1,Align-Pro: A Principled Approach to Prompt Optimization for LLM Alignment,ai alignment,Prashant Trivedi;Souradip Chakraborty;Avinash Reddy;Vaneet Aggarwal;Amrit Singh Bedi;George K. Atia;,University of Central Florida;University of Maryland;Purdue University;,United States;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/34979,https://ojs.aaai.org/index.php/AAAI/article/view/34979/37134
2,Aligning Large Language Models for Faithful Integrity Against Opposing Argument,ai alignment,Yong Zhao;Yang Deng;See-Kiong Ng;Tat-Seng Chua;,Singapore Management University;National University of Singapore;,Singapore;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/34990,https://ojs.aaai.org/index.php/AAAI/article/view/34990/37145
3,Bias Unveiled: Investigating Social Bias in LLM-Generated Code,ai alignment,Lin Ling;Fazle Rabbi;Song Wang;Jinqiu Yang;,Concordia University;York University;,Canada;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/34961,https://ojs.aaai.org/index.php/AAAI/article/view/34961/37116
4,Bridging the Knowledge Gap: Understanding User Expectations for Trustworthy LLM Standards,ai alignment,Michaela Benk;Léane Wettstein;Nadine Schlicker;Florian von Wangenheim;Nicolas Scharowski;,ETH Zurich;Mobiliar;University of Basel;Philipps-Universität Marburg;,Switzerland;Germany;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/34928,https://ojs.aaai.org/index.php/AAAI/article/view/34928/37083
5,CALM: Curiosity-Driven Auditing for Large Language Models,ai alignment,Xiang Zheng;Longxiang Wang;Yi Liu;Xingjun Ma;Chao Shen;Cong Wang;,City University of Hong Kong;Fudan University;Xi'an Jiao Tong University;,China;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/34991,https://ojs.aaai.org/index.php/AAAI/article/view/34991/37146
6,Can Go AIs Be Adversarially Robust?,ai alignment,Tom Tseng;Euan McLean;Kellin Pelrine;Tony Tong Wang;Adam Gleave;,FAR.AI;Mila;Massachusetts Institute of Technology;,United States;Canada;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/34980,https://ojs.aaai.org/index.php/AAAI/article/view/34980/37135
7,ChatBug: A Common Vulnerability of Aligned LLMs Induced by Chat Templates,ai alignment,Fengqing Jiang;Zhangchen Xu;Luyao Niu;Bill Yuchen Lin;Radha Poovendran;,University of Washington;,United States;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/34945,https://ojs.aaai.org/index.php/AAAI/article/view/34945/37100
8,Data with High and Consistent Preference Difference Are Better for Reward Model,ai alignment,Qi Lin;Hengtong Lu;Caixia Yuan;Xiaojie Wang;Huixing Jiang;Wei Chen;,Beijing University of Posts and Telecommunications;Li Auto Inc.;,China;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/34960,https://ojs.aaai.org/index.php/AAAI/article/view/34960/37115
9,Debate Helps Weak-to-Strong Generalization,ai alignment,Hao Lang;Fei Huang;Yongbin Li;,Tongyi Lab;,,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/34952,https://ojs.aaai.org/index.php/AAAI/article/view/34952/37107
10,Do Transformer Interpretability Methods Transfer to RNNs?,ai alignment,Gonçalo Paulo;Thomas Marshall;Nora Belrose;,EleutherAI;,United States;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/34969,https://ojs.aaai.org/index.php/AAAI/article/view/34969/37124
