Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL
899,ShapeNet: A Shapelet-Neural Network Approach for Multivariate Time Series Classification,Machine Learning II,Guozhong Li;Byron Choi;Jianliang Xu;Sourav S Bhowmick;Kwok-Pan Chun;Grace Lai-Hung Wong;,Hong Kong Baptist University;Nanyang Technological University;Chinese University of Hong Kong;,China;Singapore;,Technical,https://aaai.org/papers/08375-shapenet-a-shapelet-neural-network-approach-for-multivariate-time-series-classification/,https://cdn.aaai.org/ojs/17018/17018-13-20512-1-2-20210518.pdf
900,"Show, Attend and Distill: Knowledge Distillation via Attention-based Feature Matching",Machine Learning II,Mingi Ji;Byeongho Heo;Sungrae Park;,Korea Advanced Institute of Science and Technology;NAVER AI Lab;CLOV A AI Research;,South Korea;,Technical,https://aaai.org/papers/07945-show-attend-and-distill-knowledge-distillation-via-attention-based-feature-matching/,https://cdn.aaai.org/ojs/16969/16969-13-20463-1-2-20210518.pdf
901,Slimmable Generative Adversarial Networks,Machine Learning II,Liang Hou;Zehuan Yuan;Lei Huang;Huawei Shen;Xueqi Cheng;Changhu Wang;,Chinese Academy of Sciences;University of Chinese Academy of Sciences;ByteDance;Beihang University;,China;,Technical,https://aaai.org/papers/07746-slimmable-generative-adversarial-networks/,https://cdn.aaai.org/ojs/16946/16946-13-20440-1-2-20210518.pdf
902,Sparsity Aware Normalization for GANs,Machine Learning II,Idan Kligvasser;Tomer Michaeli;,Technion–Israel Institute of Technology;,Israel;,Technical,https://aaai.org/papers/08181-sparsity-aware-normalization-for-gans/,https://cdn.aaai.org/ojs/16996/16996-13-20490-1-2-20210518.pdf
903,Split-and-Bridge: Adaptable Class Incremental Learning within a Single Neural Network,Machine Learning II,Jong-Yeong Kim;Dong-Wan Choi;,Inha University;,South Korea;,Technical,https://aaai.org/papers/08137-split-and-bridge-adaptable-class-incremental-learning-within-a-single-neural-network/,https://cdn.aaai.org/ojs/16991/16991-13-20485-1-2-20210518.pdf
904,Stabilizing Q Learning Via Soft Mellowmax Operator,Machine Learning II,Yaozhong Gan;Zhe Zhang;Xiaoyang Tan;,Nanjing University of Aeronautics and Astronautics;,China;,Technical,https://aaai.org/papers/07501-stabilizing-q-learning-via-soft-mellowmax-operator/,https://cdn.aaai.org/ojs/16919/16919-13-20413-1-2-20210518.pdf
905,Storage Fit Learning with Feature Evolvable Streams,Machine Learning II,Bo-Jian Hou;Yu-Hu Yan;Peng Zhao;Zhi-Hua Zhou;,Nanjing University;,China;,Technical,https://aaai.org/papers/07729-storage-fit-learning-with-feature-evolvable-streams/,https://cdn.aaai.org/ojs/16944/16944-13-20438-1-2-20210518.pdf
906,Temporal-Logic-Based Reward Shaping for Continuing Reinforcement Learning Tasks,Machine Learning II,Yuqian Jiang;Suda Bharadwaj;Bo Wu;Rishi Shah;Ufuk Topcu;Peter Stone;,University of Texas at Austin;Amazon;Sony;,United States;Japan;,Technical,https://aaai.org/papers/07995-temporal-logic-based-reward-shaping-for-continuing-reinforcement-learning-tasks/,https://cdn.aaai.org/ojs/16975/16975-13-20469-1-2-20210518.pdf
907,The Importance of Modeling Data Missingness in Algorithmic Fairness: A Causal Perspective,Machine Learning II,Naman Goel;Alfonso Amayuelas;Amit Deshpande;Amit Sharma;,ETH Zurich;EPFL;Microsoft;,Switzerland;United States;,Technical,https://aaai.org/papers/07564-the-importance-of-modeling-data-missingness-in-algorithmic-fairness-a-causal-perspective/,https://cdn.aaai.org/ojs/16926/16926-13-20420-1-2-20210518.pdf
908,Token-Aware Virtual Adversarial Training in Natural Language Understanding,Machine Learning II,Linyang Li;Xipeng Qiu;,Fudan University;,China;,Technical,https://aaai.org/papers/08410-token-aware-virtual-adversarial-training-in-natural-language-understanding/,https://cdn.aaai.org/ojs/17022/17022-13-20516-1-2-20210518.pdf
