Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL
1,Backprop-Free Reinforcement Learning with Active Neural Generative Coding,Cognitive Modeling & Cognitive Systems,Alexander G. Ororbia;Ankur Mali;,Rochester Institute of Technology;Pennsylvania State University;,United States;,Technical,https://aaai.org/papers/00029-backprop-free-reinforcement-learning-with-active-neural-generative-coding/,https://cdn.aaai.org/ojs/19876/19876-13-23889-1-2-20220628.pdf
2,Bridging between Cognitive Processing Signals and Linguistic Features via a Unified Attentional Network,Cognitive Modeling & Cognitive Systems,Yuqi Ren;Deyi Xiong;,Tianjin University;,China;,Technical,https://aaai.org/papers/00049-bridging-between-cognitive-processing-signals-and-linguistic-features-via-a-unified-attentional-network/,https://cdn.aaai.org/ojs/19878/19878-13-23891-1-2-20220628.pdf
3,Learning Unseen Emotions from Gestures via Semantically-Conditioned Zero-Shot Perception with Adversarial Autoencoders,Cognitive Modeling & Cognitive Systems,Abhishek Banerjee;Uttaran Bhattacharya;Aniket Bera;,University of Maryland;,United States;,Technical,https://aaai.org/papers/00003-learning-unseen-emotions-from-gestures-via-semantically-conditioned-zero-shot-perception-with-adversarial-autoencoders/,https://cdn.aaai.org/ojs/19873/19873-13-23886-1-2-20220628.pdf
4,Multi-Sacle Dynamic Coding Improved Spiking Actor Network for Reinforcement Learning,Cognitive Modeling & Cognitive Systems,Duzhen Zhang;Tielin Zhang;Shuncheng Jia;Bo Xu;,Chinese Academy of Sciences;University of Chinese Academy of Sciences;,China;,Technical,https://aaai.org/papers/00059-multi-sacle-dynamic-coding-improved-spiking-actor-network-for-reinforcement-learning/,https://cdn.aaai.org/ojs/19879/19879-13-23892-1-2-20220628.pdf
5,Optimized Potential Initialization for Low-Latency Spiking Neural Networks,Cognitive Modeling & Cognitive Systems,Tong Bu;Jianhao Ding;Zhaofei Yu;Tiejun Huang;,Peking University;,China;,Technical,https://aaai.org/papers/00011-optimized-potential-initialization-for-low-latency-spiking-neural-networks/,https://cdn.aaai.org/ojs/19874/19874-13-23887-1-2-20220628.pdf
6,Planning with Biological Neurons and Synapses,Cognitive Modeling & Cognitive Systems,Francesco d'Amore;Daniel Mitropolsky;Pierluigi Crescenzi;Emanuele Natale;Christos H. Papadimitriou;,Université Côte d’Azur;Columbia University;Gran Sasso Science Institute;,France;United States;Italy;,Technical,https://aaai.org/papers/00021-planning-with-biological-neurons-and-synapses/,https://cdn.aaai.org/ojs/19875/19875-13-23888-1-2-20220628.pdf
7,VECA: A New Benchmark and Toolkit for General Cognitive Development,Cognitive Modeling & Cognitive Systems,Kwanyoung Park;Hyunseok Oh;Youngki Lee;,Seoul National University;,South Korea;,Technical,https://aaai.org/papers/00038-veca-a-new-benchmark-and-toolkit-for-general-cognitive-development/,https://cdn.aaai.org/ojs/19877/19877-13-23890-1-2-20220628.pdf
8,(2.5+1)D Spatio-Temporal Scene Graphs for Video Question Answering,Computer Vision I,Anoop Cherian;Chiori Hori;Tim K. Marks;Jonathan Le Roux;,Mitsubishi Electric Research Labs;,United States;,Technical,https://aaai.org/papers/00444-2-5-1-d-spatio-temporal-scene-graphs-for-video-question-answering/,https://cdn.aaai.org/ojs/19922/19922-13-23935-1-2-20220628.pdf
9,A Random CNN Sees Objects: One Inductive Bias of CNN and Its Applications,Computer Vision I,Yun-Hao Cao;Jianxin Wu;,Nanjing University;,China;,Technical,https://aaai.org/papers/00194-a-random-cnn-sees-objects-one-inductive-bias-of-cnn-and-its-applications/,https://cdn.aaai.org/ojs/19894/19894-13-23907-1-2-20220628.pdf
10,Adaptive Image-to-Video Scene Graph Generation via Knowledge Reasoning and Adversarial Learning,Computer Vision I,Jin Chen;Xiaofeng Ji;Xinxiao Wu;,Beijing Laboratory of Intelligent Information Technology;Beijing Institute of Technology;,China;,Technical,https://aaai.org/papers/00276-adaptive-image-to-video-scene-graph-generation-via-knowledge-reasoning-and-adversarial-learning/,https://cdn.aaai.org/ojs/19903/19903-13-23916-1-2-20220628.pdf
11,ADD: Frequency Attention and Multi-View Based Knowledge Distillation to Detect Low-Quality Compressed Deepfake Images,Computer Vision I,Le  Minh Binh;Simon Woo;,Sungkyunkwan University;,South Korea;,Technical,https://aaai.org/papers/00122-add-frequency-attention-and-multi-view-based-knowledge-distillation-to-detect-low-quality-compressed-deepfake-images/,https://cdn.aaai.org/ojs/19886/19886-13-23899-1-2-20220628.pdf
12,Adversarial Robustness in Multi-Task Learning: Promises and Illusions,Computer Vision I,Salah Ghamizi;Maxime Cordy;Mike Papadakis;Yves Le Traon;,University of Luxembourg;,Luxembourg;,Technical,https://aaai.org/papers/00697-adversarial-robustness-in-multi-task-learning-promises-and-illusions/,https://cdn.aaai.org/ojs/19950/19950-13-23963-1-2-20220628.pdf
13,AFDetV2: Rethinking the Necessity of the Second Stage for Object Detection from Point Clouds,Computer Vision I,Yihan Hu;Zhuangzhuang Ding;Runzhou Ge;Wenxin Shao;Li Huang;Kun Li;Qiang Liu;,Horizon Robotics;,China;,Technical,https://aaai.org/papers/00969-afdetv2-rethinking-the-necessity-of-the-second-stage-for-object-detection-from-point-clouds/,https://cdn.aaai.org/ojs/19980/19980-13-23993-1-2-20220628.pdf
14,An Unsupervised Way to Understand Artifact Generating Internal Units in Generative Neural Networks,Computer Vision I,Haedong Jeong;Jiyeon Han;Jaesik Choi;,Ulsan National Institute of Science and Technology;Korea Advanced Institute of Science and Technology;INEEJI;,South Korea;,Technical,https://aaai.org/papers/01052-an-unsupervised-way-to-understand-artifact-generating-internal-units-in-generative-neural-networks/,https://cdn.aaai.org/ojs/19989/19989-13-24002-1-2-20220628.pdf
15,Assessing a Single Image in Reference-Guided Image Synthesis,Computer Vision I,Jiayi Guo;Chaoqun Du;Jiangshan Wang;Huijuan Huang;Pengfei Wan;Gao Huang;,Tsinghua University;Beijing University of Posts and Telecommunications;Kuaishou Technology;Beijing Academy of Artificial Intelligence;,China;,Technical,https://aaai.org/papers/00753-assessing-a-single-image-in-reference-guided-image-synthesis/,https://cdn.aaai.org/ojs/19956/19956-13-23969-1-2-20220628.pdf
16,Attacking Video Recognition Models with Bullet-Screen Comments,Computer Vision I,Kai Chen;Zhipeng Wei;Jingjing Chen;Zuxuan Wu;Yu-Gang Jiang;,Fudan University;Shanghai Collaborative Innovation Center on Intelligent Visual Computing;,China;,Technical,https://aaai.org/papers/00312-attacking-video-recognition-models-with-bullet-screen-comments/,https://cdn.aaai.org/ojs/19907/19907-13-23920-1-2-20220628.pdf
17,Attention-Aligned Transformer for Image Captioning,Computer Vision I,Zhengcong Fei;,Chinese Academy of Sciences;University of Chinese Academy of Sciences;,China;,Technical,https://aaai.org/papers/00607-attention-aligned-transformer-for-image-captioning/,https://cdn.aaai.org/ojs/19940/19940-13-23953-1-2-20220628.pdf
18,Backdoor Attacks on the DNN Interpretation System,Computer Vision I,Shihong Fang;Anna Choromanska;,New York University Tandon School of Engineering;,United States;,Technical,https://aaai.org/papers/00561-backdoor-attacks-on-the-dnn-interpretation-system/,https://cdn.aaai.org/ojs/19935/19935-13-23948-1-2-20220628.pdf
19,Bi-volution: A Static and Dynamic Coupled Filter,Computer Vision I,Xiwei Hu;Xuanhong Chen;Bingbing Ni;Teng Li;Yutian Liu;,Shanghai Jiao Tong University;Anhui University;,China;,Technical,https://aaai.org/papers/00960-bi-volution-a-static-and-dynamic-coupled-filter/,https://cdn.aaai.org/ojs/19979/19979-13-23992-1-2-20220628.pdf
20,Causal Intervention for Subject-Deconfounded Facial Action Unit Recognition,Computer Vision I,Yingjie Chen;Diqi Chen;Tao Wang;Yizhou Wang;Yun Liang;,Peking University;,China;,Technical,https://aaai.org/papers/00374-causal-intervention-for-subject-deconfounded-facial-action-unit-recognition/,https://cdn.aaai.org/ojs/19914/19914-13-23927-1-2-20220628.pdf
