Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL
1,A Bayesian Spatial Model to Correct Under-Reporting in Urban Crowdsourcing,ai for social impact track,Gabriel Agostini;Emma Pierson;Nikhil Garg;,Cornell University;,United States;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/30190,https://ojs.aaai.org/index.php/AAAI/article/view/30190/32112
2,Active Reinforcement Learning for Robust Building Control,ai for social impact track,Doseok Jang;Larry Yan;Lucas Spangher;Costas J. Spanos;,"University of California, Berkeley;",United States;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/30219,https://ojs.aaai.org/index.php/AAAI/article/view/30219/32168
3,Adversarial Fairness Network,ai for social impact track,Taeuk Jang;Xiaoqian Wang;Heng Huang;,"Purdue University;University of Maryland, College Park;",United States;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/30220,https://ojs.aaai.org/index.php/AAAI/article/view/30220/32170
4,AI-Based Energy Transportation Safety: Pipeline Radial Threat Estimation Using Intelligent Sensing System,ai for social impact track,Chengyuan Zhu;Yiyuan Yang;Kaixiang Yang;Haifeng Zhang;Qinmin Yang;C. L. Philip Chen;,Zhejiang University;University of Oxford;South China University of Technology;Tsinghua University;,China;United Kingdom;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/30264,https://ojs.aaai.org/index.php/AAAI/article/view/30264/32255
5,Arbitrariness and Social Prediction: The Confounding Role of Variance in Fair Classification,ai for social impact track,A. Feder Cooper;Katherine Lee;Madiha Zahrah Choksi;Solon Barocas;Christopher De Sa;James Grimmelmann;Jon Kleinberg;Siddhartha Sen;Baobao Zhang;,"Center for Generative AI, Law, and Policy Research;Cornell University;Microsoft;Syracuse University;",United States;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/30203,https://ojs.aaai.org/index.php/AAAI/article/view/30203/32137
6,Auto311: A Confidence-Guided Automated System for Non-emergency Calls,ai for social impact track,Zirong Chen;Xutong Sun;Yuanhe Li;Meiyi Ma;,Vanderbilt University;,United States;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/30199,https://ojs.aaai.org/index.php/AAAI/article/view/30199/32129
7,AutoLTS: Automating Cycling Stress Assessment via Contrastive Learning and Spatial Post-processing,ai for social impact track,Bo Lin;Shoshanna Saxe;Timothy C. Y. Chan;,University of Toronto;,Canada;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/30227,https://ojs.aaai.org/index.php/AAAI/article/view/30227/32182
8,Automatic Interpretation of Line Probe Assay Test for Tuberculosis,ai for social impact track,Jatin Agrawal;Mukul Kumar;Avtansh Tiwari;Sachin Danisetty;Soma Dhavala;Nakul Jain;Prasaanth Balraj;Niket Singh;Siddhant Shingi;Jayakrishna Kurada;Raghuram Rao;S Anand;Nishant Kumar;,Wadhwani Institute for Artificial Intelligence;Government of India;,India;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/30191,https://ojs.aaai.org/index.php/AAAI/article/view/30191/32114
9,"Bad Actor, Good Advisor: Exploring the Role of Large Language Models in Fake News Detection",ai for social impact track,Beizhe Hu;Qiang Sheng;Juan Cao;Yuhui Shi;Yang Li;Danding Wang;Peng Qi;,Chinese Academy of Sciences;University of Chinese Academy of Sciences;National University of Singapore;,China;Singapore;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/30214,https://ojs.aaai.org/index.php/AAAI/article/view/30214/32159
10,Benchmarking Cyber Harassment Dialogue Comprehension through Emotion-Informed Manifestations-Determinants Demarcation,ai for social impact track,Soumitra Ghosh;Gopendra Vikram Singh;Jashn Arora;Asif Ekbal;,Fondazione Bruno Kessler;Indian Institute of Technology Patna;International Institute of Information Technology;,Italy;India;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/30207,https://ojs.aaai.org/index.php/AAAI/article/view/30207/32145
11,BirdCollect: A Comprehensive Benchmark for Analyzing Dense Bird Flock Attributes,ai for social impact track,Kshitiz .;Sonu Shreshtha;Bikash Dutta;Muskan Dosi;Mayank Vatsa;Richa Singh;Saket Anand;Sudeep Sarkar;Sevaram Mali Parihar;,Indian Institute of Technology;Indraprastha Institute of Information Technology;University of South Florida;Crane Conservationist;,India;United States;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/30189,https://ojs.aaai.org/index.php/AAAI/article/view/30189/32111
12,Blind-Touch: Homomorphic Encryption-Based Distributed Neural Network Inference for Privacy-Preserving Fingerprint Authentication,ai for social impact track,Hyunmin Choi;Simon S. Woo;Hyoungshick Kim;,NAVER Cloud;Sungkyunkwan University;,South Korea;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/30200,https://ojs.aaai.org/index.php/AAAI/article/view/30200/32131
13,Carbon Footprint Reduction for Sustainable Data Centers in Real-Time,ai for social impact track,Soumyendu Sarkar;Avisek Naug;Ricardo Luna;Antonio Guillen;Vineet Gundecha;Sahand Ghorbanpour;Sajad Mousavi;Dejan Markovikj;Ashwin Ramesh Babu;,Hewlett Packard Enterprise;,United States;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/30238,https://ojs.aaai.org/index.php/AAAI/article/view/30238/32204
