Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL
1,"A Machine with Short-Term, Episodic, and Semantic Memory Systems",cognitive modeling cognitive systems,Taewoon Kim;Michael Cochez;Vincent Francois-Lavet;Mark Neerincx;Piek Vossen;,Vrije Universiteit Amsterdam;Delft University of Technology;,Netherlands;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/25075,https://ojs.aaai.org/index.php/AAAI/article/view/25075/24847
2,A Semi-parametric Model for Decision Making in High-Dimensional Sensory Discrimination Tasks,cognitive modeling cognitive systems,Stephen Keeley;Benjamin Letham;Craig Sanders;Chase Tymms;Michael Shvartsman;,Fordham University;Meta;,United States;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/25074,https://ojs.aaai.org/index.php/AAAI/article/view/25074/24846
3,AVCAffe: A Large Scale Audio-Visual Dataset of Cognitive Load and Affect for Remote Work,cognitive modeling cognitive systems,Pritam Sarkar;Aaron Posen;Ali Etemad;,Queen's University;Vector Institute;,Canada;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/25078,https://ojs.aaai.org/index.php/AAAI/article/view/25078/24850
4,Back to the Future: Toward a Hybrid Architecture for Ad Hoc Teamwork,cognitive modeling cognitive systems,Hasra Dodampegama;Mohan Sridharan;,University of Birmingham;,United Kingdom;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/25070,https://ojs.aaai.org/index.php/AAAI/article/view/25070/24842
5,CMNet: Contrastive Magnification Network for Micro-Expression Recognition,cognitive modeling cognitive systems,Mengting Wei;Xingxun Jiang;Wenming Zheng;Yuan Zong;Cheng Lu;Jiateng Liu;,Ministry of Education;Southeast University;,China;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/25083,https://ojs.aaai.org/index.php/AAAI/article/view/25083/24855
6,Complex Dynamic Neurons Improved Spiking Transformer Network for Efficient Automatic Speech Recognition,cognitive modeling cognitive systems,Qingyu Wang;Tielin Zhang;Minglun Han;Yi Wang;Duzhen Zhang;Bo Xu;,Chinese Academy of Sciences;University of Chinese Academy of Sciences;Jilin University;,China;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/25081,https://ojs.aaai.org/index.php/AAAI/article/view/25081/24853
7,Deep Spiking Neural Networks with High Representation Similarity Model Visual Pathways of Macaque and Mouse,cognitive modeling cognitive systems,Liwei Huang;Zhengyu Ma;Liutao Yu;Huihui Zhou;Yonghong Tian;,Peking University;Pengcheng Laboratory;,China;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/25073,https://ojs.aaai.org/index.php/AAAI/article/view/25073/24845
8,Disentangling Reafferent Effects by Doing Nothing,cognitive modeling cognitive systems,Benedict Wilkins;Kostas Stathis;,Royal Holloway University of London;,United Kingdom;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/25084,https://ojs.aaai.org/index.php/AAAI/article/view/25084/24856
9,ESL-SNNs: An Evolutionary Structure Learning Strategy for Spiking Neural Networks,cognitive modeling cognitive systems,Jiangrong Shen;Qi Xu;Jian K. Liu;Yueming Wang;Gang Pan;Huajin Tang;,Zhejiang University;Dalian University of Technology;University of Leeds;Zhejiang Lab;,China;United Kingdom;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/25079,https://ojs.aaai.org/index.php/AAAI/article/view/25079/24851
10,Hierarchical ConViT with Attention-Based Relational Reasoner for Visual Analogical Reasoning,cognitive modeling cognitive systems,Wentao He;Jialu Zhang;Jianfeng Ren;Ruibin Bai;Xudong Jiang;,University of Nottingham Ningbo China;Nanyang Technological University;,China;Singapore;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/25072,https://ojs.aaai.org/index.php/AAAI/article/view/25072/24844
11,Intensity-Aware Loss for Dynamic Facial Expression Recognition in the Wild,cognitive modeling cognitive systems,Hanting Li;Hongjing Niu;Zhaoqing Zhu;Feng Zhao;,University of Science and Technology of China;,China;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/25077,https://ojs.aaai.org/index.php/AAAI/article/view/25077/24849
12,Learning Temporal-Ordered Representation for Spike Streams Based on Discrete Wavelet Transforms,cognitive modeling cognitive systems,Jiyuan Zhang;Shanshan Jia;Zhaofei Yu;Tiejun Huang;,Peking University;,China;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/25085,https://ojs.aaai.org/index.php/AAAI/article/view/25085/24857
13,Persuasion Strategies in Advertisements,cognitive modeling cognitive systems,Yaman Kumar;Rajat Jha;Arunim Gupta;Milan Aggarwal;Aditya Garg;Tushar Malyan;Ayush Bhardwaj;Rajiv Ratn Shah;Balaji Krishnamurthy;Changyou Chen;,"Indraprastha Institute of Information Technology, Delhi;Adobe;University at Buffalo;",India;United States;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/25076,https://ojs.aaai.org/index.php/AAAI/article/view/25076/24848
14,Reducing ANN-SNN Conversion Error through Residual Membrane Potential,cognitive modeling cognitive systems,Zecheng Hao;Tong Bu;Jianhao Ding;Tiejun Huang;Zhaofei Yu;,Peking University;,China;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/25071,https://ojs.aaai.org/index.php/AAAI/article/view/25071/24843
15,ScatterFormer: Locally-Invariant Scattering Transformer for Patient-Independent Multispectral Detection of Epileptiform Discharges,cognitive modeling cognitive systems,Ruizhe Zheng;Jun Li;Yi Wang;Tian Luo;Yuguo Yu;,Fudan University;Shanghai Artificial Intelligence Laboratory;,China;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/25086,https://ojs.aaai.org/index.php/AAAI/article/view/25086/24858
16,Self-Supervised Graph Learning for Long-Tailed Cognitive Diagnosis,cognitive modeling cognitive systems,Shanshan Wang;Zhen Zeng;Xun Yang;Xingyi Zhang;,Anhui University;Hefei Comprehensive National Science Center;University of Science and Technology of China;,China;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/25082,https://ojs.aaai.org/index.php/AAAI/article/view/25082/24854
17,Zero-Shot Linear Combinations of Grounded Social Interactions with Linear Social MDPs,cognitive modeling cognitive systems,Ravi Tejwani;Yen-Ling Kuo;Tianmin Shu;Bennett Stankovits;Dan Gutfreund;Joshua B. Tenenbaum;Boris Katz;Andrei Barbu;,Massachusetts Institute of Technology;,United States;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/25080,https://ojs.aaai.org/index.php/AAAI/article/view/25080/24852
18,3D Human Pose Lifting with Grid Convolution,computer vision i,Yangyuxuan Kang;Yuyang Liu;Anbang Yao;Shandong Wang;Enhua Wu;,Chinese Academy of Sciences;University of Chinese Academy of Sciences;Tsinghua University;Intel;University of Macau;,China;,Technical,https://ojs.aaai.org/index.php/AAAI/article/view/25192,https://ojs.aaai.org/index.php/AAAI/article/view/25192/24964
