Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
1,Certifying Some Distributional Robustness with Principled Adversarial Training,,Aman Sinha;Hongseok Namkoong;John Duchi,,Oral,https://openreview.net/forum?id=Hk6kPgZA-,https://openreview.net/pdf?id=Hk6kPgZA-
2,Learning Deep Mean Field Games for Modeling Large Population Behavior,,Jiachen Yang;Xiaojing Ye;Rakshit Trivedi;Huan Xu;Hongyuan Zha,,Oral,https://openreview.net/forum?id=HktK4BeCZ,https://openreview.net/pdf?id=HktK4BeCZ
3,Emergence of grid-like representations by training recurrent neural networks to perform spatial localization,,Christopher J. Cueva;Xue-Xin Wei,,Poster,https://openreview.net/forum?id=B17JTOe0-,https://openreview.net/pdf?id=B17JTOe0-
4,i-RevNet: Deep Invertible Networks,,Jörn-Henrik Jacobsen;Arnold W.M. Smeulders;Edouard Oyallon,,Poster,https://openreview.net/forum?id=HJsjkMb0Z,https://openreview.net/pdf?id=HJsjkMb0Z
5,Multi-Scale Dense Networks for Resource Efficient Image Classification,,Gao Huang;Danlu Chen;Tianhong Li;Felix Wu;Laurens van der Maaten;Kilian Weinberger,,Oral,https://openreview.net/forum?id=Hk2aImxAb,https://openreview.net/pdf?id=Hk2aImxAb
6,On the Convergence of Adam and Beyond,,Sashank J. Reddi;Satyen Kale;Sanjiv Kumar,,Oral,https://openreview.net/forum?id=ryQu7f-RZ,https://openreview.net/pdf?id=ryQu7f-RZ
7,Deep Autoencoding Gaussian Mixture Model for Unsupervised Anomaly Detection,,Bo Zong;Qi Song;Martin Renqiang Min;Wei Cheng;Cristian Lumezanu;Daeki Cho;Haifeng Chen,,Poster,https://openreview.net/forum?id=BJJLHbb0-,https://openreview.net/pdf?id=BJJLHbb0-
8,Can recurrent neural networks warp time?,,Corentin Tallec;Yann Ollivier,,Poster,https://openreview.net/forum?id=SJcKhk-Ab,https://openreview.net/pdf?id=SJcKhk-Ab
9,Learning to Represent Programs with Graphs,,Miltiadis Allamanis;Marc Brockschmidt;Mahmoud Khademi,,Oral,https://openreview.net/forum?id=BJOFETxR-,https://openreview.net/pdf?id=BJOFETxR-
10,Boosting Dilated Convolutional Networks with Mixed Tensor Decompositions,,Nadav Cohen;Ronen Tamari;Amnon Shashua,,Oral,https://openreview.net/forum?id=S1JHhv6TW,https://openreview.net/pdf?id=S1JHhv6TW
11,Spherical CNNs,,Taco S. Cohen;Mario Geiger;Jonas Köhler;Max Welling,,Oral,https://openreview.net/forum?id=Hkbd5xZRb,https://openreview.net/pdf?id=Hkbd5xZRb
12,Continuous Adaptation via Meta-Learning in Nonstationary and Competitive Environments,,Maruan Al-Shedivat;Trapit Bansal;Yura Burda;Ilya Sutskever;Igor Mordatch;Pieter Abbeel,,Oral,https://openreview.net/forum?id=Sk2u1g-0-,https://openreview.net/pdf?id=Sk2u1g-0-
13,Wasserstein Auto-Encoders,,Ilya Tolstikhin;Olivier Bousquet;Sylvain Gelly;Bernhard Schoelkopf,,Oral,https://openreview.net/forum?id=HkL7n1-0b,https://openreview.net/pdf?id=HkL7n1-0b
14,Spatially Transformed Adversarial Examples,,Chaowei Xiao;Jun-Yan Zhu;Bo Li;Warren He;Mingyan Liu;Dawn Song,,Poster,https://openreview.net/forum?id=HyydRMZC-,https://openreview.net/pdf?id=HyydRMZC-
15,Simulating Action Dynamics with Neural Process Networks,,Antoine Bosselut;Omer Levy;Ari Holtzman;Corin Ennis;Dieter Fox;Yejin Choi,,Poster,https://openreview.net/forum?id=rJYFzMZC-,https://openreview.net/pdf?id=rJYFzMZC-
16,Zero-Shot Visual Imitation,,Deepak Pathak;Parsa Mahmoudieh;Guanghao Luo;Pulkit Agrawal;Dian Chen;Yide Shentu;Evan Shelhamer;Jitendra Malik;Alexei A. Efros;Trevor Darrell,,Oral,https://openreview.net/forum?id=BkisuzWRW,https://openreview.net/pdf?id=BkisuzWRW
17,When is a Convolutional Filter Easy to Learn?,,Simon S. Du;Jason D. Lee;Yuandong Tian,,Poster,https://openreview.net/forum?id=SkA-IE06W,https://openreview.net/pdf?id=SkA-IE06W
18,Neural Map: Structured Memory for Deep Reinforcement Learning,,Emilio Parisotto;Ruslan Salakhutdinov,,Poster,https://openreview.net/forum?id=Bk9zbyZCZ,https://openreview.net/pdf?id=Bk9zbyZCZ
19,Unsupervised Machine Translation Using Monolingual Corpora Only,,Guillaume Lample;Alexis Conneau;Ludovic Denoyer;Marc'Aurelio Ranzato,,Poster,https://openreview.net/forum?id=rkYTTf-AZ,https://openreview.net/pdf?id=rkYTTf-AZ
