Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
1,The mechanistic basis of data dependence and abrupt learning in an in-context classification task,"general machine learning (i.e., none of the above)",Gautam Reddy;,,Oral,https://openreview.net/forum?id=aN4Jf6Cx69,https://openreview.net/pdf?id=aN4Jf6Cx69
2,Meta Continual Learning Revisited: Implicitly Enhancing Online Hessian Approximation via Variance Reduction,"transfer learning, meta learning, and lifelong learning",Yichen Wu;Long-Kai Huang;Renzhen Wang;Deyu Meng;Ying Wei;,City University of Hong Kong;Tencent;Xi'an Jiao Tong University;Nanyang Technological University;,Oral,https://openreview.net/forum?id=TpD2aG1h0D,https://openreview.net/pdf?id=TpD2aG1h0D
3,BooookScore: A systematic exploration of book-length summarization in the era of LLMs,datasets and benchmarks,Yapei Chang;Kyle Lo;Tanya Goyal;Mohit Iyyer;,University of Massachusetts Amherst;Allen Institute for Artificial Intelligence;Princeton University;,Oral,https://openreview.net/forum?id=7Ttk3RzDeu,https://openreview.net/pdf?id=7Ttk3RzDeu
4,LRM: Large Reconstruction Model for Single Image to 3D,"representation learning for computer vision, audio, language, and other modalities",Yicong Hong;Kai Zhang;Jiuxiang Gu;Sai Bi;Yang Zhou;Difan Liu;Feng Liu;Kalyan Sunkavalli;Trung Bui;Hao Tan;,Adobe;Portland State University;,Oral,https://openreview.net/forum?id=sllU8vvsFF,https://openreview.net/pdf?id=sllU8vvsFF
5,DreamGaussian: Generative Gaussian Splatting for Efficient 3D Content Creation,generative models,Jiaxiang Tang;Jiawei Ren;Hang Zhou;Ziwei Liu;Gang Zeng;,Nanyang Technological University;Baidu;Peking University;,Oral,https://openreview.net/forum?id=UyNXMqnN3c,https://openreview.net/pdf?id=UyNXMqnN3c
6,Real3D-Portrait: One-shot Realistic 3D Talking Portrait Synthesis,generative models,Zhenhui Ye;Tianyun Zhong;Yi Ren;Jiaqi Yang;Weichuang Li;Jiawei Huang;Ziyue Jiang;Jinzheng He;Rongjie Huang;Jinglin Liu;Chen Zhang;Xiang Yin;Zejun MA;Zhou Zhao;,Zhejiang University;ByteDance;Tsinghua University;Hong Kong University of Science and Technology;,Spotlight,https://openreview.net/forum?id=7ERQPyR2eb,https://openreview.net/pdf?id=7ERQPyR2eb
7,Understanding and Mitigating the Label Noise in Pre-training on Downstream Tasks,"transfer learning, meta learning, and lifelong learning",Hao Chen;Jindong Wang;Ankit Shah;Ran Tao;Hongxin Wei;Xing Xie;Masashi Sugiyama;Bhiksha Raj;,Carnegie Mellon University;Accenture;Southern University of Science and Technology;Microsoft;University of Tokyo;Mohamed bin Zayed University of Artificial Intelligence;,Spotlight,https://openreview.net/forum?id=TjhUtloBZU,https://openreview.net/pdf?id=TjhUtloBZU
8,Beyond Weisfeiler-Lehman: A Quantitative Framework for GNN Expressiveness,"unsupervised, self-supervised, semi-supervised, and supervised representation learning",Bohang Zhang;Jingchu Gai;Yiheng Du;Qiwei Ye;Di He;Liwei Wang;,Peking University;Beijing Academy of Artificial Intelligence;Microsoft;,Oral,https://openreview.net/forum?id=HSKaGOi7Ar,https://openreview.net/pdf?id=HSKaGOi7Ar
9,Generalization in diffusion models arises from geometry-adaptive harmonic representations,generative models,Zahra Kadkhodaie;Florentin Guth;Eero P Simoncelli;Stéphane Mallat;,Flatiron Institute;Simons Foundation;New York University;,Oral,https://openreview.net/forum?id=ANvmVS2Yr0,https://openreview.net/pdf?id=ANvmVS2Yr0
10,Monte Carlo guided Denoising Diffusion models for Bayesian linear inverse problems.,"probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)",Gabriel Cardoso;Yazid Janati el idrissi;Sylvain Le Corff;Eric Moulines;,Ecole Polytechnique;Sorbonne Université;,Oral,https://openreview.net/forum?id=nHESwXvxWK,https://openreview.net/pdf?id=nHESwXvxWK
11,Privileged Sensing Scaffolds Reinforcement Learning,reinforcement learning,Edward S. Hu;James Springer;Oleh Rybkin;Dinesh Jayaraman;,"University of Pennsylvania;University of California, Berkeley;",Spotlight,https://openreview.net/forum?id=EpVe8jAjdx,https://openreview.net/pdf?id=EpVe8jAjdx
12,Realistic Evaluation of Semi-supervised Learning Algorithms in Open Environments,"unsupervised, self-supervised, semi-supervised, and supervised representation learning",Lin-Han Jia;Lan-Zhe Guo;Zhi Zhou;Yu-Feng Li;,Nanjing University;,Spotlight,https://openreview.net/forum?id=RvUVMjfp8i,https://openreview.net/pdf?id=RvUVMjfp8i
13,Test-time Adaptation against Multi-modal Reliability Bias,"unsupervised, self-supervised, semi-supervised, and supervised representation learning",Mouxing Yang;Yunfan Li;Changqing Zhang;Peng Hu;Xi Peng;,Sichuan University;Tianjin University;,Poster,https://openreview.net/forum?id=TPZRq4FALB,https://openreview.net/pdf?id=TPZRq4FALB
14,Scaling Laws of RoPE-based Extrapolation,"general machine learning (i.e., none of the above)",Xiaoran Liu;Hang Yan;Chenxin An;Xipeng Qiu;Dahua Lin;,Shanghai Artificial Intelligence Laboratory;University of Hong Kong;Fudan University;Chinese University of Hong Kong;,Poster,https://openreview.net/forum?id=JO7k0SJ5V6,https://openreview.net/pdf?id=JO7k0SJ5V6
15,Turning large language models into cognitive models,applications to neuroscience & cognitive science,Marcel Binz;Eric Schulz;,Helmholtz Zentrum München;Max Planck Institute for Biological Cybernetics;,Poster,https://openreview.net/forum?id=eiC4BKypf1,https://openreview.net/pdf?id=eiC4BKypf1
16,Towards LLM4QPE: Unsupervised Pretraining of Quantum Property Estimation and A Benchmark,"applications to physical sciences (physics, chemistry, biology, etc.)",Yehui Tang;Hao Xiong;Nianzu Yang;Tailong Xiao;Junchi Yan;,Shanghai Jiao Tong University;,Spotlight,https://openreview.net/forum?id=vrBVFXwAmi,https://openreview.net/pdf?id=vrBVFXwAmi
17,DMV3D: Denoising Multi-view Diffusion Using 3D Large Reconstruction Model,generative models,Yinghao Xu;Hao Tan;Fujun Luan;Sai Bi;Peng Wang;Jiahao Li;Zifan Shi;Kalyan Sunkavalli;Gordon Wetzstein;Zexiang Xu;Kai Zhang;,Stanford University;Adobe;University of Hong Kong;Toyota Technological Institute at Chicago;Hong Kong University of Science and Technology;,Spotlight,https://openreview.net/forum?id=H4yQefeXhp,https://openreview.net/pdf?id=H4yQefeXhp
18,CrIBo: Self-Supervised Learning via Cross-Image Object-Level Bootstrapping,"unsupervised, self-supervised, semi-supervised, and supervised representation learning",Tim Lebailly;Thomas Stegmüller;Behzad Bozorgtabar;Jean-Philippe Thiran;Tinne Tuytelaars;,Meta;EPFL;Swiss Federal Institute of Technology Lausanne;University of Lausanne;,Spotlight,https://openreview.net/forum?id=3M0GXoUEzP,https://openreview.net/pdf?id=3M0GXoUEzP
19,Mastering Memory Tasks with World Models,reinforcement learning,Mohammad Reza Samsami;Artem Zholus;Janarthanan Rajendran;Sarath Chandar;,Université de Montréal;École Polytechnique de Montréal;,Oral,https://openreview.net/forum?id=1vDArHJ68h,https://openreview.net/pdf?id=1vDArHJ68h
20,Sample-Efficient Quality-Diversity by Cooperative Coevolution,reinforcement learning,Ke Xue;Ren-Jian Wang;Pengyi Li;Dong Li;Jianye HAO;Chao Qian;,Nanjing University;Tianjin University;Huawei;,Spotlight,https://openreview.net/forum?id=JDud6zbpFv,https://openreview.net/pdf?id=JDud6zbpFv
21,Phenomenal Yet Puzzling: Testing Inductive Reasoning Capabilities of Language Models with Hypothesis Refinement,"general machine learning (i.e., none of the above)",Linlu Qiu;Liwei Jiang;Ximing Lu;Melanie Sclar;Valentina Pyatkin;Chandra Bhagavatula;Bailin Wang;Yoon Kim;Yejin Choi;Nouha Dziri;Xiang Ren;,Massachusetts Institute of Technology;University of Washington;Allen Institute for Artificial Intelligence;University of Southern California;,Oral,https://openreview.net/forum?id=bNt7oajl2a,https://openreview.net/pdf?id=bNt7oajl2a
22,Self-Alignment with Instruction Backtranslation,generative models,Xian Li;Ping Yu;Chunting Zhou;Timo Schick;Omer Levy;Luke Zettlemoyer;Jason E Weston;Mike Lewis;,Meta;Tel Aviv University;,Oral,https://openreview.net/forum?id=1oijHJBRsT,https://openreview.net/pdf?id=1oijHJBRsT
23,Würstchen: An Efficient Architecture for Large-Scale Text-to-Image Diffusion Models,generative models,Pablo Pernias;Dominic Rampas;Mats Leon Richter;Christopher Pal;Marc Aubreville;,University of Montreal;Polytechnique Montreal;Technische Hochschule Ingolstadt;,Oral,https://openreview.net/forum?id=gU58d5QeGv,https://openreview.net/pdf?id=gU58d5QeGv
24,"TD-MPC2: Scalable, Robust World Models for Continuous Control",reinforcement learning,Nicklas Hansen;Hao Su;Xiaolong Wang;,"University of California, San Diego;",Spotlight,https://openreview.net/forum?id=Oxh5CstDJU,https://openreview.net/pdf?id=Oxh5CstDJU
25,CABINET: Content Relevance-based Noise Reduction for Table Question Answering,"representation learning for computer vision, audio, language, and other modalities",Sohan Patnaik;Heril Changwal;Milan Aggarwal;Sumit Bhatia;Yaman Kumar;Balaji Krishnamurthy;,Indian Institute of Technology Kharagpur;Adobe;,Spotlight,https://openreview.net/forum?id=SQrHpTllXa,https://openreview.net/pdf?id=SQrHpTllXa
26,Flexible Residual Binarization for Image Super-Resolution,"representation learning for computer vision, audio, language, and other modalities",Yulun Zhang;Haotong Qin;Zixiang Zhao;Xianglong Liu;Martin Danelljan;Fisher Yu;,Swiss Federal Institute of Technology;ETH Zurich;,Reject,,
27,MovingParts: Motion-based 3D Part Discovery in Dynamic Radiance Field,"representation learning for computer vision, audio, language, and other modalities",Kaizhi Yang;Xiaoshuai Zhang;Zhiao Huang;Xuejin Chen;Zexiang Xu;Hao Su;,"University of Science and Technology of China;University of California, San Diego;Adobe;",Spotlight,https://openreview.net/forum?id=QQ6RgKYiQq,https://openreview.net/pdf?id=QQ6RgKYiQq
28,Multi-granularity Correspondence Learning from Long-term Noisy Videos,"representation learning for computer vision, audio, language, and other modalities",Yijie Lin;Jie Zhang;Zhenyu Huang;Jia Liu;zujie wen;Xi Peng;,Sichuan University;Alibaba Group;Ant Group;,Oral,https://openreview.net/forum?id=9Cu8MRmhq2,https://openreview.net/pdf?id=9Cu8MRmhq2
