Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
1,Universal Few-shot Learning of Dense Prediction Tasks with Visual Token Matching,,Donggyun Kim;Jinwoo Kim;Seongwoong Cho;Chong Luo;Seunghoon Hong;,Korea Advanced Institute of Science and Technology;Microsoft;,Top-5%,https://openreview.net/forum?id=88nT0j5jAn,https://openreview.net/pdf?id=88nT0j5jAn
2,Emergence of Maps in the Memories of Blind Navigation Agents,,Erik Wijmans;Manolis Savva;Irfan Essa;Stefan Lee;Ari S. Morcos;Dhruv Batra;,Apple;Simon Fraser University;Georgia Institute of Technology;,Top-5%,https://openreview.net/forum?id=lTt4KjHSsyl,https://openreview.net/pdf?id=lTt4KjHSsyl
3,"Towards Understanding Ensemble, Knowledge Distillation and Self-Distillation in Deep Learning",,Zeyuan Allen-Zhu;Yuanzhi Li;,Carnegie Mellon University;,Top-5%,https://openreview.net/forum?id=Uuf2q9TfXGA,https://openreview.net/pdf?id=Uuf2q9TfXGA
4,Minimax Optimal Kernel Operator Learning via Multilevel Training,,Jikai Jin;Yiping Lu;Jose Blanchet;Lexing Ying;,Peking University;Stanford University;,Top-25%,https://openreview.net/forum?id=zEn1BhaNYsC,https://openreview.net/pdf?id=zEn1BhaNYsC
5,Git Re-Basin: Merging Models modulo Permutation Symmetries,,Samuel Ainsworth;Jonathan Hayase;Siddhartha Srinivasa;,GM Cruise LLC;University of Washington;,Top-5%,https://openreview.net/forum?id=CQsmMYmlP5T,https://openreview.net/pdf?id=CQsmMYmlP5T
6,Learnable Behavior Control: Breaking Atari Human World Records via Sample-Efficient Behavior Selection,,Jiajun Fan;Yuzheng Zhuang;Yuecheng Liu;Jianye HAO;Bin Wang;Jiangcheng Zhu;Hao Wang;Shu-Tao Xia;,Huawei;Tianjin University;Tsinghua University;,Top-5%,https://openreview.net/forum?id=FeWvD0L_a4,https://openreview.net/pdf?id=FeWvD0L_a4
7,Relative representations enable zero-shot latent space communication,,Luca Moschella;Valentino Maiorca;Marco Fumero;Antonio Norelli;Francesco Locatello;Emanuele Rodolà;,NVIDIA;University of Rome La Sapienza;Sapienza University of Rome;Amazon;,Top-5%,https://openreview.net/forum?id=SrC-nwieGJ,https://openreview.net/pdf?id=SrC-nwieGJ
8,Modeling content creator incentives on algorithm-curated platforms,,Jiri Hron;Karl Krauth;Michael Jordan;Niki Kilbertus;Sarah Dean;,"Google;University of California, Berkeley;Helmholtz Association of German Research Centres;Cornell University;",Top-5%,https://openreview.net/forum?id=l6CpxixmUg,https://openreview.net/pdf?id=l6CpxixmUg
9,Rethinking the Expressive Power of GNNs via Graph Biconnectivity,,Bohang Zhang;Shengjie Luo;Liwei Wang;Di He;,Peking University;Microsoft;,Top-5%,https://openreview.net/forum?id=r9hNv76KoT3,https://openreview.net/pdf?id=r9hNv76KoT3
10,Hyperbolic Deep Reinforcement Learning,,Edoardo Cetin;Benjamin Paul Chamberlain;Michael M. Bronstein;Jonathan J Hunt;,"King's College London;Twitter, Inc.;",Top-25%,https://openreview.net/forum?id=TfBHFLgv77,https://openreview.net/pdf?id=TfBHFLgv77
11,Martingale Posterior Neural Processes,,Hyungi Lee;Eunggu Yun;Giung Nam;Edwin Fong;Juho Lee;,Korea Advanced Institute of Science and Technology;Novo Nordisk;,Top-25%,https://openreview.net/forum?id=-9PVqZ-IR_,https://openreview.net/pdf?id=-9PVqZ-IR_
12,Tailoring Language Generation Models under Total Variation Distance,,Haozhe Ji;Pei Ke;Zhipeng Hu;Rongsheng Zhang;Minlie Huang;,Tsinghua University;Zhejiang University;Netease;,Top-5%,https://openreview.net/forum?id=VELL0PlWfc,https://openreview.net/pdf?id=VELL0PlWfc
13,Learning multi-scale local conditional probability models of images,,Zahra Kadkhodaie;Florentin Guth;Stéphane Mallat;Eero P Simoncelli;,Ecole Normale Supérieure;New York University;,Top-25%,https://openreview.net/forum?id=VZX2I_VVJKH,https://openreview.net/pdf?id=VZX2I_VVJKH
14,SimPer: Simple Self-Supervised Learning of Periodic Targets,,Yuzhe Yang;Xin Liu;Jiang Wu;Silviu Borac;Dina Katabi;Ming-Zher Poh;Daniel McDuff;,Massachusetts Institute of Technology;University of Washington;Google;,Top-5%,https://openreview.net/forum?id=EKpMeEV0hOo,https://openreview.net/pdf?id=EKpMeEV0hOo
15,A Call to Reflect on Evaluation Practices for Failure Detection in Image Classification,,Paul F Jaeger;Carsten Tim Lüth;Lukas Klein;Till J. Bungert;,German Cancer Research Center;Deutsches Krebsforschungszentrum;,Top-5%,https://openreview.net/forum?id=YnkGMIh0gvX,https://openreview.net/pdf?id=YnkGMIh0gvX
