Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
1,A Generative Product-of-Filters Model of Audio,,Dawen Liang;Mathew D. Hoffman;Gautham Mysore,,Poster,https://openreview.net/forum?id=NPFdalK3djNuI,https://openreview.net/pdf?id=NPFdalK3djNuI
2,A Primal-Dual Method for Training Recurrent Neural Networks Constrained by the Echo-State Property,,Jianshu Chen;Li Deng,,Poster,https://openreview.net/forum?id=plS31K743MGWn,https://openreview.net/pdf?id=plS31K743MGWn
3,A Simple Model for Learning Multilingual Compositional Semantics,,Karl Moritz Hermann;Phil Blunsom,,Poster,https://openreview.net/forum?id=MMG-yUjRFZqpn,https://openreview.net/pdf?id=MMG-yUjRFZqpn
4,Adaptive Feature Ranking for Unsupervised Transfer Learning,,Son N. Tran;Artur d'Avila Garcez,,Poster,https://openreview.net/forum?id=00Rp6XTNJq0GY,https://openreview.net/pdf?id=00Rp6XTNJq0GY
5,An Architecture for Distinguishing between Predictors and Inhibitors in Reinforcement Learning,,Patrick C. Connor;Thomas P. Trappenberg,,Poster,https://openreview.net/forum?id=NNP_NfOK_ENK4,https://openreview.net/pdf?id=NNP_NfOK_ENK4
6,An empirical analysis of dropout in piecewise linear networks,,David Warde-Farley;Ian Goodfellow;Aaron Courville;Yoshua Bengio,,Poster,https://openreview.net/forum?id=ZZ7T6hXbaEcAQ,https://openreview.net/pdf?id=ZZ7T6hXbaEcAQ
7,An Empirical Investigation of Catastrophic Forgeting in Gradient-Based Neural Networks,,Yoshua Bengio;Mehdi Mirza;Ian Goodfellow;Aaron Courville;Xia Da,,Poster,https://openreview.net/forum?id=oXSw7laxwUpln,https://openreview.net/pdf?id=oXSw7laxwUpln
8,Approximated Infomax Early Stopping: Revisiting Gaussian RBMs on Natural Images,,Taichi Kiwaki;Takaki Makino;Kazuyuki Aihara,,Poster,https://openreview.net/forum?id=bb7SwHahSUpiq,https://openreview.net/pdf?id=bb7SwHahSUpiq
9,Auto-Encoding Variational Bayes,,Diederik P. Kingma;Max Welling,,Poster,https://openreview.net/forum?id=33X9fd2-9FyZd,https://openreview.net/pdf?id=33X9fd2-9FyZd
10,Bounding the Test Log-Likelihood of Generative Models,,Yoshua Bengio;Li Yao;KyungHyun Cho,,Poster,https://openreview.net/forum?id=gg4nKrblw0gkf,https://openreview.net/pdf?id=gg4nKrblw0gkf
11,Can recursive neural tensor networks learn logical reasoning?,,Samuel R. Bowman,,Poster,https://openreview.net/forum?id=4diyarNwq84_Q,https://openreview.net/pdf?id=4diyarNwq84_Q
12,Continuous Learning: Engineering Super Features With Feature Algebras,,Michael Tetelman,,Poster,https://openreview.net/forum?id=EXqiEZhNias13,https://openreview.net/pdf?id=EXqiEZhNias13
13,Correlation-based construction of neighborhood and edge features,,Balázs Kégl,,Poster,https://openreview.net/forum?id=srkxraD5zAMCX,https://openreview.net/pdf?id=srkxraD5zAMCX
14,Deep and Wide Multiscale Recursive Networks for Robust Image Labeling,,Gary B. Huang;Viren Jain,,Poster,https://openreview.net/forum?id=HH-uZ8U2O1aWf,https://openreview.net/pdf?id=HH-uZ8U2O1aWf
15,Deep Belief Networks for Image Denoising,,Mohammad Ali Keyvanrad;mohammad pezeshki;Mohammad Mehdi Homayounpour,,Poster,https://openreview.net/forum?id=AY3Hz-ujSEXUl,https://openreview.net/pdf?id=AY3Hz-ujSEXUl
16,Deep Convolutional Ranking for Multilabel Image Annotation,,Sergey Ioffe;Alexander Toshev;Yangqing Jia;Thomas Leung;Yunchao Gong,,Poster,https://openreview.net/forum?id=qqUMpzcNswxen,https://openreview.net/pdf?id=qqUMpzcNswxen
