Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
1,A Generalized Training Approach for Multiagent Learning,,Paul Muller;Shayegan Omidshafiei;Mark Rowland;Karl Tuyls;Julien Perolat;Siqi Liu;Daniel Hennes;Luke Marris;Marc Lanctot;Edward Hughes;Zhe Wang;Guy Lever;Nicolas Heess;Thore Graepel;Remi Munos;,,Talk,,
2,A Theory of Usable Information under Computational Constraints,,Yilun Xu;Shengjia Zhao;Jiaming Song;Russell Stewart;Stefano Ermon;,,Talk,,
3,BackPACK: Packing more into Backprop,,Felix Dangel;Frederik Kunstner;Philipp Hennig;,,Talk,,
4,CATER: A diagnostic dataset for Compositional Actions & TEmporal Reasoning,,Rohit Girdhar;Deva Ramanan;,,Talk,,
5,Causal Discovery with Reinforcement Learning,,Shengyu Zhu;Ignavier Ng;Zhitang Chen;,,Talk,,
6,Contrastive Learning of Structured World Models,,Thomas Kipf;Elise van der Pol;Max Welling;,,Talk,,
7,Data-dependent Gaussian Prior Objective for Language Generation,,Zuchao Li;Rui Wang;Kehai Chen;Masso Utiyama;Eiichiro Sumita;Zhuosheng Zhang;Hai Zhao;,,Talk,,
8,Depth-Width Trade-offs for ReLU Networks via Sharkovsky's Theorem,,Vaggos Chatziafratis;Sai Ganesh Nagarajan;Ioannis Panageas;Xiao Wang;,,Spotlight,,
9,Differentiable Reasoning over a Virtual Knowledge Base,,Bhuwan Dhingra;Manzil Zaheer;Vidhisha Balachandran;Graham Neubig;Ruslan Salakhutdinov;William W. Cohen;,,Talk,,
10,Differentiation of Blackbox Combinatorial Solvers,,Marin Vlastelica Pogančić;Anselm Paulus;Vit Musil;Georg Martius;Michal Rolinek;,,Spotlight,,
11,Dynamics-Aware Unsupervised Discovery of Skills,,Archit Sharma;Shixiang Gu;Sergey Levine;Vikash Kumar;Karol Hausman;,,Talk,,
12,Enhancing Adversarial Defense by k-Winners-Take-All,,Chang Xiao;Peilin Zhong;Changxi Zheng;,,Spotlight,,
13,FreeLB: Enhanced Adversarial Training for Natural Language Understanding,,Chen Zhu;Yu Cheng;Zhe Gan;Siqi Sun;Tom Goldstein;Jingjing Liu;,,Spotlight,,
14,GenDICE: Generalized Offline Estimation of Stationary Values,,Ruiyi Zhang*;Bo Dai*;Lihong Li;Dale Schuurmans;,,Talk,,
15,Geometric Analysis of Nonconvex Optimization Landscapes for Overcomplete Learning,,Qing Qu;Yuexiang Zhai;Xiao Li;Yuqian Zhang;Zhihui Zhu;,,Talk,,
16,How much Position Information Do Convolutional Neural Networks Encode?,,Md Amirul Islam*;Sen Jia*;Neil D. B. Bruce;,,Spotlight,,
17,Hyper-SAGNN: a self-attention based graph neural network for hypergraphs,,Ruochi Zhang;Yuesong Zou;Jian Ma;,,Poster,,
18,Implementation Matters in Deep RL: A Case Study on PPO and TRPO,,Logan Engstrom;Andrew Ilyas;Shibani Santurkar;Dimitris Tsipras;Firdaus Janoos;Larry Rudolph;Aleksander Madry;,,Talk,,
19,Learning to Balance: Bayesian Meta-Learning for Imbalanced and Out-of-distribution Tasks,,Hae Beom Lee;Hayeon Lee;Donghyun Na;Saehoon Kim;Minseop Park;Eunho Yang;Sung Ju Hwang;,,Talk,,
20,Mathematical Reasoning in Latent Space,,Dennis Lee;Christian Szegedy;Markus Rabe;Sarah Loos;Kshitij Bansal;,,Talk,,
21,Meta-Learning with Warped Gradient Descent,,Sebastian Flennerhag;Andrei A. Rusu;Razvan Pascanu;Francesco Visin;Hujun Yin;Raia Hadsell;,,Talk,,
22,Mirror-Generative Neural Machine Translation,,Zaixiang Zheng;Hao Zhou;Shujian Huang;Lei Li;Xin-Yu Dai;Jiajun Chen;,,Talk,,
23,NAS-Bench-201: Extending the Scope of Reproducible Neural Architecture Search,,Xuanyi Dong;Yi Yang;,,Spotlight,,
24,"On the ""steerability"" of generative adversarial networks",,Ali Jahanian*;Lucy Chai*;Phillip Isola;,,Poster,,
25,Optimal Strategies Against Generative Attacks,,Roy Mor;Erez Peterfreund;Matan Gavish;Amir Globerson;,,Talk,,
26,Principled Weight Initialization for Hypernetworks,,Oscar Chang;Lampros Flokas;Hod Lipson;,,Talk,,
27,Restricting the Flow: Information Bottlenecks for Attribution,,Karl Schulz;Leon Sixt;Federico Tombari;Tim Landgraf;,,Talk,,
28,Rotation-invariant clustering of neuronal responses in primary visual cortex,,Ivan Ustyuzhaninov;Santiago A. Cadena;Emmanouil Froudarakis;Paul G. Fahey;Edgar Y. Walker;Erick Cobos;Jacob Reimer;Fabian H. Sinz;Andreas S. Tolias;Matthias Bethge;Alexander S. Ecker;,,Talk,,
29,Simplified Action Decoder for Deep Multi-Agent Reinforcement Learning,,Hengyuan Hu;Jakob N Foerster;,,Spotlight,,
30,Smooth markets: A basic mechanism for organizing gradient-based learners,,David Balduzzi;Wojciech M. Czarnecki;Tom Anthony;Ian Gemp;Edward Hughes;Joel Leibo;Georgios Piliouras;Thore Graepel;,,Poster,,
31,Sparse Coding with Gated Learned ISTA,,Kailun Wu;Yiwen Guo;Ziang Li;Changshui Zhang;,,Spotlight,,
32,The Logical Expressiveness of Graph Neural Networks,,Pablo Barceló;Egor V. Kostylev;Mikael Monet;Jorge Pérez;Juan Reutter;Juan Pablo Silva;,,Spotlight,,
33,Understanding and Robustifying Differentiable Architecture Search,,Arber Zela;Thomas Elsken;Tonmoy Saikia;Yassine Marrakchi;Thomas Brox;Frank Hutter;,,Talk,,
34,Why Gradient Clipping Accelerates Training: A Theoretical Justification for Adaptivity,,Jingzhao Zhang;Tianxing He;Suvrit Sra;Ali Jadbabaie;,,Talk,,
35,RNA Secondary Structure Prediction By Learning Unrolled Algorithms,,Xinshi Chen;Yu Li;Ramzan Umarov;Xin Gao;Le Song;,,Talk,,
36,vq-wav2vec: Self-Supervised Learning of Discrete Speech Representations,,Alexei Baevski;Steffen Schneider;Michael Auli;,,Poster,,
37,A Closer Look at Deep Policy Gradients,,Andrew Ilyas;Logan Engstrom;Shibani Santurkar;Dimitris Tsipras;Firdaus Janoos;Larry Rudolph;Aleksander Madry;,,Talk,,
38,A Mutual Information Maximization Perspective of Language Representation Learning,,Lingpeng Kong;Cyprien de Masson d'Autume;Lei Yu;Wang Ling;Zihang Dai;Dani Yogatama;,,Spotlight,,
39,Adversarial Training and Provable Defenses: Bridging the Gap,,Mislav Balunovic;Martin Vechev;,,Talk,,
40,ALBERT: A Lite BERT for Self-supervised Learning of Language Representations,,Zhenzhong Lan;Mingda Chen;Sebastian Goodman;Kevin Gimpel;Piyush Sharma;Radu Soricut;,,Spotlight,,
41,AssembleNet: Searching for Multi-Stream Neural Connectivity in Video Architectures,,Michael S. Ryoo;AJ Piergiovanni;Mingxing Tan;Anelia Angelova;,,Poster,,
42,At Stability's Edge: How to Adjust Hyperparameters to Preserve Minima Selection in Asynchronous Training of Neural Networks?,,Niv Giladi;Mor Shpigel Nacson;Elad Hoffer;Daniel Soudry;,,Spotlight,,
43,Classification-Based Anomaly Detection for General Data,,Liron Bergman;Yedid Hoshen;,,Poster,,
44,Comparing Rewinding and Fine-tuning in Neural Network Pruning,,Alex Renda;Jonathan Frankle;Michael Carbin;,,Talk,,
45,Compressive Transformers for Long-Range Sequence Modelling,,Jack W. Rae;Anna Potapenko;Siddhant M. Jayakumar;Chloe Hillier;Timothy P. Lillicrap;,,Poster,,
46,Convolutional Conditional Neural Processes,,Jonathan Gordon;Wessel P. Bruinsma;Andrew Y. K. Foong;James Requeima;Yann Dubois;Richard E. Turner;,,Talk,,
47,Cross-lingual Alignment vs Joint Training: A Comparative Study and A Simple Unified Framework,,Zirui Wang*;Jiateng Xie*;Ruochen Xu;Yiming Yang;Graham Neubig;Jaime G. Carbonell;,,Poster,,
48,Cyclical Stochastic Gradient MCMC for Bayesian Deep Learning,,Ruqi Zhang;Chunyuan Li;Jianyi Zhang;Changyou Chen;Andrew Gordon Wilson;,,Talk,,
49,DDSP: Differentiable Digital Signal Processing,,Jesse Engel;Lamtharn (Hanoi) Hantrakul;Chenjie Gu;Adam Roberts;,,Spotlight,,
50,"Deep Batch Active Learning by Diverse, Uncertain Gradient Lower Bounds",,Jordan T. Ash;Chicheng Zhang;Akshay Krishnamurthy;John Langford;Alekh Agarwal;,,Talk,,
51,"Deep Imitative Models for Flexible Inference, Planning, and Control",,Nicholas Rhinehart;Rowan McAllister;Sergey Levine;,,Poster,,
52,Deep Learning For Symbolic Mathematics,,Guillaume Lample;François Charton;,,Spotlight,,
53,Deep Network Classification by Scattering and Homotopy Dictionary Learning,,John Zarka;Louis Thiry;Tomas Angles;Stephane Mallat;,,Poster,,
54,Directional Message Passing for Molecular Graphs,,Johannes Gasteiger;Janek Groß;Stephan Günnemann;,,Spotlight,,
55,Disagreement-Regularized Imitation Learning,,Kiante Brantley;Wen Sun;Mikael Henaff;,,Spotlight,,
56,Discriminative Particle Filter Reinforcement Learning for Complex Partial observations,,Xiao Ma;Peter Karkus;David Hsu;Wee Sun Lee;Nan Ye;,,Poster,,
57,Disentangling neural mechanisms for perceptual grouping,,Junkyung Kim*;Drew Linsley*;Kalpit Thakkar;Thomas Serre;,,Spotlight,,
58,Doubly Robust Bias Reduction in Infinite Horizon Off-Policy Estimation,,Ziyang Tang*;Yihao Feng*;Lihong Li;Dengyong Zhou;Qiang Liu;,,Spotlight,,
59,ELECTRA: Pre-training Text Encoders as Discriminators Rather Than Generators,,Kevin Clark;Minh-Thang Luong;Quoc V. Le;Christopher D. Manning;,,Poster,,
