Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
1,A Geometric Descriptor for Cell-Division Detection,,Marcelo Cicconet;Italo Lima;Davi Geiger;Kris Gunsalus,,Reject,https://openreview.net/forum?id=2rHk2kZ5knTJ6,https://openreview.net/pdf?id=2rHk2kZ5knTJ6
2,A Nested HDP for Hierarchical Topic Models,,John Paisley;Chong Wang;David Blei;Michael I. Jordan,,Oral Workshop,https://openreview.net/forum?id=N_c1XDpyus_yP,https://openreview.net/pdf?id=N_c1XDpyus_yP
3,A Semantic Matching Energy Function for Learning with Multi-relational Data,,Xavier Glorot;Antoine Bordes;Jason Weston;Yoshua Bengio,,Poster Workshop,https://openreview.net/forum?id=BmOABAaTQDmt2,https://openreview.net/pdf?id=BmOABAaTQDmt2
4,"Adaptive learning rates and parallelization for stochastic, sparse, non-smooth gradients",,Tom Schaul;Yann LeCun,,Poster,https://openreview.net/forum?id=7IOAIAx1AiEYC,https://openreview.net/pdf?id=7IOAIAx1AiEYC
5,Affinity Weighted Embedding,,Jason Weston;Ron Weiss;Hector Yee,,Oral Workshop,https://openreview.net/forum?id=9bFY3t2IJ19AC,https://openreview.net/pdf?id=9bFY3t2IJ19AC
6,An Efficient Sufficient Dimension Reduction Method for Identifying Genetic Variants of Clinical Significance,,Momiao Xiong;Long Ma,,Reject,https://openreview.net/forum?id=6ZY7ZnIK7kZKy,https://openreview.net/pdf?id=6ZY7ZnIK7kZKy
7,Audio Artist Identification by Deep Neural Network,,胡振;Kun Fu;Changshui Zhang,,Reject,https://openreview.net/forum?id=zzy0H3ZbWiHsS,https://openreview.net/pdf?id=zzy0H3ZbWiHsS
8,Auto-pooling: Learning to Improve Invariance of Image Features from Image Sequences,,Sainbayar Sukhbaatar;Takaki Makino;Kazuyuki Aihara,,Poster Workshop,https://openreview.net/forum?id=0OR_OycNMzOF9,https://openreview.net/pdf?id=0OR_OycNMzOF9
9,Barnes-Hut-SNE,,Laurens van der Maaten,,Oral,https://openreview.net/forum?id=eQWJec0ursynH,https://openreview.net/pdf?id=eQWJec0ursynH
10,Behavior Pattern Recognition using A New Representation Model,,Eric qiao;Peter A. Beling,,Reject,https://openreview.net/forum?id=6elK6-b28q62g,https://openreview.net/pdf?id=6elK6-b28q62g
11,Big Neural Networks Waste Capacity,,Yann Dauphin;Yoshua Bengio,,Oral Workshop,https://openreview.net/forum?id=TT0bFo9VZpFWg,https://openreview.net/pdf?id=TT0bFo9VZpFWg
12,Block Coordinate Descent for Sparse NMF,,Vamsi Potluru;Sergey M. Plis;Jonathan Le Roux;Barak A. Pearlmutter;Vince D. Calhoun;Thomas P. Hayes,,Poster,https://openreview.net/forum?id=G0OapcfeK3g_R,https://openreview.net/pdf?id=G0OapcfeK3g_R
13,Boltzmann Machines and Denoising Autoencoders for Image Denoising,,KyungHyun Cho,,Poster Workshop,https://openreview.net/forum?id=KHMdKiX2lbguE,https://openreview.net/pdf?id=KHMdKiX2lbguE
14,Clustering Learning for Robotic Vision,,Eugenio Culurciello;Jordan Bates;Aysegul Dundar;Jose Carrasco;Clement Farabet,,Poster Workshop,https://openreview.net/forum?id=gGivgRWZsLgY0,https://openreview.net/pdf?id=gGivgRWZsLgY0
