Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
1,How Neural Networks Extrapolate: From Feedforward to Graph Neural Networks,,Keyulu Xu;Mozhi Zhang;Jingling Li;Simon Shaolei Du;Ken-Ichi Kawarabayashi;Stefanie Jegelka;,Massachusetts Institute of Technology;University of Maryland;Meta;University of Tokyo;,Oral,https://openreview.net/forum?id=UH-cmocLJC,https://openreview.net/pdf?id=UH-cmocLJC
2,Dataset Condensation with Gradient Matching,,Bo Zhao;Konda Reddy Mopuri;Hakan Bilen;,University of Edinburgh;Indian Institute of Technology Guwahati;,Oral,https://openreview.net/forum?id=mSAKhLYLSsl,https://openreview.net/pdf?id=mSAKhLYLSsl
3,Learning Generalizable Visual Representations via Interactive Gameplay,,Luca Weihs;Aniruddha Kembhavi;Kiana Ehsani;Sarah M Pratt;Winson Han;Alvaro Herrasti;Eric Kolve;Dustin Schwenk;Roozbeh Mottaghi;Ali Farhadi;,Allen Institute for Artificial Intelligence;University of Washington;Allen Institute for AI;,Oral,https://openreview.net/forum?id=UuchYL8wSZo,https://openreview.net/pdf?id=UuchYL8wSZo
4,Towards Nonlinear Disentanglement in Natural Data with Temporal Sparse Coding,,David A. Klindt;Lukas Schott;Yash Sharma;Ivan Ustyuzhaninov;Wieland Brendel;Matthias Bethge;Dylan Paiton;,University of Tuebingen;University of Tübingen;,Oral,https://openreview.net/forum?id=EbIDjBynYJ8,https://openreview.net/pdf?id=EbIDjBynYJ8
5,Deformable DETR: Deformable Transformers for End-to-End Object Detection,,Xizhou Zhu;Weijie Su;Lewei Lu;Bin Li;Xiaogang Wang;Jifeng Dai;,SenseTime;Chinese University of Hong Kong;SenseTime Group;,Oral,https://openreview.net/forum?id=gZ9hCDWe6ke,https://openreview.net/pdf?id=gZ9hCDWe6ke
6,Scalable Learning and MAP Inference for Nonsymmetric Determinantal Point Processes,,Mike Gartrell;Insu Han;Elvis Dohmatob;Jennifer Gillenwater;Victor-Emmanuel Brunel;,Criteo;Google;ENSAE ParisTech;,Oral,https://openreview.net/forum?id=HajQFbx_yB,https://openreview.net/pdf?id=HajQFbx_yB
7,Beyond Fully-Connected Layers with Quaternions: Parameterization of Hypercomplex Multiplications with $1/n$ Parameters,,Aston Zhang;Yi Tay;SHUAI Zhang;Alvin Chan;Anh Tuan Luu;Siu Hui;Jie Fu;,Google;Swiss Federal Institute of Technology;Nanyang Technological University;,Spotlight,https://openreview.net/forum?id=rcQdycl0zyk,https://openreview.net/pdf?id=rcQdycl0zyk
8,On the mapping between Hopfield networks and Restricted Boltzmann Machines,,Matthew Smart;Anton Zilman;,University of Toronto;,Oral,https://openreview.net/forum?id=RGJbergVIoO,https://openreview.net/pdf?id=RGJbergVIoO
9,Complex Query Answering with Neural Link Predictors,,Erik Arakelyan;Daniel Daza;Pasquale Minervini;Michael Cochez;,University College London;Vrije Universiteit Amsterdam;,Oral,https://openreview.net/forum?id=Mos9F9kDwkz,https://openreview.net/pdf?id=Mos9F9kDwkz
10,Theoretical Analysis of Self-Training with Deep Networks on Unlabeled Data,,Colin Wei;Kendrick Shen;Yining Chen;Tengyu Ma;,Stanford University;Meta;,Oral,https://openreview.net/forum?id=rC8sJ4i6kaH,https://openreview.net/pdf?id=rC8sJ4i6kaH
11,Learning a Latent Simplex in Input Sparsity Time,,Ainesh Bakshi;Chiranjib Bhattacharyya;Ravi Kannan;David Woodruff;Samson Zhou;,Carnegie Mellon University;Indian Institute of Science;,Spotlight,https://openreview.net/forum?id=04LZCAxMSco,https://openreview.net/pdf?id=04LZCAxMSco
